 	la	nourriture	qu'	ils	ont	apportée	est	déjà	cuite	</S>
b	0.43468	0.413674	0.101207	0.0267992	0.0172399	0.00287924	0.00208066	0.00131119	8.31565e-05	4.5995e-05
é	0.148193	0.500446	0.092827	0.23321	0.0179815	0.000731272	0.00168759	0.00435773	0.000118884	0.000446332
a	0.00427275	0.289876	0.0556975	0.597975	0.0337661	0.0142272	0.00167123	0.00165494	0.000264659	0.000594843
b	0.165301	0.397848	0.240008	0.0732715	0.0326471	0.0204885	0.01297	0.0139327	0.0014763	0.0420576
í	0.0513188	0.28045	0.210534	0.336203	0.0999508	0.00390644	0.00668725	0.00354007	8.76745e-05	0.00732237
í	0.0587215	0.179954	0.199469	0.252164	0.0754528	0.0396693	0.0168147	0.0165545	0.0012589	0.159941
y	0.00808829	0.00664335	0.0846945	0.0294112	0.125642	0.0775232	0.247297	0.346069	0.00544313	0.0691887
ε	0.0243857	0.0276677	0.133239	0.0315615	0.0609724	0.353035	0.127883	0.111146	0.0184998	0.11161
í	0.0455686	0.0316159	0.177375	0.0229502	0.0395632	0.0264383	0.187682	0.091274	0.0193366	0.358196
l	0.0152469	0.0196852	0.159678	0.266764	0.309987	0.13279	0.0573242	0.0217013	0.00116412	0.0156593
a	0.03395	0.0242341	0.214501	0.17331	0.137424	0.102901	0.0702104	0.03939	0.0047137	0.199366
b	0.0337928	0.0290604	0.265783	0.24499	0.131923	0.216807	0.0231057	0.00971685	0.00534859	0.0394734
á	0.013182	0.105457	0.0255595	0.709378	0.0899411	0.0514291	0.00189287	0.00114237	0.00123072	0.000787115
a	0.0181141	0.0589973	0.0789598	0.727287	0.0565945	0.0449118	0.00298288	0.00281825	0.000879233	0.00845478
é	0.0020145	0.00341485	0.029874	0.0693276	0.238062	0.215649	0.282052	0.108128	0.00282193	0.0486562
d	0.00659826	0.00233065	0.00566419	0.00362342	0.0301667	0.0703361	0.451375	0.388875	0.0216014	0.0194294
í	0.00112355	0.000525294	0.000577015	0.000811912	0.0040096	0.0305744	0.458814	0.451405	0.00436307	0.047796
e	0.00135147	0.000506932	0.00209069	0.00343553	0.0076226	0.0198444	0.423554	0.448775	0.0121841	0.0806348
l	0.00142008	0.00156483	0.00161103	0.00627728	0.00735381	0.0233799	0.238466	0.399698	0.234936	0.0852932
á	0.00271271	0.00175917	0.00327208	0.0042158	0.0089625	0.0185783	0.19387	0.411822	0.135224	0.219583
m	0.00812765	0.00587495	0.0151415	0.0249153	0.0199827	0.0210924	0.149625	0.245594	0.207329	0.302317
b	0.0183267	0.0324378	0.00624811	0.0161848	0.0224256	0.037866	0.070318	0.114185	0.381351	0.300657
á	0.00296812	0.0084911	0.00656807	0.0230176	0.0218878	0.00401267	0.0602382	0.117627	0.323878	0.431311
l	0.00652902	0.0029138	0.00881659	0.00813339	0.0135807	0.00630396	0.0736877	0.116216	0.222975	0.540844
a	0.00242343	0.00227329	0.00581656	0.005137	0.00847478	0.0115366	0.0616609	0.199154	0.288326	0.415198
m	0.00528383	0.00215689	0.0072863	0.00332506	0.00347352	0.00560242	0.0294475	0.0440823	0.600799	0.298543
b	0.00402522	0.00974768	0.00246543	0.00192022	0.00286556	0.00238884	0.0271328	0.0441095	0.582474	0.322871
a	0.00536668	0.00537359	0.00253471	0.00261333	0.00331225	0.000471537	0.0273288	0.0549917	0.464229	0.433779
</S>	0.00155806	0.000520962	0.00108094	0.000302674	0.00101963	0.000921932	0.0109209	0.0217951	0.430758	0.531122
