 	l'	homme	met	un	bouchon	sur	la	bouteille	</S>
i	0.518107	0.182797	0.0339369	0.0548074	0.121353	0.0540784	0.0312054	0.000661121	0.00305368
b	0.0729985	0.733096	0.0384829	0.0246594	0.0619061	0.0153199	0.0127408	0.0387887	0.00200814
a	0.0432931	0.449084	0.0361159	0.0611921	0.330622	0.0381972	0.0188797	0.0192531	0.00336278
a	0.0362324	0.756857	0.0358752	0.0299658	0.0416179	0.0214328	0.0120882	0.0027469	0.0631838
í	0.333563	0.0597028	0.300839	0.10339	0.021911	0.0592189	0.0172638	0.000365839	0.103746
k	0.0164912	0.00771284	0.241497	0.34481	0.144569	0.0935905	0.0618053	0.00982155	0.0797022
a	0.00291739	0.013071	0.0755035	0.350955	0.256908	0.123816	0.0983582	0.0329569	0.0455147
n	0.00388517	0.0259686	0.130812	0.25947	0.109453	0.160911	0.102109	0.128354	0.079038
í	0.00898945	0.00489928	0.0539561	0.209336	0.229907	0.125414	0.158857	0.124113	0.0845275
o	0.0105556	0.00563515	0.0597261	0.0699653	0.0488955	0.286631	0.360233	0.0885953	0.0697628
l	0.0016996	0.00290552	0.00491054	0.0187506	0.0125746	0.0860569	0.114877	0.620699	0.137526
a	0.000931077	0.000745829	0.00509671	0.0249562	0.0102815	0.024759	0.0535267	0.766834	0.112868
n	0.00281895	0.000477599	0.0121398	0.0251384	0.0181202	0.0458869	0.0726753	0.649817	0.172925
g	0.0057333	0.00252907	0.0128779	0.0439549	0.0409271	0.0947254	0.217483	0.383083	0.198686
i	0.00609674	0.00119842	0.00686664	0.0381929	0.0391878	0.0219629	0.056084	0.608298	0.222113
e	0.00388413	0.000468474	0.00966012	0.0306983	0.0302218	0.137727	0.269562	0.0374567	0.480321
d	0.00717598	0.00216895	0.0132503	0.020817	0.0167948	0.0889936	0.142594	0.149411	0.558794
i	0.00221836	0.00077724	0.0160064	0.0191771	0.00200433	0.119503	0.177911	0.0621263	0.600277
b	0.00251849	0.000284007	0.0157271	0.0227676	0.00739901	0.243928	0.278584	0.0299237	0.398868
h	0.00308348	0.00140158	0.0301732	0.0879671	0.111667	0.0963676	0.402804	0.0590648	0.207471
i	0.00176279	0.000785704	0.0111442	0.0436225	0.031964	0.0720177	0.184139	0.0908087	0.563755
l	0.000664972	0.000168419	0.00751106	0.0191053	0.0188647	0.0516801	0.112756	0.0443542	0.744895
i	0.00524115	0.00140659	0.0183358	0.0413059	0.0287869	0.026549	0.0413456	0.111267	0.725762
</S>	0.00846653	0.000621824	0.0228304	0.021064	0.0224949	0.0590935	0.0976875	0.0415112	0.72623
