 	il	faut	faire	attention	à	ce	que	l'	on	vous	dit	</S>
k	0.567919	0.212465	0.0678341	0.0333079	0.0192721	0.0231406	0.0199577	0.024247	0.0257232	0.00517578	0.000798984	0.000158338
á	0.263075	0.264228	0.0679839	0.0350433	0.0366738	0.0482369	0.0507509	0.0976607	0.0837172	0.0220236	0.0269462	0.00365996
a	0.084202	0.262535	0.0673394	0.0214036	0.0302134	0.029337	0.0458445	0.0550343	0.253163	0.075905	0.00708198	0.0679407
l	0.138569	0.35694	0.298316	0.0541532	0.020743	0.0173185	0.0171131	0.0140724	0.0168847	0.0287636	0.00596399	0.0311627
é	0.0495366	0.208019	0.125953	0.0554983	0.0428506	0.0432316	0.0579831	0.0606533	0.0575083	0.0827063	0.0541089	0.161951
e	0.035597	0.162063	0.185598	0.140509	0.055161	0.0579021	0.048862	0.0604945	0.04328	0.0924122	0.0187514	0.0993699
d	0.00748687	0.0414652	0.4163	0.244688	0.087264	0.0283833	0.0154673	0.00975974	0.0050773	0.000255126	0.0200265	0.123826
z	0.00242092	0.0272243	0.162193	0.0782176	0.157317	0.105598	0.0606734	0.0499524	0.0122161	0.00034203	0.017769	0.326075
á	0.0404644	0.102978	0.280493	0.18227	0.142711	0.0899004	0.0483846	0.0377166	0.00592731	0.000490753	0.00744721	0.0612168
l	0.00332045	0.00555483	0.0363608	0.0522034	0.107699	0.139045	0.118457	0.115954	0.120345	0.014653	0.0221348	0.264273
a	0.0101449	0.0461068	0.131778	0.142166	0.136177	0.110632	0.0880591	0.0644666	0.0696459	0.0158298	0.0303019	0.154693
a	0.00224662	0.0128409	0.0498105	0.0848038	0.0938321	0.136952	0.118961	0.18727	0.111494	0.0231438	0.0938249	0.0848203
y	0.00071665	0.00542898	0.0367609	0.0448441	0.132438	0.161899	0.140737	0.165715	0.073818	0.00195446	0.175984	0.0597042
έ	0.000388446	0.00305185	0.0125402	0.0236113	0.0847216	0.128721	0.125523	0.205566	0.0519001	0.0045586	0.171037	0.188382
l	0.000206405	0.00104875	0.010533	0.0200843	0.0493405	0.0686501	0.0603327	0.057267	0.0388171	0.00461354	0.0341173	0.654989
i	0.00391078	0.0216496	0.0497469	0.0632924	0.0996088	0.103302	0.134603	0.122533	0.190242	0.153452	0.0323854	0.0252755
m	0.000967989	0.00245382	0.0105059	0.0224465	0.0700884	0.160757	0.230308	0.218944	0.136787	0.0270318	0.0531875	0.0665223
ó	0.00280077	0.000468008	0.00344672	0.0405877	0.0926327	0.204344	0.214477	0.18398	0.0284354	0.00211434	0.0130976	0.213616
y	0.000725539	0.000671197	0.00746443	0.0128143	0.0517515	0.128201	0.191604	0.297553	0.130332	0.00419696	0.162415	0.0122715
έ	0.000622884	0.00109647	0.00356212	0.0109026	0.048897	0.13107	0.208495	0.313331	0.0763712	0.00564821	0.176427	0.0235769
έ	0.000252794	0.000685877	0.0031715	0.00507829	0.0277549	0.0924209	0.165042	0.224109	0.145223	0.0190206	0.140603	0.176638
s	0.000691803	0.00320699	0.01448	0.00887661	0.0344368	0.0588396	0.147534	0.107019	0.162761	0.0136863	0.261628	0.18684
ε	0.000229718	0.00122147	0.00184392	0.00164439	0.0231648	0.0556122	0.110315	0.133207	0.0625676	0.0112031	0.178457	0.420534
r	5.53229e-05	0.000244203	0.00135222	0.00344618	0.0333674	0.113827	0.184193	0.205587	0.0704736	0.00826282	0.0944572	0.284734
έ	0.000105168	0.000303091	0.0015678	0.00945657	0.0579408	0.108793	0.212324	0.311305	0.115088	0.027851	0.0833844	0.0718805
b	0.000484197	0.00172101	0.00435506	0.00425888	0.0119951	0.0275433	0.0750612	0.0914349	0.145508	0.0900304	0.068873	0.478735
á	0.00135187	0.0017524	0.00183067	0.000705626	0.00323784	0.00935781	0.0293261	0.0385884	0.293523	0.559413	0.0515166	0.00939648
a	0.000864761	0.00141042	0.00182906	0.00112678	0.0025158	0.00811815	0.0201955	0.0313297	0.107783	0.773397	0.0230618	0.028368
l	0.00177471	0.00268767	0.00798499	0.00511214	0.0084792	0.0144898	0.0307271	0.0337588	0.0914778	0.178597	0.0545385	0.570373
a	0.00189732	0.010034	0.0137182	0.00434673	0.01362	0.0212166	0.0311801	0.0411563	0.0757851	0.144756	0.276077	0.366213
b	0.000387756	0.0012502	0.00458146	0.00299036	0.00731033	0.0203321	0.0390292	0.0671602	0.109121	0.453263	0.0930162	0.201558
í	0.00112232	0.00135652	0.00241958	0.00159742	0.00872183	0.0188191	0.0373742	0.0670428	0.18608	0.616199	0.0462758	0.0129911
n	0.00111052	0.00177649	0.00190946	0.000555143	0.00220393	0.00674993	0.0160812	0.0263717	0.0834531	0.799203	0.016294	0.0442916
í	0.00245911	0.00433029	0.00245972	0.00202011	0.00820309	0.0140674	0.0265834	0.0480852	0.0654476	0.525215	0.0383717	0.262758
</S>	0.000151346	0.00123637	0.00664474	0.00567362	0.00676447	0.0107706	0.0165105	0.0321482	0.0511548	0.0442534	0.139764	0.684928
