 	notre	père	a	deux	femmes	</S>
t	0.426279	0.549944	0.0148785	0.00826006	0.000472587	0.0001659
á	0.0460042	0.937685	0.00948704	0.00563817	0.000103129	0.00108253
á	0.0112824	0.899694	0.0366813	0.0205352	0.00116564	0.030641
y	0.896261	0.058292	0.016376	0.0128068	0.00592583	0.010338
a	0.196275	0.589273	0.103457	0.0146258	0.0463888	0.0499799
b	0.923915	0.0265905	0.0131893	0.0105053	0.00945591	0.0163442
í	0.979392	0.00233234	0.00765439	0.00588145	0.00282307	0.00191677
s	0.986032	0.00401838	0.00233537	0.003915	0.00037103	0.0033284
í	0.371803	0.0370868	0.202513	0.149136	0.0242308	0.21523
a	0.0188324	0.0278518	0.594459	0.221436	0.00656544	0.130856
d	0.00536054	0.015514	0.884556	0.0349957	0.0172802	0.0422939
í	0.00492159	0.00110034	0.72742	0.08918	0.0355304	0.141848
l	0.0213667	0.0012413	0.306688	0.40944	0.0306745	0.230589
a	0.0686225	0.00952151	0.158015	0.316578	0.123655	0.323607
b	0.13272	0.0186524	0.291604	0.289933	0.165617	0.101474
á	0.377381	0.00134168	0.106882	0.480754	0.023443	0.0101983
s	0.399533	0.00299284	0.0936964	0.312798	0.110415	0.0805651
í	0.081787	0.00036447	0.22379	0.492224	0.0173591	0.184476
á	0.00286768	0.00228634	0.278785	0.368342	0.0952848	0.252434
b	0.00846218	0.00246366	0.170082	0.232447	0.445669	0.140877
a	0.0295381	0.00307476	0.214686	0.520759	0.0599221	0.172021
á	0.00392949	0.000568471	0.0402657	0.352712	0.0243439	0.578181
</S>	0.0322172	0.00123735	0.0400935	0.243688	0.224703	0.458061
