 	mon	argent	a	disparu	</S>
n	0.681995	0.276555	0.0359739	0.00103872	0.00443681
g	0.973722	0.026127	9.98211e-05	1.61059e-05	3.52083e-05
á	0.712205	0.286132	0.00102302	0.000552948	8.70966e-05
m	0.357711	0.592372	0.0372135	0.00633595	0.00636788
b	0.0169595	0.839958	0.10599	0.00111321	0.0359796
ώ	0.01021	0.933949	0.025187	0.00338764	0.0272666
n	0.00792779	0.354084	0.301685	0.00636777	0.329935
g	0.082509	0.870465	0.00754926	0.00888027	0.0305968
ω	0.288628	0.679619	0.00932273	0.0136185	0.00881194
é	0.266365	0.076484	0.57986	0.011672	0.0656192
m	0.0362083	0.0051064	0.700882	0.168238	0.0895648
i	0.00630248	0.00565073	0.343957	0.236495	0.407594
l	0.000394324	0.00255738	0.0819044	0.850113	0.0650309
é	9.03342e-05	0.000794657	0.0161352	0.951048	0.0319318
m	0.000205641	0.000362565	0.0345191	0.832159	0.132754
b	0.000201437	0.000447121	0.0211849	0.380289	0.597878
a	0.00306975	0.0297175	0.0379503	0.0487663	0.880496
</S>	0.00332706	0.00672519	0.137348	0.0838163	0.768784
