 	c'	est	un	travail	bien	fait	</S>
é	0.576672	0.251326	0.111018	0.0354029	0.0215828	0.00286128	0.00113746
d	0.171846	0.504908	0.100898	0.187204	0.0103329	0.0188363	0.00597469
í	0.110355	0.475328	0.126553	0.223901	0.00552862	0.0179655	0.0403702
i	0.0336373	0.15955	0.230061	0.235455	0.077338	0.103243	0.160715
s	0.0105077	0.0313624	0.269723	0.402849	0.103599	0.0736526	0.108306
á	0.00148325	0.0129681	0.0624669	0.375767	0.0235688	0.202752	0.320994
l	0.00689807	0.0155145	0.0906378	0.153579	0.0375731	0.20302	0.492777
a	0.0307514	0.0489833	0.404729	0.290796	0.0418355	0.0602367	0.122667
i	0.0345572	0.0388333	0.143794	0.163342	0.217666	0.111839	0.289969
b	0.00700766	0.0150071	0.0433318	0.0915939	0.116346	0.517349	0.209364
v	0.00406061	0.00923597	0.0435324	0.0470647	0.170808	0.64934	0.0759581
έ	0.00129908	0.00247139	0.0288182	0.0652008	0.204531	0.634812	0.0628669
</S>	0.00186247	0.00283397	0.0383806	0.0318624	0.1067	0.0835894	0.734771
