 	cet	homme	courtisait	ta	soeur	</S>
i	0.575271	0.40866	0.00648683	0.00907554	0.000427274	7.98979e-05
b	0.234685	0.60267	0.12461	0.0120857	0.0219438	0.00400559
a	0.0197344	0.967274	0.00307057	0.0010518	0.00830172	0.000568059
a	0.063647	0.90822	0.00393628	0.00436022	0.0108561	0.00898001
d	0.763855	0.0949543	0.0204441	0.0379568	0.00194116	0.0808487
í	0.192273	0.0192929	0.0501986	0.0331449	0.00198591	0.703105
á	0.129521	0.131045	0.269493	0.0995882	0.00306306	0.367289
l	0.0703917	0.0200947	0.661461	0.067392	0.00815981	0.172501
a	0.0449285	0.0364902	0.509169	0.0511784	0.00530762	0.352926
n	0.0830361	0.0695548	0.622327	0.0438348	0.0118733	0.169374
g	0.042696	0.015137	0.838398	0.0901568	0.00241463	0.0111977
á	0.103395	0.0396177	0.727268	0.0991602	0.0111813	0.0193783
b	0.271939	0.058698	0.179614	0.365682	0.0704006	0.0536664
o	0.105974	0.313715	0.279882	0.113082	0.0890624	0.0982852
l	0.0452399	0.0348832	0.486403	0.0618038	0.273567	0.0981034
a	0.0425629	0.0140646	0.246793	0.119014	0.31597	0.261595
b	0.00699113	0.00808465	0.303017	0.112755	0.345354	0.223798
á	0.00838481	0.0246508	0.18008	0.431357	0.218103	0.137425
n	0.0100126	0.0150328	0.167502	0.597918	0.159254	0.0502809
ω	0.00349284	0.00212199	0.104955	0.655139	0.12279	0.111501
n	0.00305605	0.00395584	0.36688	0.222277	0.0769988	0.326833
d	0.00639581	0.00246805	0.129868	0.369425	0.225933	0.265909
z	0.00172105	0.000217654	0.0731778	0.124117	0.146717	0.654049
ó	0.00220879	0.000681608	0.179203	0.141542	0.217041	0.459323
r	0.0100379	0.00776063	0.0437111	0.0584351	0.242558	0.637497
o	0.0108191	0.00257767	0.0366297	0.0698446	0.220217	0.659912
</S>	0.0108423	0.00417613	0.0480696	0.117449	0.0571559	0.762307
