 	je	distribue	la	nourriture	</S>
n	0.921618	0.0285177	0.0302516	0.0191519	0.000461
g	0.997342	0.000434556	0.00180827	0.000364751	5.04342e-05
á	0.993165	0.00390279	0.00159869	0.00106859	0.000264994
l	0.544832	0.18412	0.089589	0.0339323	0.147527
í	0.699234	0.00936285	0.0576575	0.00676302	0.226983
i	0.272225	0.0615326	0.243672	0.0170804	0.40549
k	0.00588133	0.963928	0.00523482	0.000647112	0.0243083
a	7.55708e-05	0.998027	0.00077311	0.00012911	0.000994845
b	0.00325478	0.93805	0.0229909	0.00374856	0.0319558
h	0.018468	0.451173	0.196094	0.0537835	0.280482
á	0.00708907	0.0608902	0.233389	0.0572956	0.641336
b	0.0156598	0.00451391	0.639738	0.298534	0.0415546
e	0.0137091	0.00217167	0.00568747	0.974637	0.00379525
a	0.0051085	0.00370541	0.0148781	0.950892	0.0254162
b	0.00322872	0.00269998	0.388646	0.0837904	0.521635
í	0.0365526	0.0476744	0.268804	0.49793	0.14904
d	0.0476387	0.00289128	0.132252	0.474532	0.342687
z	0.00615208	0.00269088	0.168483	0.0244695	0.798204
á	0.0204066	0.00118421	0.381157	0.0446699	0.552582
a	0.00054908	0.00151612	0.103707	0.0476651	0.846563
</S>	0.00470336	0.0111772	0.309223	0.0927132	0.582183
