 	ce	village	n'	a	pas	de	divinateur	</S>
p	0.484326	0.315158	0.140615	0.0184497	0.0200033	0.0139418	0.0035273	0.00397931
o	0.00366782	0.982211	0.00807825	0.0011046	0.00275596	0.00104082	0.000724339	0.000417773
o	0.00328408	0.947342	0.0293684	0.00431748	0.00522944	0.00151767	0.000940253	0.00800063
y	0.489757	0.0444103	0.372046	0.0285066	0.00906583	0.00719296	0.00418284	0.0448389
é	0.345747	0.0468347	0.497706	0.0465867	0.0171907	0.00968471	0.0032311	0.0330193
é	0.543587	0.0100967	0.270512	0.0529446	0.0197998	0.0146787	0.0249343	0.0634472
d	0.163113	0.000950791	0.208699	0.342485	0.10396	0.082236	0.0169184	0.0816384
í	0.0254268	0.000247408	0.0904116	0.176275	0.100904	0.104761	0.0309203	0.471053
m	0.0317288	0.000493792	0.0642142	0.191706	0.184438	0.207585	0.0361551	0.28368
o	0.0162076	0.000101073	0.122517	0.339245	0.173142	0.163003	0.0171112	0.168673
r	0.0429968	0.000670374	0.132068	0.09398	0.200716	0.233446	0.120753	0.17537
o	0.0539992	0.000643176	0.067318	0.0541493	0.147431	0.0965114	0.349056	0.230891
y	0.0193073	0.00207978	0.0571875	0.0393232	0.107816	0.0786835	0.402506	0.293097
e	0.0550409	0.00315427	0.117856	0.168089	0.287269	0.223517	0.0675395	0.0775338
e	0.00732186	0.000426938	0.037084	0.0654002	0.117534	0.151027	0.434843	0.186363
t	0.00317425	0.00105063	0.00548609	0.0241426	0.0540798	0.109209	0.588529	0.214328
έ	0.000698923	0.00606098	0.0124156	0.0629768	0.17481	0.263454	0.340865	0.138718
έ	0.0119776	0.00320469	0.0327771	0.0943739	0.243897	0.164003	0.277038	0.172728
e	0.00282958	0.000515868	0.00824121	0.0318974	0.088794	0.125649	0.326509	0.415564
k	0.0124705	0.000238901	0.00431979	0.0125588	0.027578	0.065083	0.472525	0.405226
y	0.00189663	0.0010964	0.00523234	0.015888	0.0789925	0.141048	0.506679	0.249167
e	0.00291207	0.00155666	0.00296201	0.0100622	0.061084	0.0812628	0.676005	0.164155
n	0.00275914	0.000430393	0.000982685	0.00303009	0.0284633	0.0469106	0.511109	0.406315
g	0.00470363	0.000314401	0.00151	0.003463	0.0199531	0.0253984	0.591852	0.352805
a	0.00117281	0.00196903	0.00216759	0.00258829	0.0207782	0.0120756	0.495268	0.46398
k	0.00982257	0.000909091	0.00807047	0.014538	0.0337557	0.0405857	0.525415	0.366904
a	0.00420289	0.00432007	0.0106196	0.0188524	0.0846165	0.0547006	0.0969708	0.725717
á	0.00290659	0.00570664	0.00266899	0.00497609	0.0221808	0.0150624	0.232452	0.714046
</S>	0.0128666	0.00162357	0.0394846	0.0743505	0.0561783	0.0637613	0.180954	0.570781
