 	venez	manger	le	repas	est	bien	réchauffé	</S>
l	0.744413	0.155351	0.0412365	0.041771	0.00478965	0.00930797	0.00247285	0.000657992
é	0.727312	0.254638	0.00689995	0.000392435	0.00443015	0.00352246	0.00104946	0.00175496
y	0.852054	0.125342	0.0118601	0.00012968	0.00190108	0.000230096	0.00161053	0.00687213
a	0.444972	0.329051	0.100086	0.00306712	0.0383063	0.00196466	0.000931063	0.0816224
á	0.216994	0.457243	0.101451	0.00393531	0.0334425	0.0041053	0.00241854	0.18041
o	0.138354	0.323375	0.320617	0.0879923	0.0776481	0.0163239	0.00598718	0.0297026
d	0.0655471	0.2599	0.49663	0.00887094	0.119883	0.0167397	0.0197758	0.0126536
z	0.0611658	0.664599	0.173476	0.00290197	0.0717395	0.0081081	0.00298615	0.0150232
á	0.207216	0.639104	0.0830282	0.00722684	0.0554351	0.00234595	0.000625952	0.00501792
a	0.00438437	0.0422974	0.142629	0.370639	0.129387	0.0946944	0.0204168	0.195552
a	0.014115	0.0220733	0.150385	0.394733	0.305527	0.0859393	0.01019	0.017037
t	0.0166609	0.040547	0.123395	0.0908167	0.51461	0.126198	0.0353968	0.0523755
ú	0.00388115	0.00987417	0.0842379	0.0732755	0.37781	0.253945	0.127031	0.069946
n	0.0048963	0.00549583	0.104465	0.0652599	0.359223	0.251917	0.121988	0.0867546
g	0.0408529	0.0206128	0.127466	0.0835051	0.402907	0.18656	0.0826236	0.0554724
u	0.136182	0.0330457	0.178792	0.110087	0.251702	0.0529033	0.142842	0.0944462
á	0.00310241	0.00343781	0.0275461	0.00704943	0.356895	0.429353	0.116151	0.0564643
b	0.00647464	0.0187105	0.0164751	0.0024992	0.203792	0.444923	0.260086	0.0470385
h	0.00052762	0.00319355	0.0170127	0.0255051	0.0659491	0.715691	0.137206	0.0349153
í	0.00122411	0.00131538	0.0244345	0.0278725	0.137038	0.496312	0.210463	0.10134
a	0.000950807	0.00124709	0.0111863	0.0305011	0.124064	0.289471	0.202053	0.340527
k	0.00646208	0.00708901	0.0154048	0.00436474	0.0459822	0.16557	0.631552	0.123575
u	0.000812739	0.0034664	0.0083798	0.00300081	0.0321569	0.284885	0.648955	0.0183425
r	0.00205438	0.000392173	0.00296441	0.00113475	0.0154201	0.0978369	0.833356	0.0468416
ú	0.00292615	0.000349316	0.00995846	0.0072577	0.0500785	0.0919421	0.775156	0.0623319
r	0.000431098	0.000279745	0.00455464	0.00338906	0.0217754	0.0845428	0.371367	0.51366
á	0.0191236	0.00401696	0.0161547	0.000832709	0.0324612	0.0298439	0.575904	0.321663
k	0.00742369	0.00446539	0.0179724	0.0046247	0.0328982	0.0557695	0.491244	0.385603
u	0.00752717	0.00312759	0.00922784	0.0100813	0.030473	0.127186	0.699802	0.112575
r	0.00404434	0.00110386	0.00297217	0.00117336	0.00646416	0.0326413	0.908531	0.0430695
u	0.000521913	0.000202042	0.00330518	0.00329133	0.00561913	0.0232912	0.887068	0.076701
r	0.00260413	0.0015701	0.0139817	0.00750255	0.0229348	0.0471388	0.232715	0.671553
a	0.0165341	0.00683472	0.0346793	0.00350761	0.0379854	0.0326105	0.444298	0.423551
</S>	0.0214213	0.0108834	0.0453722	0.0170004	0.0433586	0.0280751	0.0924344	0.741455
