 	grande	brousse	qui	pousse	après	la	plantation	</S>
i	0.316505	0.458795	0.163133	0.0418599	0.00734524	0.00916675	0.000920424	0.00227516
f	0.064404	0.711181	0.0701329	0.038354	0.0685222	0.0238475	0.0213169	0.00224201
u	0.0544544	0.413404	0.048012	0.234065	0.155933	0.0271667	0.0139164	0.0530494
ú	0.0465011	0.329741	0.211943	0.159079	0.0653169	0.045094	0.0179696	0.124356
l	0.203963	0.168373	0.438148	0.121349	0.0166094	0.025408	0.000750984	0.0253987
í	0.0990144	0.0447721	0.150742	0.0844109	0.0628323	0.124437	0.0209476	0.412843
í	0.189452	0.0427328	0.402366	0.120426	0.0892442	0.0894843	0.025352	0.0409433
t	0.0105163	0.0149603	0.075821	0.463217	0.295908	0.0849708	0.0136936	0.0409132
ω	0.00469823	0.0182992	0.0348561	0.398442	0.392539	0.0764069	0.0375133	0.0372453
ώ	0.0454099	0.123998	0.171747	0.312464	0.194526	0.0437419	0.0290776	0.0790353
o	0.0222016	0.005479	0.0646853	0.100436	0.115685	0.617241	0.0383017	0.0359704
n	0.0025959	0.00399909	0.00645043	0.0933	0.420571	0.0989221	0.291649	0.0825132
g	0.00388037	0.00838677	0.0595644	0.0431732	0.44611	0.0639011	0.331893	0.043091
ω	0.000164073	0.00154494	0.0256105	0.0280529	0.294687	0.0111504	0.633578	0.00521252
n	0.00804036	0.0407875	0.146017	0.0374548	0.155943	0.0528844	0.52667	0.0322038
g	0.00543366	0.0179365	0.0112225	0.0423584	0.387133	0.131834	0.18859	0.215491
ω	0.0167895	0.0172707	0.0169576	0.0442332	0.320962	0.143875	0.372844	0.0670681
s	0.00598459	0.00548025	0.0167595	0.0470628	0.115925	0.4346	0.204963	0.169225
á	0.0148609	0.0100614	0.0116226	0.0222915	0.0628313	0.212192	0.10813	0.55801
n	0.0123753	0.00658952	0.0284624	0.00737435	0.0154109	0.228007	0.583025	0.118756
g	0.000912047	0.00152057	0.00778874	0.00595177	0.0532549	0.0619802	0.771119	0.0974726
o	0.00013421	0.00106747	0.0118837	0.0029953	0.02579	0.0179587	0.875169	0.0650014
n	1.02262e-05	0.000124617	0.0010875	0.000564106	0.0350295	0.00401227	0.919139	0.040033
d	0.00250148	0.0106358	0.00659248	0.00484153	0.0270416	0.0316437	0.0644204	0.852323
a	0.00278327	0.0154269	0.00354399	0.00423364	0.0489024	0.0162818	0.227609	0.681219
y	0.00443648	0.0277222	0.0157183	0.0374524	0.103598	0.14981	0.104384	0.556878
á	0.0343348	0.147354	0.0984143	0.0211006	0.0359329	0.159449	0.22608	0.277334
k	0.0350468	0.0533302	0.104046	0.0247452	0.0271578	0.381765	0.177823	0.196086
a	0.00194652	0.0173492	0.00615651	0.0129341	0.0648735	0.102784	0.261169	0.532787
l	0.000609397	0.00350016	0.00186361	0.00482755	0.0180455	0.0302243	0.0390182	0.901911
a	0.0036101	0.0135957	0.00857056	0.0131115	0.0501843	0.0315493	0.20111	0.678269
</S>	0.00849257	0.0229589	0.0290764	0.0388775	0.038284	0.107619	0.0406699	0.714021
