 	la	co-épouse	de	ma	mère	m'	a	adressé	une	mauvaise	parole	</S>
m	0.801688	0.0780885	0.0392835	0.0235766	0.0404882	0.00492643	0.0053848	0.000663195	0.00398742	0.00167975	0.000130612	0.000102672
b	0.038029	0.945058	0.00388431	0.00159781	0.000304503	0.00635247	0.00224144	0.000120578	0.000285987	0.000939015	0.000157406	0.00102984
á	0.0763996	0.834365	0.0334323	0.0212206	0.00139667	0.0202576	0.00646872	0.000724494	0.00151661	0.00142694	0.00194924	0.000842686
é	0.0217398	0.958741	0.00460887	0.00152039	7.59181e-05	0.00179037	0.000666915	0.000589497	0.000485574	0.00108996	0.000572468	0.00811905
y	0.180777	0.167768	0.436742	0.00868839	0.00464796	0.0251962	0.0425658	0.0216362	0.0135118	0.0180965	0.00238884	0.0779803
a	0.229242	0.0716313	0.31426	0.103775	0.114846	0.0496914	0.0365284	0.0131834	0.00526835	0.00437039	0.0288058	0.0283978
n	0.165059	0.00651931	0.273286	0.380371	0.0779654	0.057402	0.00984142	0.00211059	0.00178852	0.00106151	0.00644882	0.0181471
g	0.0905833	0.00491338	0.032735	0.168873	0.62199	0.0574885	0.00620311	0.0010406	0.00198813	0.0016384	0.0043462	0.00819997
ó	0.0451551	0.0266146	0.310208	0.04898	0.186622	0.10468	0.0535467	0.0106843	0.0168399	0.0099965	0.049045	0.137628
o	0.0272078	0.00473789	0.22221	0.0511035	0.410434	0.105834	0.0621679	0.0133197	0.00753199	0.00603946	0.0170513	0.0723616
y	0.0251189	0.0017226	0.544269	0.0709552	0.202138	0.0725627	0.0532029	0.00591123	0.00662917	0.00691495	0.00224873	0.00832696
a	0.0757607	0.00281148	0.117355	0.451255	0.288892	0.0349334	0.0150413	0.00317222	0.00115326	0.0012057	0.00513117	0.00328939
b	0.0102932	8.04737e-05	0.0603945	0.829301	0.0308855	0.0395838	0.0183856	0.00182891	0.000827894	0.000867589	0.00169551	0.00585575
í	0.0170603	0.00700332	0.157458	0.225103	0.0445834	0.102091	0.295221	0.0424984	0.0339518	0.0365464	0.0143118	0.0241716
s	0.0236962	0.000771591	0.167638	0.533082	0.0574332	0.0715023	0.0506946	0.0118078	0.0076886	0.00886406	0.00651743	0.0603043
í	0.00403426	0.00290532	0.317805	0.195564	0.0903057	0.0677095	0.111406	0.041998	0.0129324	0.00946109	0.0167953	0.129083
á	0.00323375	0.000835321	0.122957	0.0435041	0.0281765	0.208427	0.467195	0.0633064	0.0210655	0.0144447	0.00515748	0.0216971
t	0.00122387	0.00257592	0.0120771	0.00285008	0.0250396	0.0417724	0.458905	0.356015	0.0354945	0.0249238	0.00625113	0.0328717
i	0.000123544	6.17382e-05	0.0157683	0.00287922	0.00291998	0.00627227	0.258659	0.535874	0.103973	0.0210199	0.0134597	0.0389887
i	0.00193339	0.000157395	0.0177993	0.00560072	0.00718455	0.00844149	0.154779	0.595792	0.14389	0.0269194	0.00844595	0.0290565
n	0.00226164	0.000420586	0.026679	0.0650211	0.00769262	0.393032	0.213488	0.0546485	0.0833327	0.0823069	0.0303402	0.0407765
g	0.00354655	0.00062269	0.0136058	0.260137	0.04823	0.475236	0.131718	0.0113151	0.0103507	0.00488496	0.0302969	0.0100563
á	0.00134088	0.000206634	0.0110196	0.231605	0.237845	0.374669	0.0805728	0.0147434	0.0122819	0.00179652	0.0226617	0.0112578
d	0.00263346	0.000152067	0.00851289	0.00597805	0.00338444	0.103763	0.158329	0.122418	0.339447	0.120612	0.102995	0.0317761
z	0.000870724	0.000136251	0.0027819	0.00686066	0.00039279	0.00979626	0.16381	0.5402	0.0552646	0.0242115	0.0606275	0.135048
ú	0.00557845	0.000755597	0.00273937	0.0343769	0.00239155	0.0268212	0.09441	0.40451	0.112818	0.0483186	0.206074	0.0612074
e	0.00318239	0.000301228	0.00082707	0.00194322	0.000840525	0.00392014	0.0350019	0.215852	0.339795	0.0874578	0.249489	0.0613893
l	0.00015364	1.27415e-05	0.00125872	0.00133155	5.64507e-05	0.00497385	0.0553877	0.0547782	0.245683	0.393648	0.0786912	0.164025
í	0.000295836	7.4013e-05	0.00254329	0.00240945	0.000186688	0.00455276	0.0622293	0.212818	0.142786	0.125124	0.117705	0.329275
b	0.000386535	3.34734e-05	0.00340786	0.00413599	0.000281406	0.00831627	0.0387371	0.0455148	0.12144	0.164085	0.404156	0.209505
é	0.000378199	4.93174e-05	0.00750568	0.00211931	9.40794e-05	0.00581475	0.145425	0.118508	0.19465	0.161213	0.27949	0.084753
</S>	7.82294e-05	3.25429e-05	0.00162237	0.000909911	6.26275e-05	0.00275852	0.0290186	0.113566	0.114277	0.0884395	0.363114	0.28612
