 	après	la	pluie	le	chemin	n'	était	qu'	une	mare	de	boue	</S>
o	0.774322	0.123832	0.0126644	0.0211529	0.0518787	0.00634973	0.000534033	0.00335687	0.00166173	0.00201896	0.00171805	0.000300621	0.000209821
n	0.317093	0.652144	0.0120805	0.00182922	0.0030203	0.00192298	0.000340729	0.000930078	0.000739254	0.000213003	0.00129347	0.00560336	0.00279009
g	0.559171	0.29939	0.0273699	0.0150382	0.0114361	0.00269132	0.00132167	0.00462163	0.00503351	0.00170554	0.0026398	0.0624607	0.00712145
ω	0.986418	0.0109044	0.000471642	0.000102236	0.000179039	4.80787e-05	1.05638e-05	2.89804e-05	4.40236e-05	1.44014e-05	2.08521e-05	0.00159311	0.000165042
n	0.944951	0.0344044	0.00257579	0.000493746	0.00154516	0.000198883	1.57515e-05	0.000110288	0.000174422	5.29455e-05	0.00013726	0.0143269	0.00101339
g	0.384502	0.226737	0.0255803	0.0250872	0.0173074	0.0185751	0.00680859	0.0235436	0.0239321	0.0108785	0.0103561	0.00838624	0.218306
ω	0.685445	0.240548	0.0103413	0.010349	0.0108312	0.00509346	0.000456275	0.00322143	0.0028194	0.000733844	0.00241326	0.00635572	0.0213926
m	0.0654918	0.651325	0.0431475	0.103128	0.0172749	0.0299255	0.0035552	0.0215375	0.00830758	0.00691434	0.0189929	0.000656134	0.0297442
á	0.0440689	0.393275	0.113312	0.0787768	0.0103615	0.276048	0.00865229	0.0154368	0.00698202	0.00865447	0.02491	0.00168785	0.0178345
m	0.0958196	0.158209	0.446395	0.115223	0.0785982	0.0300436	0.00561345	0.0112339	0.0102582	0.00602138	0.00683422	0.00892052	0.0268301
b	0.000775072	0.0901046	0.829279	0.0186167	0.000708849	0.0467381	0.00443583	0.00266897	0.000672733	0.000398947	0.00115694	0.000854769	0.00358905
v	5.67073e-05	0.00973437	0.985995	0.00161931	0.00054384	0.000341725	0.000147162	0.000102379	0.000169584	8.65064e-05	3.22897e-05	0.000399095	0.000771876
ú	0.000155413	0.00962495	0.975264	0.00368275	0.00200187	0.000346538	0.000232838	0.000300931	0.000626775	0.000538867	0.00011204	0.0016334	0.00547911
á	0.00685935	0.139569	0.446116	0.314635	0.0550295	0.0126917	0.00289524	0.00552474	0.0034123	0.00334146	0.00085778	0.00173355	0.00733372
k	0.00819837	0.0621161	0.0633621	0.46735	0.132671	0.211776	0.00579161	0.0176964	0.00643284	0.00408664	0.0107107	0.00039821	0.0094094
ó	0.00556777	0.0172194	0.014482	0.251237	0.486027	0.0473011	0.0429791	0.0273771	0.0414656	0.027209	0.00376324	0.00372657	0.0316459
ó	0.0013461	0.00859198	0.013586	0.136514	0.602592	0.0868222	0.0422704	0.0250256	0.0302414	0.0193146	0.00748761	0.00209493	0.0241129
a	0.000786319	0.00923191	0.00538425	0.198102	0.0753868	0.466705	0.0776399	0.0819879	0.0309835	0.0130938	0.0230836	0.000526881	0.0170886
b	0.000838227	0.0141642	0.00684372	0.0975478	0.126332	0.207489	0.187896	0.157381	0.0889736	0.0411604	0.0322993	0.00255763	0.036518
h	0.000158049	0.00509679	0.00805423	0.0805279	0.186868	0.0323844	0.135116	0.16868	0.161717	0.153019	0.0276729	0.00941086	0.0312954
i	0.000163241	0.003649	0.00880409	0.14656	0.154036	0.0263621	0.0667073	0.223393	0.160912	0.131701	0.0250297	0.00729255	0.0453906
o	0.000263435	0.00180669	0.00729054	0.108031	0.0736325	0.0682193	0.176245	0.197958	0.120301	0.106993	0.0421435	0.0159114	0.0812048
m	0.000357796	0.00372373	0.0113687	0.00961196	0.033823	0.0328804	0.141218	0.125715	0.253117	0.144919	0.0189951	0.152532	0.0717388
b	2.94492e-05	0.00419795	0.0211135	0.00415941	0.00207507	0.0245064	0.0986828	0.0727255	0.140139	0.138375	0.0388209	0.398844	0.0563317
i	5.08247e-06	0.003625	0.10473	0.00753383	0.00734648	0.00664808	0.0113549	0.0441423	0.128368	0.0860251	0.00930769	0.496304	0.09461
n	4.85172e-06	0.000930129	0.0184196	0.0149629	0.0081438	0.0146936	0.115492	0.171235	0.253125	0.25529	0.0145825	0.0427518	0.0903699
g	0.000155053	0.00367803	0.0107101	0.00997916	0.00506913	0.0440005	0.0480548	0.14884	0.327453	0.115193	0.041197	0.139443	0.106229
