 	elle	habite	tout	au	bout	du	village	</S>
w	0.971169	0.00701754	0.00238368	0.0021469	0.00228965	0.00910226	0.00578601	0.00010476
a	0.950301	0.003927	0.00757772	0.00533283	0.00492074	0.0277555	0.000156141	2.91375e-05
l	0.563032	0.0862773	0.15058	0.0797818	0.0432034	0.0473539	0.00122114	0.0285512
á	0.148454	0.0189152	0.0553028	0.0405036	0.0290776	0.0502701	0.0021797	0.655297
a	0.48352	0.0992086	0.0601146	0.0270683	0.0271443	0.103143	0.0047316	0.19507
d	0.00595929	0.922269	0.0384238	0.0118072	0.00956277	0.000844843	0.000770558	0.0103625
z	0.00112876	0.962492	0.0211455	0.00751964	0.00645017	4.11627e-05	2.35932e-05	0.00119944
e	0.0140066	0.918525	0.0346881	0.016072	0.0133918	0.000267309	5.69875e-05	0.00299227
e	0.00946022	0.344219	0.192506	0.0981909	0.120577	0.0293287	0.00146607	0.204253
m	0.00573258	0.0546956	0.677766	0.151029	0.0482949	0.0275336	0.0182951	0.0166535
á	0.0208106	0.0322487	0.347819	0.351914	0.103619	0.0288594	0.00210741	0.112621
á	0.0233908	0.0131518	0.331337	0.451293	0.106828	0.0308197	0.00815636	0.0350235
ó	0.00148554	0.00863686	0.0941841	0.54159	0.293011	0.0308363	0.00550841	0.0247485
i	0.00427427	0.0768422	0.0811759	0.387202	0.356657	0.0179503	0.0371929	0.0387053
s	0.000977627	0.0292282	0.0562043	0.382634	0.432432	0.0261839	0.0207574	0.0515824
ú	0.000213267	0.0119127	0.0270095	0.289329	0.593069	0.0167844	0.0108407	0.0508414
u	0.000423939	0.00136123	0.0376842	0.244433	0.616551	0.047394	0.0101902	0.0419622
l	0.000389597	0.000129871	0.0209326	0.110445	0.213283	0.474743	0.0567167	0.123361
á	0.00367749	0.0018608	0.0310838	0.130508	0.229526	0.141646	0.0493933	0.412304
p	0.0084119	0.000927185	0.0126158	0.0589564	0.0953709	0.254999	0.484996	0.0837222
o	0.000283646	0.00117005	0.00220235	0.00418964	0.0178395	0.00561511	0.96063	0.00806964
o	0.000167979	0.00120257	0.00204439	0.00652555	0.0247488	0.0151079	0.929705	0.0204977
</S>	0.00155383	0.000378216	0.0190684	0.0504628	0.210863	0.311271	0.0405917	0.365811
