 	c'	est	une	maladie	bénigne	</S>
é	0.513093	0.23109	0.11774	0.132078	0.00309239	0.00290749
d	0.133618	0.455655	0.129034	0.263963	0.0130756	0.00465382
í	0.106565	0.510154	0.175382	0.0894563	0.0107843	0.107658
n	0.0312526	0.0775953	0.112277	0.325429	0.273795	0.179651
g	0.0761634	0.128842	0.391386	0.111152	0.0116475	0.280809
a	0.0720377	0.186786	0.259948	0.24343	0.0108469	0.226952
a	0.112344	0.064723	0.180944	0.310567	0.0480609	0.283362
y	0.112886	0.0471214	0.312434	0.234332	0.138356	0.15487
á	0.0364826	0.0224433	0.14546	0.0882901	0.29033	0.416994
k	0.0118473	0.00604668	0.0287044	0.0870475	0.635275	0.23108
y	0.000128171	0.000487032	0.0028182	0.0443155	0.858681	0.0935701
έ	0.000330146	0.000480954	0.00366459	0.0654202	0.840705	0.0893991
r	0.000128685	0.000685891	0.0151279	0.0749494	0.725594	0.183514
ε	0.00113588	0.00430188	0.0492284	0.145642	0.498049	0.301643
k	0.0575281	0.0150512	0.119018	0.112901	0.118446	0.577055
a	0.0023905	0.00577357	0.0157535	0.0385242	0.420401	0.517157
á	0.000169303	0.000473161	0.0029208	0.014007	0.112615	0.869814
</S>	0.00912222	0.016378	0.0645353	0.0178007	0.0125709	0.879593
