 	la	manière	dont	mon	mari	a	refuse	de	manger	de	ma	cuisine	prouve	qu'	il	a	trouvé	une	autre	femme	dans	le	village	</S>
e	0.507351	0.305112	0.0644373	0.036165	0.00554602	0.0122673	0.0207497	0.0131466	0.00213201	0.00583679	0.00337768	0.0172449	0.00012422	0.000956654	0.000735735	0.000522153	0.00016302	0.000272737	0.000588171	0.000139165	0.000302717	0.00177979	0.000972426	7.72157e-05
k	0.00879514	0.0286476	0.010696	0.00235324	0.6896	0.0378886	0.0802577	0.0176012	0.0329063	0.0307089	0.0192584	0.0183285	0.0143284	0.000322582	0.000275138	0.0010172	0.00083187	0.00204468	0.00111427	0.00135002	0.00130767	0.000252195	2.26513e-05	9.11551e-05
i	0.0191428	0.00337255	0.0157201	0.00706635	0.0662876	0.0178311	0.395776	0.028332	0.048024	0.0644078	0.0217325	0.0868427	0.1174	0.0146025	0.0122895	0.0132545	0.0124266	0.0235677	0.0038221	0.00452213	0.0108352	0.00565996	0.00179607	0.00528833
i	0.0142041	0.007143	0.0150567	0.00715345	0.148282	0.0464771	0.398625	0.082314	0.0887053	0.0675539	0.0253282	0.0452739	0.0211351	0.00367376	0.0025701	0.00310222	0.00316162	0.00496059	0.00222796	0.00234061	0.00404849	0.0036906	0.0013067	0.00166541
l	0.159049	0.0585864	0.125068	0.0944882	0.0368189	0.072106	0.11532	0.0725868	0.0228717	0.0440264	0.0185861	0.0434411	0.00676277	0.0261479	0.0293709	0.00926767	0.00418209	0.00975141	0.00296199	0.00580322	0.00748143	0.00906473	0.00370707	0.0225512
í	0.00633602	0.00455622	0.0193298	0.0537921	0.0347765	0.0906615	0.0741673	0.0528406	0.0435904	0.0514782	0.0877936	0.0163685	0.0124689	0.0350737	0.0521111	0.0280187	0.02331	0.0215642	0.0021309	0.0412252	0.016628	0.0108733	0.00122101	0.219684
y	0.127716	0.0726501	0.113506	0.182377	0.0561499	0.10282	0.0436496	0.07365	0.0124673	0.0296586	0.0391037	0.0263421	0.00343227	0.026883	0.0179589	0.0168855	0.00703625	0.00513773	0.0163639	0.00390688	0.00259197	0.0102902	0.000394327	0.00902835
é	0.0866315	0.137309	0.235948	0.0382679	0.114978	0.0409702	0.00657535	0.0213994	0.0266135	0.0211769	0.0255592	0.00490359	0.0236589	0.0384799	0.0279017	0.0239868	0.0185004	0.0116096	0.0140632	0.0359868	0.00532216	0.00317122	0.000116218	0.0368697
é	0.0834107	0.0877658	0.197484	0.0651272	0.101944	0.067321	0.0169231	0.0492011	0.030055	0.032198	0.0336958	0.0121515	0.0201453	0.0378052	0.0263659	0.0300628	0.0169128	0.0137712	0.02443	0.01483	0.0052935	0.00370764	0.000213798	0.029185
k	0.00596904	0.0244256	0.166555	0.0244035	0.335752	0.0488537	0.0507833	0.0309196	0.0506604	0.0439701	0.0249161	0.0210843	0.0290675	0.00443618	0.00506009	0.0118808	0.0196928	0.0188945	0.00535372	0.037734	0.0120943	0.00299292	0.000480155	0.0240202
i	0.00260393	0.00111157	0.0348937	0.0123053	0.235903	0.0560244	0.374898	0.0579576	0.0478807	0.0419584	0.0121417	0.0172298	0.0252287	0.00767714	0.00911587	0.00914425	0.00713307	0.0114948	0.00323187	0.0130612	0.00414138	0.00132749	0.000303932	0.0132323
i	0.00503599	0.00587509	0.0612743	0.0103633	0.336332	0.0727505	0.302304	0.0570502	0.0455742	0.0234044	0.00631915	0.00768389	0.0139548	0.00170117	0.00212049	0.00204903	0.00252594	0.00610066	0.00147849	0.00636519	0.00602828	0.00160483	0.000370023	0.0217346
o	0.00948799	0.0147888	0.128919	0.343507	0.0660859	0.11217	0.0594857	0.0817813	0.0190519	0.0241247	0.0161494	0.0225938	0.0026779	0.0153482	0.0152985	0.0122229	0.00642841	0.00641767	0.0070092	0.00301618	0.00766126	0.0127647	0.0027924	0.010218
