 	cet	enfant	hurlait	dans	la	maison	</S>
m	0.540456	0.458416	9.16447e-05	0.000451956	0.000407774	0.000126725	4.98189e-05
w	0.00513975	0.994758	4.96271e-05	2.68468e-05	1.07483e-05	6.90208e-06	8.71874e-06
á	0.00163008	0.997975	0.000104624	4.96056e-05	1.92366e-05	0.00021549	5.94152e-06
n	0.176738	0.819922	0.000139041	0.000265432	0.000217239	0.000624609	0.00209364
a	0.097915	0.648993	0.0666511	0.0529534	0.014466	0.0484406	0.0705805
w	0.910756	0.0690121	0.00894313	0.00298252	0.00324623	0.00116929	0.00389032
ó	0.174832	0.0119071	0.21708	0.178793	0.165946	0.0227536	0.228689
á	0.213022	0.0407268	0.325229	0.116591	0.0667985	0.00739064	0.230242
d	0.00285872	0.000681086	0.787643	0.159308	0.0167433	0.00157103	0.0311947
z	0.00654429	0.00180556	0.778667	0.139619	0.0200228	0.000761428	0.0525805
e	0.291994	0.0294068	0.612292	0.0462125	0.0127225	0.00345959	0.00391194
l	0.0451878	0.0236648	0.364859	0.333162	0.124126	0.0142009	0.0947994
á	0.00493471	0.00119131	0.309074	0.216503	0.119062	0.0167188	0.332516
a	0.087127	0.00991568	0.240318	0.278655	0.15204	0.130098	0.101846
y	0.00070496	0.00142755	0.659767	0.295146	0.0203157	0.00569102	0.0169474
έ	0.000586741	7.3951e-05	0.808067	0.164164	0.0135229	0.000812008	0.0127725
έ	0.010446	0.000744589	0.202217	0.351406	0.0729615	0.0019159	0.360308
n	0.0028133	0.00025031	0.0389721	0.42904	0.329875	0.032242	0.166807
d	0.0232877	0.00133816	0.0105196	0.389896	0.328149	0.201078	0.0457319
z	0.0108139	0.00392778	0.0358226	0.460876	0.129804	0.279022	0.0797326
έ	0.00333757	0.00152431	0.15987	0.23319	0.346609	0.131192	0.124278
s	0.00115095	0.000140777	0.0123234	0.385586	0.324429	0.0362954	0.240074
á	0.000654736	8.58318e-05	0.0354582	0.278128	0.250018	0.040382	0.395273
n	0.0144314	0.000195035	0.012909	0.191972	0.318167	0.297709	0.164615
d	0.000940255	0.000185771	0.000756736	0.0353655	0.0360612	0.913052	0.0136387
é	0.00182423	0.00129807	0.00195975	0.0207412	0.0146006	0.90485	0.0547264
e	0.000570766	0.000133032	0.0209986	0.196525	0.103871	0.201602	0.4763
</S>	0.00474727	0.000324159	0.00824299	0.136494	0.15305	0.0539986	0.643143
