 	nous	partons	assister	au	match	de	football	</S>
b	0.971253	0.001292	0.000408847	0.00980713	0.00899025	0.00796595	0.000261879	2.10155e-05
í	0.983082	0.000805042	0.000640344	0.00592122	0.00171531	0.00689222	0.000600527	0.000343229
s	0.998624	0.000764984	0.000131602	0.000234479	3.17351e-05	5.68946e-05	6.28417e-05	9.35667e-05
í	0.983524	0.00270432	0.000956868	0.00453718	0.00229039	0.00331994	0.000891076	0.00177672
l	0.18807	0.192505	0.0240139	0.0217929	0.00444585	0.0341918	0.0143957	0.520585
é	0.044373	0.328115	0.0702678	0.0683565	0.016916	0.0678005	0.0230407	0.381131
m	0.0187079	0.86912	0.0905821	0.00964023	0.00178544	0.00314764	0.000457856	0.00655918
o	0.0230953	0.81667	0.09785	0.0465463	0.00753141	0.0028908	0.00267314	0.00274294
d	0.00372853	0.818662	0.148216	0.0158368	0.00150974	0.00266156	0.00233027	0.00705502
z	0.00518213	0.322538	0.567397	0.0648897	0.0308989	0.001398	0.00558741	0.0021086
w	0.00890243	0.819179	0.140969	0.0187238	0.00893192	0.00134623	0.00137971	0.000568446
á	0.0020811	0.307076	0.0684072	0.426161	0.046293	0.056452	0.0127315	0.080799
o	0.00373123	0.0117453	0.120694	0.533287	0.167357	0.14095	0.0113606	0.0108753
t	0.000974162	0.0251034	0.123111	0.167457	0.583538	0.0334186	0.0568583	0.00953933
á	8.90672e-05	0.016666	0.281331	0.075962	0.539728	0.00775164	0.0405951	0.0378772
á	0.0001781	0.00931496	0.195323	0.149941	0.501533	0.0181256	0.0390053	0.0865792
d	0.000432921	0.00379159	0.0130228	0.191546	0.201387	0.522189	0.0388223	0.028809
i	0.000612035	0.000385586	0.00243775	0.0358085	0.60506	0.0489481	0.111889	0.194859
n	8.58173e-05	0.00038789	0.00393061	0.0507429	0.302925	0.17008	0.366844	0.105004
g	6.27582e-05	0.000359402	0.00130828	0.0786132	0.358663	0.250651	0.226506	0.083837
a	0.000336195	4.43443e-05	0.0007695	0.0395677	0.536354	0.134838	0.235549	0.0525416
l	3.01714e-05	0.000108743	0.00084163	0.0386475	0.0987374	0.395155	0.311588	0.154891
í	0.000341269	0.000493205	0.00563087	0.0377521	0.0681009	0.182837	0.395908	0.308937
m	0.000681628	0.000173052	0.00141832	0.0138666	0.0175932	0.183197	0.514057	0.269013
b	0.000379857	0.00334652	0.00208584	0.0310965	0.0126008	0.101333	0.569674	0.279484
ώ	0.00111013	0.000171689	0.000115865	0.00457467	0.0020142	0.0231976	0.846582	0.122234
n	1.47481e-05	2.72902e-05	0.000243832	0.00740897	0.0054668	0.0635989	0.709319	0.213921
d	3.2849e-05	0.000425351	0.000791778	0.0157747	0.0233079	0.0499913	0.738691	0.170985
ώ	3.11319e-05	0.000127629	0.000252481	0.0100499	0.0261905	0.0477357	0.608095	0.307518
</S>	0.00012307	0.000123281	0.00046104	0.0199789	0.0142374	0.240106	0.193722	0.531248
