 	il	est	venu	alors	que	tu	étais	malade	</S>
w	0.899801	0.0668193	0.00858456	0.0116379	0.00475585	0.00356526	0.00276811	0.00156834	0.000499684
a	0.74229	0.0724966	0.0194552	0.0263988	0.0201838	0.0477418	0.0523491	0.0181594	0.000925724
á	0.127132	0.57271	0.209615	0.0182848	0.0134095	0.0170486	0.0302742	0.00175837	0.00976702
y	0.0322965	0.350926	0.52291	0.0171876	0.0108321	0.0107859	0.0214806	0.0060716	0.0275103
ε	0.00596585	0.119342	0.711913	0.035294	0.00552153	0.0163652	0.02262	0.00270097	0.0802772
ε	0.0346439	0.285463	0.468401	0.0506964	0.0178946	0.0225019	0.0727691	0.00420041	0.0434294
é	0.0387548	0.225384	0.24095	0.127997	0.148582	0.0658648	0.0437034	0.0044304	0.104334
é	0.0057953	0.190082	0.204163	0.215701	0.17887	0.109708	0.0624969	0.00998915	0.0231947
d	0.00209902	0.0783408	0.242341	0.242731	0.163693	0.048342	0.0462147	0.0613072	0.114931
z	0.000301924	0.0222155	0.0350479	0.167034	0.157617	0.0575956	0.170978	0.00697264	0.382237
é	0.00824796	0.0272847	0.0201173	0.249781	0.120803	0.148974	0.220312	0.0083425	0.196137
n	0.00555396	0.0478245	0.0517769	0.165876	0.340135	0.0936799	0.0750793	0.048706	0.171368
ω	0.00435287	0.0251073	0.0499618	0.071077	0.118	0.523282	0.09494	0.00933704	0.103942
l	0.00196373	0.026827	0.0794154	0.0953151	0.172639	0.141786	0.218814	0.0869876	0.176253
i	0.00504303	0.018447	0.0616085	0.132323	0.183701	0.114797	0.1041	0.105484	0.274497
k	0.0012312	0.00699261	0.0173982	0.0786801	0.113701	0.0510104	0.113748	0.413964	0.203275
ω	0.000236956	0.00224287	0.0136453	0.0856747	0.10265	0.0249217	0.0195551	0.617852	0.133222
n	2.0368e-05	0.000822713	0.00453334	0.0318988	0.0279419	0.00630948	0.00827427	0.908317	0.0118819
í	0.000431427	0.00241422	0.00298037	0.0732926	0.0613043	0.0502781	0.0287771	0.652658	0.127864
</S>	0.000850982	0.00293121	0.0016526	0.00585467	0.0370963	0.0765765	0.210079	0.122822	0.542137
