 	le	chef	de	canton	mbochi	nommé	dénis	yongo	était	autoritaire	</S>
o	0.875106	0.0807898	0.014152	0.022803	0.00562639	0.000490191	0.000882331	4.39124e-05	6.24511e-05	3.83597e-05	5.39137e-06
k	0.0154982	0.978529	0.00225259	0.00158615	0.000359637	0.000156475	0.000225683	0.000160346	0.000232604	0.000571555	0.000427315
o	0.000215439	0.998912	6.19941e-05	0.000264706	6.84278e-05	6.26295e-05	3.2097e-05	0.00010263	7.39038e-05	0.000114489	9.20466e-05
n	0.00143582	0.992612	0.00145155	0.00184003	0.000589186	0.00036722	0.000171341	0.000523934	0.000362015	0.000349895	0.000297377
d	0.0523237	0.927062	0.00404254	0.00695557	0.00164582	0.00207489	0.00169959	0.000508562	0.000613167	0.00112759	0.00194656
z	0.104526	0.85031	0.0241633	0.00728463	0.0011515	0.00175102	0.00159605	0.000221529	0.000327761	0.00020936	0.00845978
i	0.0469472	0.904957	0.00961845	0.00567876	0.000719238	0.00379039	0.00421169	0.000305719	0.000496385	0.000218293	0.0230566
y	0.162041	0.0292222	0.624441	0.131799	0.0136168	0.00856365	0.00848614	0.00343946	0.00906075	0.00039458	0.00893547
a	0.101978	0.00057578	0.122212	0.616657	0.0415658	0.0101879	0.0177702	0.0245546	0.034435	0.00635848	0.023706
s	0.0816754	0.000487095	0.0868841	0.803722	0.00751553	0.00182758	0.00198509	0.00625142	0.00507126	0.00205609	0.00252447
i	0.00836534	3.29358e-05	0.0428143	0.874696	0.0378294	0.00181102	0.00172763	0.0113653	0.00816273	0.00913675	0.00405878
n	0.0363572	0.000249564	0.102399	0.656039	0.153046	0.0133895	0.00705929	0.00913084	0.00872909	0.00367853	0.00992274
g	0.00484703	0.000366467	0.0811663	0.767306	0.107636	0.00643476	0.00449358	0.00549068	0.00294471	0.00458172	0.0147326
a	0.00075846	0.00038671	0.0246213	0.868373	0.0824699	0.00566134	0.00177744	0.00327071	0.000681923	0.00826628	0.0037331
l	0.0139558	0.000107781	0.434702	0.284537	0.19802	0.0227034	0.0116022	0.00988098	0.0109837	0.00110081	0.0124063
á	0.0364647	0.000745859	0.198929	0.243286	0.174849	0.0429548	0.0589088	0.0279177	0.0573214	0.0115369	0.147086
m	0.0222275	0.000654269	0.0975642	0.167031	0.244366	0.262351	0.10576	0.0414096	0.0192448	0.00435075	0.0350412
b	0.00399479	2.18163e-05	0.00911622	0.0146157	0.629713	0.279957	0.0526086	0.0042288	0.00277188	0.00066286	0.00230849
ώ	6.74221e-05	4.45015e-05	0.0031301	0.00621625	0.400821	0.515545	0.0667068	0.00378571	0.000543994	0.000412543	0.00272628
s	0.000291605	8.68754e-05	0.0118191	0.00214854	0.186007	0.7113	0.0819527	0.00125466	0.000352837	0.000192198	0.00459484
í	0.000584537	0.00630874	0.0210968	0.0749725	0.156662	0.39154	0.138104	0.0386199	0.0115501	0.00952725	0.151035
m	0.0028718	2.49918e-05	0.0217154	0.0197827	0.0782651	0.40418	0.319471	0.10854	0.0291097	0.000894464	0.0151447
b	0.0046092	2.2567e-05	0.00591773	0.00196829	0.052566	0.322831	0.525777	0.0109877	0.0258916	0.00331454	0.046114
í	0.000174312	3.26955e-05	0.00100864	0.000600551	0.0318541	0.550513	0.400141	0.00355277	0.000961886	0.00549985	0.00566123
d	0.00103821	3.15437e-05	0.00229841	0.000522867	0.0272118	0.613137	0.330757	0.00352004	0.00187872	0.000441577	0.0191628
e	0.000122504	0.000155651	0.00202345	0.00733838	0.0255042	0.189184	0.502464	0.106989	0.0308627	0.0250119	0.110345
n	0.000123629	4.49162e-05	0.00170252	0.000990032	0.00640832	0.0937316	0.185998	0.530076	0.11998	0.00451454	0.0564315
í	0.00999808	0.0020187	0.029066	0.0156248	0.0365684	0.059562	0.235234	0.2674	0.0925503	0.0415	0.210478
y	0.000501788	6.99323e-05	0.00442547	0.000916596	0.00492979	0.0276215	0.153335	0.40703	0.286189	0.0171692	0.0978114
o	0.00185227	4.0294e-05	0.00785129	0.00738243	0.00802833	0.0125862	0.0251369	0.507927	0.333976	0.0698831	0.0253361
n	0.000246095	0.000442174	0.00204953	0.00416361	0.00253798	0.00705464	0.0264872	0.397989	0.270489	0.224642	0.063899
g	0.00073878	9.71259e-05	0.00294838	0.00286615	0.0167509	0.0100165	0.0250857	0.328906	0.0859883	0.474529	0.0520739
o	0.000128101	0.000476551	0.000533821	0.0018705	0.00265504	0.00427613	0.0133646	0.423946	0.0612528	0.417661	0.0738347
á	0.000105475	7.41435e-05	0.000603557	0.00229087	0.00352474	0.00356009	0.00654645	0.344255	0.0520669	0.470265	0.116707
d	0.00040758	0.000195303	0.0060306	0.00152923	0.00451192	0.00664557	0.0112899	0.0432529	0.334038	0.23378	0.358319
z	0.000110007	1.84435e-05	0.00201015	0.000194798	0.000951891	0.00100348	0.0036247	0.0117821	0.336395	0.0479174	0.595992
á	0.000159329	1.38882e-05	0.00119381	0.0041964	0.000867922	0.00333101	0.0151411	0.1012	0.633201	0.134943	0.105752
l	0.00220033	1.68733e-05	0.00185558	0.000916331	0.000916143	0.00462258	0.0161429	0.0558309	0.312575	0.117182	0.487742
e	0.000184928	2.23542e-05	0.00132826	0.000324818	0.000760941	0.0090738	0.0234908	0.00962931	0.219132	0.0888111	0.647242
n	0.00012605	0.000224746	0.00263259	0.000749759	0.00184779	0.00956145	0.0195002	0.00983249	0.0997418	0.307184	0.548599
