 	il	attire	les	animaux	au	piège	avec	un	remède	</S>
w	0.882101	0.0600767	0.0205247	0.0150287	0.0138486	0.00394103	0.00159663	0.00177264	0.00103314	7.7096e-05
a	0.867189	0.022299	0.0342339	0.0120445	0.0494717	0.00766048	0.000824897	0.00316814	0.00308311	2.50995e-05
a	0.215219	0.398781	0.181232	0.0266699	0.0806254	0.036055	0.0210278	0.0260492	0.00461882	0.00972239
d	0.0482109	0.369243	0.157827	0.0739636	0.0918568	0.0757458	0.0530984	0.0604277	0.00927285	0.0603539
í	0.0315735	0.468665	0.184478	0.105982	0.0538577	0.00519279	0.0161824	0.00968323	0.00192901	0.122457
l	0.00865377	0.212265	0.18453	0.0457708	0.042971	0.0137019	0.0519155	0.0525711	0.013206	0.374414
a	0.0160033	0.236497	0.339299	0.116417	0.05366	0.00810874	0.0285703	0.0246922	0.016259	0.160493
ω	0.0228297	0.340664	0.258972	0.255283	0.0389355	0.0112276	0.0130251	0.0095516	0.0172201	0.0322912
n	0.0013983	0.193075	0.23204	0.349778	0.0831312	0.0466159	0.033176	0.0119389	0.00705418	0.041792
g	0.00162981	0.0431211	0.1174	0.707373	0.0302127	0.00843058	0.00859635	0.00890947	0.0111873	0.06314
a	0.00262172	0.0142357	0.0385545	0.867123	0.0259106	0.0176206	0.00532182	0.00325985	0.0119322	0.0134202
n	0.010207	0.03432	0.141038	0.305246	0.164677	0.0695118	0.0388057	0.0183276	0.0155923	0.202275
g	0.0257087	0.0386906	0.133409	0.454178	0.162455	0.0452194	0.0289974	0.0155818	0.00940505	0.0863554
a	0.0665074	0.0187781	0.0330232	0.706587	0.0614509	0.0361636	0.0051036	0.00169551	0.0175206	0.0531702
m	0.0109749	0.0264753	0.144486	0.110952	0.442915	0.155166	0.0563537	0.0200164	0.0033177	0.0293421
á	0.0244557	0.00646414	0.100201	0.110872	0.291488	0.181967	0.136301	0.0568105	0.00408536	0.0873553
i	0.0182669	0.0157787	0.0814074	0.214489	0.229718	0.167204	0.174739	0.037131	0.0393591	0.0219067
p	0.00167995	0.0226072	0.0181332	0.0691066	0.104761	0.300405	0.379341	0.0636718	0.0152861	0.0250082
έ	0.000939215	0.016172	0.0186234	0.0269966	0.0941592	0.483751	0.307722	0.0264638	0.00370903	0.0214636
ε	0.00384278	0.0283116	0.059984	0.0476614	0.114478	0.522529	0.124638	0.0273744	0.0104935	0.0606876
l	0.00224939	0.0051409	0.0231086	0.019277	0.0672052	0.0891127	0.479928	0.215837	0.0254158	0.0727257
á	0.00077136	0.0100157	0.0151056	0.0274564	0.0818189	0.0861529	0.305736	0.137848	0.0583979	0.276696
a	0.0117906	0.00299774	0.0301015	0.0511709	0.024128	0.0286702	0.131346	0.141171	0.550532	0.0280926
n	0.000880376	0.00587289	0.0090703	0.0180324	0.0181029	0.0426086	0.198044	0.346782	0.289475	0.0711324
y	0.00126207	0.0029976	0.00883265	0.349324	0.014702	0.00805479	0.0447092	0.111396	0.415195	0.0435263
a	0.00105902	0.00198168	0.00950745	0.41882	0.015164	0.0097326	0.0332151	0.0696852	0.404864	0.0359709
m	9.62153e-05	0.000427093	0.00298196	0.105341	0.016076	0.0277126	0.0679146	0.0879125	0.518133	0.173405
a	0.00942583	0.00244103	0.0136168	0.0348064	0.0596007	0.060471	0.287472	0.195976	0.076281	0.25991
p	0.00128342	0.00264675	0.00569717	0.00243137	0.0090697	0.00359506	0.0700433	0.244542	0.156817	0.503874
ó	0.00330336	0.00402256	0.0104198	0.00755816	0.0334374	0.0605632	0.178208	0.311023	0.117405	0.274059
s	0.000613136	0.00177099	0.00171217	0.00148937	0.00544251	0.0308011	0.15036	0.127182	0.304857	0.375772
á	0.00049333	0.00269575	0.00449911	0.00876037	0.0187502	0.0445504	0.178625	0.237063	0.269869	0.234693
ω	0.000592022	0.00158587	0.00282267	0.00121221	0.00535272	0.00484139	0.05027	0.150983	0.165043	0.617297
y	0.000264643	0.00395251	0.00695653	0.00414336	0.010531	0.00837978	0.0391456	0.240955	0.390169	0.295502
a	0.000993445	0.00680993	0.0086607	0.00551632	0.0148023	0.00624686	0.0175149	0.254227	0.262663	0.422566
a	0.000245473	0.000527335	0.00207861	0.00184747	0.00395042	0.00382995	0.0123699	0.104641	0.154494	0.716016
m	0.000202214	0.000410877	0.00170819	0.000872193	0.00269939	0.00336974	0.0265164	0.168252	0.249417	0.546552
ó	0.000866215	0.00521893	0.0161416	0.00440164	0.0433193	0.0215389	0.0731861	0.404249	0.137875	0.293202
b	0.00132637	0.00133219	0.00573247	0.00282892	0.00713387	0.0153453	0.0343314	0.148058	0.307464	0.476447
ó	0.00162083	0.00148015	0.00635431	0.00190392	0.0279154	0.043991	0.0435167	0.30193	0.278328	0.29296
y	0.000449085	0.000797988	0.00236281	0.00057875	0.00472924	0.0221037	0.0506554	0.135626	0.210077	0.57262
a	0.000563216	0.00259374	0.00558564	0.00678578	0.0100696	0.0476968	0.0559849	0.122868	0.357397	0.390455
</S>	0.000624694	0.00218995	0.0049027	0.00206896	0.00925313	0.0114383	0.0380059	0.175627	0.171527	0.584363
