 	dieu	a	créé	ce	monde	</S>
n	0.991354	0.00704464	0.000309177	0.000894844	0.000322078	7.56134e-05
z	0.994131	0.0034678	0.000409496	0.00169765	0.000198841	9.54059e-05
a	0.984685	0.00476984	0.00495169	0.00277727	0.00183113	0.000985448
m	0.539143	0.0573414	0.274106	0.0273205	0.0495951	0.0524934
b	0.42305	0.432017	0.0258804	0.0560895	0.00500977	0.0579532
é	0.407178	0.377031	0.0552396	0.0399848	0.0165532	0.104013
á	0.00494498	0.648202	0.251028	0.0448599	0.00985365	0.0411119
y	0.000222186	0.182213	0.733851	0.0484053	0.00892558	0.0263827
ε	0.00176144	0.0438649	0.888772	0.0301335	0.0130344	0.0224333
s	0.000412676	0.0221478	0.916731	0.0421357	0.00465387	0.0139188
έ	0.00112778	0.0564329	0.870188	0.0549789	0.0091836	0.00808833
o	0.00289569	0.122047	0.196886	0.262889	0.195701	0.219582
k	0.00031024	0.0141442	0.0364111	0.155398	0.725669	0.0680681
i	4.73207e-05	0.00266768	0.0290365	0.0546681	0.882749	0.0308313
l	0.000153033	0.01111	0.0597258	0.069745	0.62781	0.231457
i	0.00014239	0.0100555	0.0944651	0.0895537	0.562617	0.243166
m	0.000450962	0.0198687	0.0709808	0.270786	0.173738	0.464175
ú	0.000944238	0.0143485	0.0138716	0.577184	0.0718691	0.321782
</S>	0.000957978	0.00814418	0.00665937	0.314478	0.147728	0.522032
