 	le	chasseur	a	dépouillé	la	gazelle	</S>
o	0.914574	0.0828353	0.0013517	7.30422e-05	0.000526458	0.000564752	7.45558e-05
b	0.152667	0.830067	0.00596244	0.00331399	0.00192835	0.00442581	0.00163612
e	0.241046	0.709569	0.00807435	0.0196197	0.00441041	0.0131016	0.00417905
n	0.144272	0.78761	0.00971115	0.0251708	0.00355279	0.00794786	0.0217352
g	0.74229	0.0897551	0.0754269	0.0183033	0.00637211	0.00478398	0.0630683
i	0.534486	0.383824	0.0377635	0.0146922	0.0056431	0.00369152	0.0198998
á	0.0517799	0.00640396	0.675801	0.239407	0.0123698	0.00113339	0.0131051
b	0.00323109	0.00108277	0.213638	0.718899	0.0420861	0.012601	0.00846196
h	0.00238459	0.00365166	0.100531	0.807677	0.0684254	0.00831545	0.00901467
a	0.0183465	0.00409645	0.10436	0.801657	0.0566239	0.00766718	0.00724928
r	0.00510579	0.00218266	0.074989	0.618707	0.0830796	0.111513	0.104422
i	0.0337129	0.00217456	0.196007	0.163448	0.283003	0.199014	0.12264
t	0.00934645	0.00182212	0.122992	0.154478	0.420309	0.205416	0.0856362
s	0.0238959	0.000963366	0.12023	0.0716833	0.147232	0.372794	0.263201
έ	0.000490696	0.000139838	0.0168067	0.129548	0.0859747	0.737913	0.0291271
s	0.000412628	0.000173562	0.0153352	0.044397	0.0670315	0.200223	0.672427
i	0.000417934	8.59698e-06	0.0170052	0.0112102	0.164093	0.297372	0.509893
e	0.00195422	1.16244e-05	0.0165252	0.00797824	0.180549	0.130138	0.662844
k	0.00292883	0.000136928	0.0213869	0.0106674	0.167626	0.48451	0.312744
ó	0.00109691	0.000382693	0.0181843	0.0135311	0.0662708	0.817437	0.0830976
r	0.000279966	8.46854e-05	0.0116322	0.0361799	0.0282358	0.819345	0.104242
ó	0.00391318	0.00136168	0.0333256	0.0430798	0.110374	0.408321	0.399626
</S>	0.0178017	0.000549008	0.0472691	0.0131037	0.163799	0.102977	0.654501
