 	pardonne	ton	ami	pour	tout	le	mal	qu'	il	t'	a	fait	</S>
k	0.644394	0.238547	0.0168619	0.00856447	0.0066495	0.01089	0.0138898	0.0411478	0.0111134	0.00521303	0.00215885	0.000299767	0.000270278
ú	0.878951	0.0510589	0.0150107	0.00893287	0.00863316	0.00641849	0.00468435	0.00455602	0.00354969	0.00937187	0.00491945	0.00299608	0.000917542
l	0.48094	0.121153	0.0121246	0.0660985	0.048251	0.0367224	0.0278431	0.0365134	0.010905	0.00640436	0.00504786	0.0068999	0.141097
a	0.280227	0.472714	0.00504659	0.0460363	0.0340394	0.0288368	0.0354817	0.0490978	0.0136091	0.0104831	0.00494216	0.00507814	0.014408
o	0.110915	0.571901	0.20772	0.0307244	0.0111524	0.00650607	0.00407333	0.00714043	0.00642551	0.00787189	0.00902784	0.0014033	0.0251383
b	0.0281045	0.0492475	0.699758	0.12354	0.0233929	0.00811245	0.00261181	0.00131013	0.00226271	0.0125212	0.0177351	0.0119676	0.0194364
i	0.0135207	0.00111615	0.960556	0.0151268	0.00225037	0.00191794	0.000972364	0.000139516	0.000194344	0.000540726	0.000248739	0.00211527	0.00130091
a	0.0244723	0.00744764	0.625625	0.168536	0.0293728	0.0227532	0.0064049	0.00114833	0.00115302	0.00175117	0.00172406	0.00729582	0.102316
e	0.00580705	0.0955645	0.00673653	0.332129	0.257968	0.101156	0.050495	0.0628433	0.0331558	0.0246783	0.0170623	0.00215293	0.010251
t	0.00586496	0.00318759	0.0144166	0.497281	0.190321	0.120255	0.0359419	0.0109564	0.013924	0.0202694	0.0134189	0.0220833	0.0520808
ú	0.00261509	0.00447623	0.00717722	0.291032	0.224954	0.194297	0.109678	0.0194271	0.0166666	0.0080016	0.0095757	0.0391224	0.0729768
m	0.00125059	0.00156077	0.000965656	0.145517	0.2565	0.260418	0.112441	0.0306374	0.00478484	0.00156165	0.00411319	0.0175393	0.162709
ó	0.00501928	0.0122013	0.000214874	0.0907291	0.115764	0.15802	0.357413	0.209132	0.0374936	0.00545678	0.00240445	0.000832233	0.00531971
y	0.00251871	0.00665709	0.000994571	0.0604536	0.0953746	0.165771	0.198929	0.197259	0.180323	0.0448119	0.020156	0.01347	0.0132824
á	0.000656559	0.0107765	0.000884516	0.0365461	0.0587665	0.105139	0.416012	0.184503	0.0810428	0.048589	0.0290709	0.0113564	0.0166567
m	0.000880726	0.00948799	0.000535852	0.00865761	0.0208718	0.0727762	0.325698	0.290381	0.195541	0.0336658	0.0128762	0.0195927	0.00903486
b	0.000536642	0.000847529	0.000849844	0.0316081	0.0234098	0.12099	0.453207	0.0644316	0.173876	0.0339785	0.00913667	0.00749742	0.0796301
é	0.00215996	0.000550362	0.00350497	0.0420199	0.0250878	0.115624	0.47048	0.0596011	0.203781	0.0191505	0.00238332	0.0145746	0.041083
m	0.00194175	0.00139312	0.000421675	0.0602049	0.0705619	0.173951	0.193416	0.0927295	0.313101	0.0304812	0.0138538	0.00904365	0.0389005
b	0.00138828	0.00115029	0.000114514	0.0154572	0.0233716	0.107268	0.372079	0.14267	0.172854	0.0341143	0.0150439	0.00594394	0.108545
é	0.0148929	0.00168796	0.00312014	0.0509878	0.0353309	0.114649	0.381661	0.0770331	0.204621	0.040284	0.00735237	0.0171269	0.0512539
y	0.0014745	0.00140299	0.000201586	0.0384202	0.0713454	0.10731	0.10719	0.106966	0.209167	0.0948102	0.0967556	0.0425497	0.122406
é	0.00110101	0.00650009	0.000693822	0.0210633	0.0378159	0.097482	0.308503	0.155313	0.109773	0.114803	0.0667545	0.0508707	0.0293278
é	0.000543626	0.00104279	0.000148188	0.00798583	0.0215739	0.0426217	0.0890138	0.159687	0.148171	0.146649	0.170962	0.11133	0.100271
k	0.00106743	0.000722372	0.00161685	0.00885341	0.00616432	0.00886258	0.00492523	0.00370377	0.0139854	0.099183	0.32515	0.374528	0.151237
y	0.00270441	0.000164146	0.00162971	0.0124506	0.0145176	0.0196056	0.00728562	0.0041586	0.0102165	0.0163961	0.0510014	0.663194	0.196675
e	0.00270921	0.000359904	0.00184128	0.0168739	0.0349315	0.0314464	0.0199175	0.0142002	0.0282522	0.0288502	0.0626049	0.499116	0.258897
w	0.000207897	0.000961187	0.000480485	0.00272992	0.00990432	0.00878093	0.012535	0.0395134	0.0485978	0.0978816	0.15067	0.275321	0.352417
á	0.00194685	0.00247392	2.76977e-05	0.00572739	0.0479398	0.0266452	0.0668244	0.315324	0.261246	0.0929384	0.0369664	0.0515883	0.0903515
l	0.000952671	0.00258313	0.000139651	0.00600225	0.0112329	0.0110175	0.0254711	0.0795386	0.116913	0.137785	0.0647189	0.10691	0.436735
a	0.000880854	0.000573902	0.000338166	0.011893	0.00898031	0.0126784	0.0187667	0.0103987	0.0234176	0.177655	0.188791	0.201885	0.343741
n	0.00122195	0.00342623	0.000163543	0.00769534	0.0149454	0.0229869	0.0347322	0.0453607	0.0465128	0.13492	0.137273	0.277246	0.273516
ω	0.000285444	0.0070269	0.00013271	0.0012729	0.00104962	0.00218277	0.0140269	0.00337876	0.00947281	0.804756	0.0366141	0.0528176	0.0669832
</S>	5.83817e-05	0.000693544	0.00017879	0.00126385	0.0014306	0.00260893	0.00819722	0.00654645	0.0420454	0.24609	0.0685072	0.104898	0.517482
