 	il	est	avide	de	viande	</S>
w	0.926203	0.0500949	0.00721476	0.0109131	0.00532437	0.000250125
a	0.927318	0.0160711	0.0022381	0.0522847	0.00201391	7.38517e-05
a	0.222999	0.655036	0.0304331	0.0239037	0.00360772	0.0640212
d	0.0861199	0.542226	0.267143	0.0531084	0.00323633	0.0481658
í	0.0758411	0.663181	0.0606898	0.016649	0.00302154	0.180618
l	0.0139084	0.166361	0.369899	0.100058	0.00868702	0.341087
a	0.0663031	0.221415	0.311652	0.113617	0.0836556	0.203357
y	0.0126289	0.110155	0.659525	0.0311029	0.114752	0.0718363
u	0.000420924	0.0222056	0.89156	0.00624483	0.0395301	0.0400386
l	0.00916563	0.0293694	0.545549	0.0624828	0.115219	0.238214
u	0.00582	0.153659	0.212498	0.395151	0.0685864	0.164285
m	0.00171405	0.0851288	0.0751997	0.707195	0.0537253	0.0770368
ó	0.00460609	0.0506156	0.351872	0.19292	0.1824	0.217587
n	0.00430691	0.0195091	0.171346	0.310212	0.357293	0.137333
y	0.000783326	0.00157725	0.00270672	0.0517449	0.837718	0.10547
a	9.52184e-05	0.000300256	0.000383968	0.00489869	0.987851	0.00647056
m	0.000669817	0.0147386	0.0299102	0.196482	0.320002	0.438197
a	0.00380141	0.0117252	0.0335003	0.27644	0.188134	0.4864
</S>	0.00132514	0.0177237	0.00879947	0.182486	0.0167505	0.772915
