 	celui-ci	est	mon	champ	celui-là	est	à	mon	oncle	</S>
y	0.162148	0.0946186	0.0653131	0.473042	0.168753	0.0143294	0.0114865	0.0082066	0.000398736	0.00170429
é	0.00464776	0.00508042	0.0581621	0.394621	0.481962	0.00535335	0.00325505	0.00426623	0.0408614	0.00179122
n	0.0052131	0.0117159	0.0925617	0.810412	0.0325493	0.00305702	0.00445332	0.00634092	0.0296713	0.00402526
g	0.00137685	0.00160941	0.00689772	0.858109	0.00538315	0.00299588	0.00489103	0.00465208	0.0865902	0.0274949
o	0.000828548	0.000960213	0.0124124	0.921335	0.00650166	0.000641019	0.000874614	0.00111947	0.0532757	0.00205091
n	0.000381595	0.00152287	0.033041	0.536844	0.0673182	0.00698798	0.0140013	0.0297033	0.290566	0.0196332
d	0.0438914	0.0468791	0.0566322	0.0795708	0.234964	0.057731	0.101263	0.0207906	0.0979465	0.260331
a	0.0136569	0.0255356	0.0839379	0.282129	0.126251	0.0229277	0.0450148	0.0493136	0.319422	0.0318122
y	0.0484552	0.100672	0.170289	0.0320847	0.40474	0.0754017	0.0803597	0.0398457	0.0343213	0.0138316
á	0.0355029	0.0858892	0.619321	0.0318238	0.0933729	0.0615044	0.0294636	0.021133	0.0153356	0.006653
n	0.00339245	0.0069257	0.366279	0.0505185	0.143973	0.0468376	0.0432533	0.309351	0.0222127	0.00725626
g	3.32727e-05	0.000244917	0.787298	0.0691124	0.0111886	0.00157813	0.00614022	0.0739486	0.0492326	0.00122309
á	0.000379299	0.00197671	0.148859	0.0823402	0.175734	0.0189125	0.0360238	0.0563487	0.447766	0.0316594
y	0.00451769	0.00546573	0.0430644	0.0124717	0.104222	0.134232	0.253711	0.226231	0.119512	0.0965722
í	0.00217206	0.0190769	0.142687	0.0346721	0.0447083	0.270136	0.187738	0.105416	0.169035	0.0243581
i	0.00330074	0.0142949	0.26872	0.00914597	0.0948808	0.116578	0.125456	0.225873	0.0494765	0.0922743
y	0.00419025	0.00748272	0.0117566	0.00110984	0.0130191	0.117713	0.15562	0.0421664	0.0895838	0.557358
á	0.00186258	0.0107522	0.0182286	0.00393056	0.00290199	0.246358	0.327734	0.11566	0.126227	0.146345
n	0.00130138	0.00267273	0.0458052	0.00187175	0.0156816	0.0575154	0.14582	0.479956	0.0434339	0.205942
g	0.000576395	0.00332517	0.0868606	0.0218179	0.0428293	0.0467286	0.21433	0.325263	0.0952179	0.163051
ó	0.000401011	0.00128823	0.0812241	0.0779862	0.0714626	0.0174831	0.0829897	0.106282	0.402137	0.158747
l	0.000778634	0.00215107	0.0260755	0.0393721	0.0361932	0.0335588	0.119901	0.258555	0.191994	0.291421
ó	0.00201385	0.00625897	0.0101138	0.00485891	0.0140138	0.0285367	0.0964428	0.0788672	0.152235	0.606659
m	0.000580311	0.00133876	0.0245126	0.00253894	0.00988095	0.0241927	0.0842904	0.0795505	0.157237	0.615878
i	0.0103842	0.00998323	0.00697031	0.00047862	0.0401275	0.0880418	0.090877	0.0658838	0.3228	0.364454
</S>	0.00274401	0.00364664	0.00172322	0.000185198	0.00354964	0.026554	0.132432	0.0784847	0.0336181	0.717063
