 	cette	danse	manque	de	danseurs	doués	</S>
b	0.370896	0.611109	0.0121319	0.00158477	0.00321418	0.00102219	4.18439e-05
v	0.0388038	0.930958	0.0124399	0.00193933	0.00655869	0.00881983	0.000480443
a	0.0324032	0.922203	0.0236084	0.00303469	0.00235575	0.0162883	0.000106558
n	0.0803336	0.759393	0.0362558	0.0111968	0.00408559	0.0256139	0.0831217
g	0.249206	0.526782	0.0672381	0.0251673	0.00547014	0.0125318	0.113604
a	0.24344	0.708469	0.026147	0.00351917	0.00187816	0.00506417	0.011483
b	0.410088	0.191313	0.169874	0.124579	0.0223668	0.00159416	0.0801854
v	0.194039	0.0792082	0.201517	0.208158	0.127536	0.00900849	0.180533
ú	0.347458	0.331978	0.125025	0.101412	0.0458532	0.00787491	0.0403988
ó	0.344325	0.11068	0.30409	0.191691	0.035379	0.00463617	0.00919942
m	0.118829	0.00995876	0.317675	0.49238	0.0329436	0.00776781	0.0204455
i	0.0637368	0.00401035	0.0352276	0.461708	0.0859338	0.0135959	0.335788
k	0.0277034	0.0124516	0.133715	0.495269	0.0825293	0.216524	0.031809
á	0.00583457	0.00535341	0.183475	0.596299	0.017901	0.151262	0.039875
m	0.0105643	0.00987094	0.11023	0.556568	0.0955658	0.14	0.077201
b	0.037509	0.00924454	0.0335949	0.372528	0.16541	0.231746	0.149967
á	0.0287256	0.0137854	0.0277908	0.109412	0.0492404	0.560523	0.210522
a	0.0208284	0.0042752	0.00495563	0.117043	0.560906	0.0764612	0.215531
k	0.0170643	0.00843461	0.0354332	0.131983	0.219191	0.442723	0.145171
w	0.000944215	0.0024374	0.0181687	0.0898811	0.0419629	0.785866	0.0607397
ε	0.00608296	0.00489025	0.012878	0.0480477	0.0381506	0.840804	0.0491465
r	0.00301336	0.000792755	0.00432063	0.0894154	0.0598552	0.464767	0.377836
i	0.00923944	0.00247861	0.00243886	0.0705498	0.094839	0.605581	0.214873
b	0.0207066	0.00188698	0.00310974	0.0612664	0.300613	0.0161538	0.596263
á	0.033971	0.0847055	0.0273059	0.108112	0.283232	0.319729	0.142944
n	0.0627085	0.101261	0.00963655	0.0533673	0.287442	0.201504	0.28408
d	0.110031	0.0770003	0.00273283	0.0194825	0.200554	0.11155	0.478649
z	0.0748117	0.036072	0.00294653	0.0339721	0.145871	0.0807972	0.62553
έ	0.00486283	0.003714	0.00111093	0.0231952	0.097911	0.190541	0.678665
l	0.000885339	0.000830374	0.00137032	0.0425127	0.140842	0.167659	0.6459
έ	0.00460932	0.00193447	0.00375551	0.0585228	0.107919	0.034715	0.788543
</S>	0.0260192	0.00184082	0.0054359	0.044591	0.0693303	0.008127	0.844656
