 	les	chats	en	question	sont	tous	blancs	</S>
i	0.672323	0.246618	0.0691372	0.00280313	0.00434735	0.00340481	0.000919157	0.000447893
m	0.238074	0.68308	0.0187268	0.024615	0.0097568	0.00656838	0.01132	0.0078593
b	0.00792606	0.929212	0.0174464	0.0430325	0.00104597	7.77922e-05	8.88709e-05	0.00117052
v	0.00143565	0.982134	0.00576544	0.0101356	0.000249519	7.71683e-05	4.19604e-05	0.000160253
w	0.00287353	0.993074	0.00157414	0.00104594	0.00039201	0.00013864	0.000193975	0.000707639
έ	0.0194976	0.905505	0.00626388	0.0134053	0.00657971	0.00670042	0.00359599	0.0384522
l	0.0244522	0.692768	0.0183826	0.00646401	0.00675868	0.00560829	0.00513337	0.240433
e	0.236012	0.216001	0.0621355	0.048025	0.0682517	0.0567436	0.028279	0.284552
m	0.130731	0.0220494	0.525529	0.213395	0.0570544	0.028566	0.00165874	0.0210168
í	0.363568	0.0962639	0.262965	0.16048	0.0669692	0.0164961	0.00319725	0.0300597
a	0.236169	0.0816466	0.396571	0.122619	0.0820847	0.0234894	0.0181853	0.039235
m	0.0268607	0.0317266	0.319982	0.329498	0.207391	0.0485639	0.0148567	0.0211211
έ	0.0440249	0.100567	0.097512	0.553123	0.140218	0.028948	0.00781605	0.0277914
n	0.0402664	0.0524263	0.164491	0.215515	0.352491	0.0984359	0.034376	0.0419988
έ	0.0456793	0.0421337	0.130264	0.294748	0.215515	0.14372	0.0232253	0.104714
í	0.0176294	0.00323405	0.159239	0.130067	0.346355	0.274995	0.0256139	0.0428661
d	0.0144265	0.00818016	0.0640287	0.131211	0.241164	0.410062	0.101141	0.0297871
i	0.00243334	0.00137744	0.00611482	0.0506191	0.126107	0.273038	0.0573669	0.482943
p	0.00247539	0.00061397	0.0101762	0.030105	0.105254	0.352116	0.255198	0.244061
f	0.00266718	0.001573	0.00487724	0.00587681	0.0586312	0.117402	0.706645	0.102328
ú	0.00194498	0.00317155	0.00399928	0.00389015	0.0433857	0.112784	0.635791	0.195034
ú	0.00518871	0.00123595	0.00107131	0.00502928	0.0110695	0.0422465	0.782573	0.151586
p	0.0015878	0.000569563	0.00188817	0.00306352	0.0294792	0.172464	0.370994	0.419954
f	0.0202087	0.00135308	0.00718072	0.00330611	0.0483475	0.203435	0.455605	0.260564
ú	0.00457593	0.00191583	0.00172712	0.000838132	0.0176415	0.110266	0.658083	0.204953
ú	0.00321772	0.00201663	0.00115405	0.00323449	0.011467	0.0711221	0.576748	0.33104
</S>	0.00922779	0.00187102	0.00864214	0.00681907	0.0462705	0.147799	0.277287	0.502083
