 	il	s'	est	fait	une	entorse	à	l'	omoplate	</S>
w	0.548122	0.117886	0.0619114	0.149366	0.104399	0.00705734	0.0036247	0.00556228	0.000117837	0.00195274
a	0.450515	0.273507	0.0443472	0.0635403	0.0948191	0.00881437	0.0133747	0.0477482	0.000861345	0.00247325
l	0.0237721	0.143754	0.192539	0.164139	0.348009	0.0367284	0.037287	0.0402456	0.00234506	0.0111805
e	0.0875502	0.280278	0.137934	0.0853086	0.056517	0.0551496	0.0568446	0.0738754	0.0194369	0.147106
b	0.064079	0.202119	0.213215	0.217777	0.127724	0.0454628	0.0355825	0.0367355	0.00875446	0.0485506
h	0.0552114	0.17656	0.136941	0.398089	0.0913179	0.0892619	0.0226915	0.00423793	0.00298793	0.0227014
á	0.029645	0.157043	0.131972	0.322944	0.112484	0.0806655	0.11668	0.0206401	0.00281624	0.0251109
á	0.0111782	0.0550443	0.0955237	0.167882	0.155627	0.322449	0.143073	0.0255771	0.00405156	0.0195942
n	0.00230896	0.0104355	0.0374888	0.0347406	0.0595814	0.209925	0.346907	0.224083	0.0559244	0.0186052
y	0.0154406	0.0369815	0.025403	0.0324512	0.0503352	0.0465357	0.172032	0.394176	0.134552	0.092093
i	0.0052983	0.0232621	0.019374	0.0494896	0.0293872	0.0389193	0.307463	0.194285	0.260402	0.0721189
í	0.000313677	0.00380344	0.005304	0.00590672	0.00754476	0.00444611	0.0657858	0.123279	0.763428	0.0201888
m	0.00500525	0.00588825	0.0508261	0.0386697	0.0622444	0.0779833	0.207702	0.221529	0.144232	0.18592
i	0.0314469	0.0312265	0.0441461	0.0449356	0.0292252	0.0293079	0.181513	0.245582	0.107434	0.255183
s	0.00107856	0.00206666	0.0051063	0.00838509	0.00575517	0.00904706	0.0445465	0.0941771	0.539786	0.290052
ώ	0.00115087	0.00259212	0.00230817	0.00283603	0.00162902	0.00735602	0.099015	0.0543148	0.665079	0.163719
ω	0.00012463	0.000456994	0.00235497	0.00202581	0.00398657	0.00279685	0.0135095	0.0259678	0.62716	0.321617
</S>	0.00057335	0.00207198	0.00928089	0.00708131	0.00951367	0.00640217	0.0394197	0.129945	0.347885	0.447826
