 	la	fumée	brûle	les	yeux	</S>
n	0.483129	0.425994	0.0702814	0.0164767	0.000217725	0.00390147
z	0.356426	0.61255	0.0198842	0.00703363	0.00386773	0.000238336
ú	0.0390292	0.896784	0.0435664	0.00403046	0.0144447	0.00214552
b	0.0587092	0.916874	0.0146891	0.00485337	0.0019021	0.00297207
h	0.339548	0.435603	0.176653	0.00402067	0.000413332	0.0437614
ú	0.10848	0.840431	0.0423182	0.00111	0.000337077	0.00732304
l	0.326927	0.250189	0.280547	0.0638021	0.00194247	0.0765916
έ	0.514372	0.22833	0.0767888	0.0201166	0.00368231	0.15671
y	0.47156	0.126329	0.160075	0.138393	0.0280254	0.075617
é	0.188091	0.384085	0.327362	0.0330863	0.0183085	0.0490675
e	0.317248	0.118848	0.293868	0.13996	0.0353448	0.0947319
b	0.0275847	0.0383225	0.398181	0.0453478	0.0615229	0.429041
a	0.0296129	0.0128464	0.642099	0.041092	0.00501213	0.269337
b	0.0111097	0.0163883	0.33063	0.00910281	0.00083894	0.63193
h	0.15345	0.0426782	0.230314	0.156532	0.000668653	0.416356
í	0.0658365	0.170277	0.250329	0.0570665	0.00176208	0.454729
l	0.024029	0.0321273	0.0227949	0.641395	0.0112333	0.26842
á	0.0740919	0.017932	0.0677531	0.417745	0.0265581	0.395919
m	0.0239354	0.01881	0.0175296	0.688304	0.23127	0.0201513
í	0.0023933	0.000866207	0.00519078	0.0121837	0.961684	0.0176822
s	0.00723712	0.00766886	0.01414	0.4965	0.414983	0.0594716
i	0.00329386	0.0169948	0.0210045	0.116839	0.143742	0.698126
</S>	0.00363165	0.00241628	0.00629516	0.0817086	0.0264201	0.879528
