 	va	jusqu'	à	la	prochaine	bifurcation	et	prends	à	gauche	</S>
d	0.957795	0.0202835	0.00369818	0.00924898	0.000892698	0.00312523	0.0031968	0.000779718	0.000569534	0.000380917	2.98292e-05
z	0.921202	0.0527649	0.00347972	0.0015519	0.00218783	0.0063275	0.00155452	0.000533167	0.00161045	0.00132578	0.00746253
a	0.975829	0.019993	0.000670229	0.00150772	0.000316451	0.00117405	6.98272e-05	6.61842e-05	6.70307e-05	3.01435e-05	0.000276612
á	0.725834	0.14058	0.0287783	0.0198176	0.00246236	0.0115263	0.00300689	0.00279055	0.00490792	0.00287609	0.0574199
t	0.0730632	0.518686	0.267821	0.0361728	0.0165614	0.00502598	0.0203956	0.00362927	0.00833147	0.000689941	0.0496234
é	0.0137964	0.806893	0.0416546	0.00524027	0.00224744	0.0123786	0.00659991	0.0446029	0.023632	0.0109693	0.031986
é	0.0224003	0.530671	0.298609	0.0332162	0.00998955	0.0129256	0.0123977	0.009129	0.0176504	0.00288188	0.0501294
i	0.00663946	0.0456518	0.667685	0.19543	0.0171729	0.0177957	0.0107326	0.00518182	0.00857123	0.000792264	0.0243469
b	0.00710429	0.0337758	0.329298	0.398791	0.0770468	0.0736338	0.0180618	0.0314751	0.0140096	0.00307328	0.0137307
v	0.00152121	0.0115579	0.122554	0.348327	0.42965	0.0171205	0.0266325	0.0252043	0.00920393	0.00468513	0.00354372
ú	0.00295096	0.00811058	0.12725	0.510109	0.249444	0.014814	0.0375747	0.0172714	0.0107967	0.0175217	0.00415594
n	0.00528495	0.0380844	0.0858377	0.483341	0.165106	0.146047	0.0389943	0.00985109	0.0103629	0.00160534	0.0154853
u	0.00973784	0.0140871	0.0696296	0.685337	0.0667409	0.0949611	0.0244862	0.00564141	0.0104866	0.00207257	0.01682
l	0.00327666	0.0110734	0.172298	0.21635	0.326386	0.119976	0.124877	0.0088081	0.00805167	0.00193115	0.00697194
í	0.00113246	0.00433087	0.104015	0.136254	0.163408	0.358526	0.0817514	0.0211089	0.0283405	0.00568702	0.0954471
í	0.000775335	0.00249994	0.0290586	0.0861404	0.431371	0.253627	0.117086	0.0212091	0.0117898	0.0157706	0.0306712
n	0.000724759	0.00195748	0.0417313	0.142658	0.450718	0.135713	0.154183	0.0343608	0.0165643	0.00850221	0.012887
a	0.00103848	0.00151952	0.0133544	0.0340247	0.240366	0.569307	0.0965156	0.00362527	0.00552069	0.00268867	0.0320391
m	4.76505e-05	0.00118678	0.0265959	0.0314276	0.26622	0.360738	0.268665	0.0160395	0.00982398	0.00325884	0.0159964
í	0.00471878	0.000434016	0.0129394	0.0523322	0.130913	0.217441	0.252637	0.0153916	0.129496	0.00603115	0.177665
n	0.000359155	0.000766153	0.0160881	0.0228518	0.0794296	0.194916	0.390167	0.187671	0.061355	0.0132207	0.0331758
í	0.00224709	0.00928708	0.0282245	0.0417264	0.210663	0.356049	0.191565	0.0227309	0.0166751	0.00916125	0.11167
d	7.26232e-05	0.00102143	0.0105854	0.00828024	0.0958695	0.214214	0.501888	0.0377629	0.0515966	0.00916422	0.0695459
í	0.000249222	0.000801113	0.00847331	0.0141766	0.0669392	0.485997	0.18961	0.0378435	0.0394047	0.00151001	0.154995
i	9.00025e-05	0.000183176	0.0103639	0.0175442	0.0190302	0.0766416	0.314342	0.217263	0.225742	0.0224817	0.0963182
l	0.000314287	0.00105906	0.0104105	0.00886834	0.00719796	0.0370702	0.061636	0.298873	0.313652	0.0860214	0.174897
ω	0.000198823	0.00167136	0.0238808	0.0164639	0.0139257	0.0412451	0.0604681	0.22257	0.290241	0.0811048	0.24823
p	0.000118312	0.000470632	0.0033257	0.00542443	0.0227546	0.0860395	0.0716685	0.145376	0.150083	0.327294	0.187446
f	0.000195695	0.000891541	0.00401294	0.00415756	0.00106367	0.0165559	0.0295376	0.620192	0.241297	0.0281177	0.0539782
