 	je	ne	veux	pas	que	tu	restes	près	de	moi	parce	que	tu	ennuyeux	</S>
n	0.628113	0.0621165	0.0196889	0.0923924	0.0811268	0.0669757	0.00984011	0.0180381	0.00958011	0.00700026	0.00214861	0.00168398	0.000964412	0.000317581	1.29779e-05
g	0.96258	0.00375404	1.05703e-05	0.00131942	0.00822645	0.0221272	0.000284888	3.87457e-05	0.000119983	0.00144023	2.97347e-05	2.32552e-05	3.90507e-05	3.60806e-06	2.72862e-06
á	0.912287	0.028616	0.000648383	0.00202696	0.0138362	0.0294666	0.00578436	0.000509154	0.000402881	0.00498977	0.000241471	0.000347392	0.000524082	0.000295011	2.5091e-05
i	0.0771388	0.270174	0.0463231	0.0533868	0.162555	0.0946843	0.0382271	0.004436	0.0289884	0.094958	0.0295361	0.0178326	0.0458393	0.0037437	0.0321763
d	0.0434553	0.3353	0.143798	0.0135247	0.0263419	0.0559068	0.103815	0.119291	0.017621	0.00633105	0.010553	0.0202034	0.0150091	0.0229594	0.0658908
i	0.0431161	0.474881	0.0612424	0.0196252	0.0338196	0.0489378	0.0876587	0.00538075	0.0171281	0.0223921	0.0239437	0.0458955	0.0207758	0.0054853	0.0897178
p	0.0160167	0.398741	0.213383	0.0846621	0.0282497	0.0135676	0.127848	0.0125632	0.0212306	0.0049468	0.0120139	0.0211959	0.00461333	0.00477472	0.0361935
ó	0.00158422	0.075594	0.760509	0.0302294	0.0175405	0.0108923	0.0339018	0.047609	0.00616872	0.00176977	0.00196095	0.00441342	0.00088997	0.0025538	0.00438338
s	0.00606418	0.132802	0.583673	0.100222	0.0477624	0.0237851	0.0259342	0.00664605	0.0135126	0.00939097	0.00919554	0.0117673	0.0113022	0.0028648	0.0150777
á	0.000790763	0.0867472	0.664418	0.0927102	0.0343942	0.0131851	0.0366158	0.00932989	0.0137394	0.0059555	0.00984826	0.0139617	0.00479057	0.0032288	0.010285
n	0.0249914	0.0490169	0.118651	0.316316	0.238512	0.0868374	0.0292925	0.0160142	0.027569	0.0364325	0.0356821	0.00923575	0.00711803	0.00223064	0.00210084
ω	0.133933	0.0326133	0.00701437	0.0694135	0.196429	0.279535	0.0157194	0.0148485	0.0259009	0.147965	0.0198415	0.01557	0.0273172	0.00244681	0.0114525
l	0.00325957	0.116979	0.123929	0.397517	0.180696	0.0526859	0.0495824	0.0045214	0.0141164	0.0116646	0.0105609	0.00951329	0.00870566	0.00504225	0.011226
ó	0.00392084	0.111099	0.294809	0.107562	0.0820553	0.0293018	0.0658836	0.0621709	0.0573319	0.0184813	0.0302249	0.0301995	0.00955741	0.0118336	0.0855688
o	0.00230583	0.0760734	0.363964	0.17537	0.0953723	0.0266126	0.0903264	0.0444464	0.0316866	0.0137738	0.0259612	0.017085	0.00598003	0.00890537	0.0221377
d	0.000129902	0.0498306	0.0963833	0.0542582	0.0804387	0.0489418	0.631013	0.0251721	0.00375316	0.000599089	0.000866791	0.00139786	0.000399394	0.00185329	0.00496276
z	0.000232709	0.0106199	0.0247422	0.0292921	0.0341611	0.0100097	0.860897	0.00123608	0.00172765	0.000132339	0.000285139	0.000778363	0.000105487	0.00151401	0.0242665
e	0.0014142	0.0444575	0.0481909	0.0296205	0.0612213	0.0278464	0.78421	0.000415301	0.000442547	0.000128333	9.64068e-05	0.00015979	8.46542e-05	0.000132072	0.0015796
e	0.00226169	0.0090755	0.0144525	0.0526812	0.0852402	0.0473955	0.710663	0.0081776	0.00525832	0.000431115	0.00131698	0.00305313	0.00094694	0.00370129	0.0553446
m	3.67672e-05	0.0038331	0.00349454	0.0452525	0.113407	0.12854	0.51546	0.0965751	0.0335669	0.00198016	0.00461912	0.00596021	0.00253482	0.00170617	0.0430339
á	9.30767e-05	0.00544529	0.00156585	0.0490639	0.0851701	0.0516851	0.218544	0.292022	0.205268	0.0276343	0.0314861	0.0097089	0.00222161	0.00146333	0.0186283
b	0.00243457	0.0081779	0.0054855	0.0452344	0.10526	0.216681	0.179968	0.192964	0.12556	0.0326376	0.0203032	0.0222127	0.0156278	0.0139065	0.0135469
ε	0.000617501	0.00056076	0.000414291	0.00842746	0.0115243	0.0561868	0.0153435	0.831791	0.0515195	0.0109526	0.0041483	0.00259133	0.00105293	0.00248116	0.00238885
έ	0.000387391	0.000275674	0.000371831	0.00572346	0.0105674	0.0353312	0.0153174	0.760271	0.0550252	0.017021	0.0102803	0.0144279	0.0105472	0.0276632	0.0367901
b	0.000150178	0.00875465	0.00277329	0.0119354	0.0188527	0.0211734	0.203213	0.389316	0.247815	0.0156701	0.031762	0.0120044	0.0023254	0.00586977	0.0283838
ε	0.000160577	0.00211873	0.000312523	0.0175964	0.0236381	0.0751367	0.0400819	0.686495	0.119128	0.0156173	0.00981007	0.00456554	0.000944921	0.00109898	0.00329539
έ	0.000318256	0.00236222	0.00260627	0.031899	0.0633536	0.115957	0.0623812	0.351444	0.20323	0.0392947	0.0456303	0.0221428	0.00769131	0.00494576	0.0467443
l	0.00119268	0.0247526	0.00610829	0.0186855	0.0291126	0.066436	0.145036	0.199274	0.258128	0.0532823	0.0885387	0.0427655	0.0122782	0.0150403	0.0393694
a	0.00145189	0.0151139	0.00270951	0.0145165	0.02579	0.0906664	0.0932589	0.0366172	0.261088	0.0835019	0.0829788	0.0828709	0.0442011	0.030254	0.13498
n	0.00010751	0.00238385	0.00123638	0.0207867	0.0404911	0.0983386	0.0313216	0.0169171	0.219004	0.286415	0.172231	0.0570554	0.0247147	0.00948808	0.0195084
g	0.00330877	0.00168101	0.000203959	0.00465281	0.0379695	0.278796	0.0301628	0.00353616	0.0581272	0.421823	0.0457605	0.034767	0.0537892	0.0041382	0.0212837
á	0.00207904	0.00127511	0.000304196	0.00383339	0.0252817	0.105461	0.0110367	0.00606555	0.0680303	0.599635	0.0302848	0.0358951	0.0584481	0.0101857	0.0421843
k	0.000150663	0.000890826	0.000329715	0.00526825	0.00661293	0.0187	0.00736426	0.0230232	0.212688	0.223527	0.320542	0.106812	0.0439624	0.010041	0.0200885
a	4.89671e-05	0.00080425	0.00710016	0.0220128	0.0155052	0.0519648	0.0201715	0.224618	0.275974	0.0840505	0.0636748	0.15042	0.0221464	0.0354756	0.0260332
á	0.000157571	0.000814222	0.00370883	0.00824191	0.0126428	0.0520943	0.018463	0.0738351	0.0965754	0.0669008	0.108835	0.212406	0.0565544	0.0702013	0.218569
t	0.00108755	0.00088768	0.000443986	0.00319977	0.00418487	0.0131467	0.00350021	0.00643672	0.0582775	0.12688	0.372523	0.171643	0.158994	0.0147562	0.0640386
s	0.0001341	0.00246972	0.00819401	0.0222856	0.0138204	0.0208121	0.00834733	0.0698245	0.138956	0.0697661	0.100951	0.191819	0.0540895	0.164128	0.134402
í	9.64173e-05	0.000490327	0.00107934	0.00251776	0.00425432	0.0109376	0.00510153	0.0335933	0.0910369	0.0586873	0.133267	0.325878	0.0707732	0.16457	0.0977162
n	0.00692874	0.00139628	0.000915584	0.00703693	0.0235589	0.0752753	0.0128207	0.0112666	0.0646981	0.123769	0.164154	0.215051	0.0874506	0.0749889	0.130689
a	0.00251947	0.00190331	0.000575695	0.00400882	0.0183808	0.0518971	0.00689152	0.00187089	0.0370281	0.203284	0.168012	0.169691	0.129077	0.0196941	0.185165
n	8.70961e-05	0.000486634	0.000363066	0.00359388	0.00661211	0.0157172	0.00400784	0.00211547	0.0472801	0.0998727	0.206944	0.23667	0.253415	0.0274041	0.0954306
ω	0.00246197	0.00181128	0.000126813	0.004554	0.0200335	0.0398058	0.0037901	0.000627979	0.0272337	0.362495	0.125688	0.142217	0.191881	0.0130374	0.0642366
o	0.000134674	0.000325164	0.00012377	0.00151126	0.00330029	0.00808499	0.0026905	0.00126229	0.0437226	0.0890295	0.167794	0.204146	0.193975	0.0567087	0.227191
d	3.23413e-05	0.00948559	0.00967022	0.0137804	0.00861145	0.00595332	0.126159	0.00966037	0.0477247	0.0191356	0.0356193	0.131556	0.0415136	0.389639	0.151458
í	4.11753e-05	0.00121404	0.00260192	0.00388933	0.00321244	0.00352185	0.127742	0.000366802	0.0267562	0.0162075	0.0518791	0.135966	0.034473	0.122149	0.469979
l	2.36905e-05	0.000856996	0.000541702	0.00646669	0.00634876	0.00986098	0.0170725	0.00123187	0.0504686	0.0324669	0.0895813	0.192697	0.0967201	0.164457	0.331205
o	6.22528e-05	0.00024526	0.000512078	0.000525081	0.000715932	0.00167467	0.00239495	0.00148309	0.0128625	0.0218729	0.0514511	0.105899	0.106332	0.150387	0.543582
t	3.97435e-06	0.000197114	0.000787089	0.00153359	0.00118195	0.00118842	0.00256467	0.000800162	0.013361	0.0189525	0.0279244	0.0631244	0.0538485	0.592218	0.222315
i	1.01566e-05	0.00052193	0.00587498	0.00460305	0.00308229	0.00281066	0.00704423	0.00522777	0.0189073	0.0136005	0.0407464	0.176284	0.0613386	0.429892	0.230056
i	4.5341e-06	0.000260002	0.00362942	0.000818823	0.000739763	0.000672481	0.00190094	0.00532911	0.00937906	0.0115105	0.0538012	0.0899902	0.0345158	0.305035	0.482414
</S>	2.29067e-05	0.000307397	0.00091392	0.000750773	0.000718185	0.000924788	0.00184225	0.0082134	0.00657992	0.00736243	0.0259007	0.0810893	0.078053	0.469166	0.318155
