 	il	n'	achète	pas	ça	</S>
w	0.907618	0.0532999	0.00431225	0.031637	0.00205231	0.0010806
a	0.888198	0.02919	0.023603	0.0539445	0.0046745	0.000389781
a	0.222761	0.504725	0.0414092	0.0804478	0.0200779	0.130578
d	0.105729	0.42408	0.199155	0.0764312	0.0306032	0.164001
í	0.0756932	0.594412	0.157496	0.0140331	0.00899648	0.14937
o	0.0414404	0.303366	0.132714	0.0998667	0.0273362	0.395277
s	0.00407259	0.146082	0.774005	0.027202	0.0165178	0.0321206
ó	0.000155057	0.0168614	0.957017	0.00173689	0.00620124	0.0180286
m	0.00348253	0.0247986	0.729943	0.0200817	0.0240073	0.197687
b	0.0143763	0.0528072	0.641527	0.202117	0.021374	0.067798
a	0.180974	0.128492	0.18063	0.210121	0.0530273	0.246757
d	0.0334985	0.0570153	0.0380676	0.642275	0.122418	0.106726
í	0.0187549	0.0221533	0.165404	0.0855208	0.403763	0.304404
a	0.00442769	0.00946478	0.0215502	0.188365	0.592928	0.183264
έ	0.00153169	0.0147038	0.0166264	0.169569	0.607123	0.190445
</S>	0.0175911	0.161024	0.0960799	0.208972	0.314881	0.201452
