 	le	ciel	est	devenu	noir	à	cause	de	la	pluie	</S>
m	0.395945	0.590171	0.00824313	0.00180844	0.00102758	0.00133675	0.000419486	0.000343724	0.000504446	0.000104973	9.54464e-05
v	0.533695	0.0408285	0.201394	0.00693766	0.0216893	0.0196574	0.0155971	0.0241745	0.025955	0.0524946	0.0575772
u	0.306267	0.598618	0.0301327	0.0132704	0.00424549	0.00103917	0.00261731	0.00144529	0.00186289	0.0396791	0.000822592
á	0.251646	0.389472	0.144908	0.006978	0.0261712	0.00641185	0.012034	0.0120073	0.00583819	0.0914769	0.0530563
á	0.0506092	0.0226005	0.871474	0.0246781	0.00638769	0.00574358	0.00166346	0.00167764	0.000566202	0.000493325	0.0141065
m	0.0054514	0.0112536	0.186009	0.666611	0.0904693	0.00655433	0.00930246	0.0097207	0.00476041	0.00182223	0.00804582
i	0.00833839	0.0055346	0.221931	0.454278	0.204692	0.03864	0.0281607	0.0131578	0.00705572	0.0025355	0.0156763
b	0.000403766	0.00106782	0.0399638	0.78182	0.156659	0.00397394	0.00696923	0.00359724	0.000891169	0.000529136	0.00412414
h	0.000492858	0.00110839	0.0121887	0.864158	0.0542947	0.0123139	0.0339333	0.0125992	0.00117197	0.00186299	0.00587574
í	0.000156539	0.00184473	0.00360861	0.886755	0.0956948	0.00169227	0.00586135	0.00246913	0.000319964	0.000430564	0.00116752
n	0.00451854	0.00349466	0.0665081	0.276626	0.400472	0.0759008	0.0810607	0.0402721	0.00895171	0.00620771	0.0359882
d	0.0110539	0.00119908	0.029086	0.0547855	0.456964	0.276805	0.0785734	0.033254	0.00924506	0.0127744	0.0362599
í	0.00242954	0.000147491	0.00719848	0.0184966	0.568468	0.170302	0.06242	0.0261464	0.00938421	0.0205068	0.114501
s	0.0036822	0.000505315	0.0158444	0.00681205	0.112444	0.552923	0.150513	0.0643408	0.0607611	0.0124482	0.0197259
á	0.00620492	0.000336436	0.00163982	0.00564997	0.215307	0.150257	0.245324	0.147359	0.062858	0.0527465	0.112317
i	0.0123215	0.00205919	0.00315766	0.00100075	0.0215175	0.188553	0.280873	0.113583	0.286302	0.0674615	0.0231712
k	0.00187195	0.00341779	0.00172358	0.0052082	0.101082	0.0240516	0.327954	0.236892	0.0825952	0.179384	0.0358195
o	0.00162485	0.0126953	0.000675694	0.0084101	0.163071	0.0150538	0.352352	0.318215	0.0365497	0.0371928	0.0541597
ó	0.000667195	0.00391137	0.00240197	0.0261523	0.106482	0.0374181	0.314252	0.325944	0.0679349	0.0276711	0.087165
</S>	0.00145218	0.000371946	0.012207	0.00331171	0.00425748	0.0403416	0.0684349	0.212682	0.278692	0.128236	0.250014
