 	la	mère	a	réprimandé	son	enfant	qui	l'	a	trompé	</S>
n	0.946957	0.0407558	0.00674048	0.00197878	0.00174904	0.000574263	0.000348181	0.000552596	0.000251559	1.5343e-05	7.70679e-05
g	0.424559	0.574745	0.000409895	4.86955e-06	0.00018942	1.76116e-05	2.18334e-05	3.94008e-05	1.1757e-05	1.21967e-06	5.90068e-07
o	0.0858663	0.911991	0.00132619	0.000118782	0.000138304	0.000235951	5.67607e-05	0.000143489	9.32861e-05	2.30377e-05	7.02488e-06
o	0.0697564	0.929101	0.000356088	0.000536082	4.21286e-05	8.22729e-05	2.05474e-05	2.58388e-05	1.34106e-05	2.73503e-05	3.88027e-05
á	0.202704	0.0773742	0.571683	0.0697699	0.0123571	0.00813045	0.0140841	0.0118776	0.0117287	0.00308847	0.0172023
b	0.0184257	0.0570759	0.503527	0.300911	0.00873811	0.00382138	0.0128278	0.00763984	0.0167647	0.0529584	0.0173108
ε	0.00152769	0.000805723	0.0677821	0.835395	0.00843718	0.00195174	0.0170044	0.00889729	0.0137595	0.0303176	0.014122
n	0.475282	0.0178846	0.0690023	0.199543	0.0615156	0.00291004	0.0527486	0.0369785	0.0260684	0.0161442	0.0419224
g	0.0751733	0.0077373	0.138301	0.496526	0.0895126	0.00782901	0.0493861	0.0527985	0.0292362	0.0139704	0.0395297
i	0.128924	0.00633085	0.0529166	0.42864	0.242043	0.00893587	0.0466966	0.0477363	0.017867	0.00440197	0.0155083
l	0.0334083	0.000887646	0.100194	0.169974	0.313547	0.195153	0.0858555	0.0590138	0.0169926	0.00204844	0.022926
a	0.0166389	0.000227249	0.0211869	0.353029	0.331331	0.0511269	0.108111	0.0600323	0.0204491	0.00640434	0.0314635
m	0.0302102	0.000215842	0.067603	0.0673907	0.414557	0.206005	0.116153	0.0621664	0.0194772	0.00200293	0.0142189
w	0.00332668	2.38774e-05	0.0107108	0.00925956	0.027163	0.865705	0.0469196	0.0256017	0.00707896	0.000322178	0.00388844
á	0.000322817	4.57678e-06	0.00114504	0.0162561	0.00120273	0.972389	0.00464314	0.0030074	0.000274569	0.000177435	0.000577635
n	0.0305209	5.67339e-05	0.00618547	0.0173549	0.0316871	0.865022	0.023886	0.0187244	0.00286166	7.30322e-05	0.00362823
a	0.0216045	0.000560354	0.015704	0.0346184	0.022215	0.838557	0.0322973	0.0183455	0.00254184	0.000752945	0.0128029
y	0.00906462	0.000201413	0.0179988	0.00605056	0.249564	0.0129496	0.379403	0.235277	0.074567	0.00730351	0.00762043
e	0.002439	5.89013e-05	0.00484804	0.00515464	0.304373	0.0517014	0.379619	0.153846	0.0463446	0.0341458	0.0174701
é	0.000954767	0.000324689	0.00322239	0.00207414	0.257881	0.0235463	0.296895	0.272549	0.104278	0.022026	0.0162486
b	5.87279e-05	7.37467e-05	0.00501324	0.00520667	0.03222	0.00225952	0.0959116	0.192891	0.407119	0.232512	0.0267343
h	8.69574e-05	6.09449e-05	0.0130366	0.0974857	0.0307918	0.0369045	0.0875412	0.202027	0.317566	0.135799	0.0787003
o	9.47421e-05	3.90915e-06	0.00381233	0.0421907	0.0137173	0.017341	0.0722377	0.154269	0.191744	0.292462	0.212127
s	8.41995e-05	3.45531e-05	0.000804249	0.00269712	0.0164156	0.00194497	0.0576575	0.131462	0.108613	0.376072	0.304214
í	0.000532317	1.33343e-05	0.00031244	0.00230127	0.02043	0.000965414	0.0499688	0.130449	0.0578466	0.395469	0.341712
í	0.000948994	3.60067e-05	0.00167361	0.00153996	0.0411465	0.00691096	0.07059	0.148191	0.149559	0.141141	0.438263
w	0.000854451	4.81912e-05	0.00673832	0.00436815	0.0164552	0.00347909	0.0528092	0.103821	0.313903	0.189669	0.307854
a	0.00123863	0.000485022	0.00478432	0.023909	0.0230757	0.0110142	0.0764091	0.206241	0.204666	0.237166	0.211011
</S>	0.000346393	2.10018e-05	0.000551805	0.00172293	0.0107929	0.000895551	0.0197198	0.058787	0.0969737	0.415336	0.394853
