 	il	s'	est	arrêté	au	village	pour	dormir	</S>
w	0.852749	0.08841	0.0110363	0.00358007	0.0247228	0.0156287	0.00284734	0.000888308	0.000137485
a	0.870404	0.0696352	0.00628645	0.00490697	0.0451005	3.9713e-05	0.00292641	0.000662608	3.77987e-05
á	0.0756778	0.449214	0.345419	0.0458112	0.0664802	0.00151496	0.00831073	0.000753876	0.00681802
s	0.0264753	0.386867	0.340047	0.164119	0.03691	0.00890743	0.0231937	0.00413759	0.00934337
ú	0.00448094	0.120939	0.267223	0.569547	0.00788833	0.0010365	0.00304281	0.000839242	0.0250029
u	0.0521938	0.06048	0.154896	0.650407	0.0550164	0.00311998	0.00557682	0.00124827	0.017062
s	0.00675112	0.05305	0.1605	0.241861	0.450551	0.0464293	0.023783	0.00250324	0.0145711
á	0.00258997	0.0382118	0.227525	0.559284	0.144513	0.00129397	0.0129032	0.000159279	0.0135193
p	0.0106959	0.0147335	0.0231474	0.0814349	0.287789	0.537785	0.0186711	0.00575133	0.0199928
o	0.000527027	0.00056042	0.0009801	0.0022619	0.00495132	0.989284	0.000322476	0.000497249	0.000615707
o	0.000414994	0.000926584	0.00286693	0.00566618	0.0166002	0.968042	0.00192337	0.00194978	0.0016102
m	0.00179162	0.0129658	0.039765	0.0521477	0.280203	0.107039	0.417051	0.0372854	0.051752
ó	0.00948746	0.00788649	0.0150177	0.012564	0.128138	0.0352514	0.414874	0.0387086	0.338072
i	0.0127507	0.0103875	0.0173766	0.0307436	0.116929	0.111986	0.217481	0.365848	0.116498
b	0.001479	0.00795297	0.0201784	0.0244295	0.0125672	0.0115607	0.150215	0.545393	0.226225
v	0.000620516	0.0026895	0.00351595	0.00422022	0.0024555	0.0005331	0.0187188	0.955236	0.0120101
a	7.46867e-05	0.0013879	0.00287774	0.00596882	0.00499684	0.000469512	0.0318924	0.936068	0.0162642
l	9.65568e-05	0.000140645	0.00035759	0.00127922	0.00441972	0.00192603	0.0593564	0.387789	0.544635
á	0.000298987	0.00204043	0.00899769	0.0225125	0.0187813	0.00413478	0.272642	0.381279	0.289312
f	0.0079392	0.00701689	0.0114926	0.0144544	0.0512478	0.0140637	0.207605	0.496751	0.189429
u	0.00200044	0.00154482	0.00241989	0.00681978	0.0233939	0.0141726	0.100132	0.752936	0.0965806
l	0.000105958	0.000183307	0.000593338	0.00267583	0.0112402	0.0286125	0.0262791	0.829194	0.101115
ú	0.000416197	0.000342307	0.000801901	0.00377913	0.0167497	0.00583987	0.0457499	0.795837	0.130484
</S>	0.000556041	0.00166544	0.00607651	0.00463307	0.0355169	0.0013261	0.243161	0.146336	0.560729
