 	il	s'	est	arrêté	en	ammont	du	fleuve	</S>
w	0.80573	0.170818	0.0136179	0.00267194	0.00387863	7.30653e-05	0.00311159	3.94327e-05	5.94311e-05
a	0.678422	0.274549	0.0158092	0.00417516	0.0144039	2.75673e-05	0.0119504	0.000623507	3.87095e-05
á	0.0277419	0.445359	0.340289	0.154172	0.0257451	0.000123154	0.00583042	0.000413228	0.000325909
s	0.00661055	0.0847802	0.307888	0.54395	0.0317192	0.00670959	0.00475819	0.0013746	0.0122101
ú	0.000641023	0.015934	0.107575	0.856185	0.00673961	0.00286483	0.000860621	0.00128471	0.00791525
u	0.00995077	0.030988	0.15366	0.761514	0.0357297	0.00133068	0.00251734	0.00278562	0.00152464
m	0.020629	0.0667974	0.0951591	0.130371	0.58024	0.0516652	0.0340915	0.00496588	0.0160805
ó	0.021757	0.0618861	0.169312	0.156879	0.507237	0.0306422	0.0138183	0.0323514	0.00611731
t	0.0242255	0.0465651	0.0688665	0.0520488	0.146337	0.587447	0.0248348	0.0440902	0.00558573
á	0.000689516	0.00155705	0.00202045	0.00178227	0.0109289	0.957274	0.00956793	0.0110957	0.00508373
n	0.00156766	0.00331223	0.00893467	0.00501722	0.0282683	0.770403	0.0356454	0.0406279	0.106224
d	0.00512056	0.00459257	0.00674941	0.00873023	0.043665	0.703448	0.113668	0.0302896	0.0837361
a	0.0102624	0.014215	0.0175453	0.022956	0.059582	0.489594	0.127789	0.14974	0.108316
y	0.00411766	0.0111227	0.0314969	0.029748	0.077486	0.149741	0.485721	0.0904822	0.120085
á	0.0274452	0.0395041	0.05186	0.0145989	0.0349745	0.0389888	0.496219	0.255235	0.0411742
ε	0.0208924	0.0144772	0.0107522	0.00694269	0.00964341	0.0478486	0.234163	0.62315	0.0321302
b	0.000956077	0.00217051	0.00455035	0.00371066	0.00157986	0.0376814	0.0261745	0.865227	0.0579492
a	0.00776442	0.0434087	0.053105	0.0156863	0.0420518	0.0269646	0.26237	0.472946	0.0757029
a	0.000206759	0.00150996	0.00171659	0.00077186	0.00386299	0.0350739	0.0973615	0.239375	0.620122
</S>	0.00119288	0.00479103	0.0102133	0.00652412	0.0153724	0.00282961	0.153695	0.268766	0.536615
