 	il	a	bu	son	vin	jusqu'	à	la	lie	</S>
w	0.767184	0.190509	0.0198606	0.00877397	0.00352468	0.00122699	0.00413424	0.00439394	0.00023872	0.00015427
a	0.713508	0.1705	0.0118391	0.053039	0.00557555	0.000828927	0.0123756	0.0255503	0.00672237	6.09707e-05
á	0.158351	0.665315	0.0981228	0.05094	0.00824096	0.00209554	0.00544377	0.00566521	0.000994003	0.00483129
n	0.0249368	0.219059	0.615589	0.0705739	0.0182531	0.00665029	0.0156152	0.0110954	0.000909637	0.017318
y	0.00222523	0.0448173	0.885195	0.0232279	0.0212159	0.00229484	0.00253401	0.00137111	0.00397734	0.0131417
w	0.0069074	0.0427004	0.927171	0.0113015	0.00459833	0.00185982	0.00107876	0.00066034	0.000319789	0.00340243
é	0.0028468	0.0476022	0.921333	0.0139539	0.00276813	0.0051034	0.00120502	0.000797805	0.000450778	0.00393847
e	0.035071	0.279795	0.387198	0.169235	0.0495862	0.0218211	0.00868765	0.0098782	0.0100928	0.0286348
a	0.0391196	0.154038	0.185314	0.510919	0.0348101	0.0352093	0.0182206	0.0110699	0.00113897	0.0101606
l	0.00955864	0.0535886	0.134425	0.443289	0.287588	0.0431087	0.0118575	0.0079073	0.00265745	0.00601952
ω	0.00104142	0.0115173	0.0473687	0.257163	0.520057	0.0526124	0.0255179	0.02337	0.00567841	0.0556738
i	8.63193e-05	0.00149717	0.0125305	0.0809274	0.821971	0.0507964	0.00541206	0.00406284	0.0109279	0.0117881
t	0.000895499	0.00247883	0.00406179	0.106973	0.483366	0.213349	0.0918277	0.0472574	0.011501	0.0382902
é	0.00145985	0.00235326	0.00469736	0.0593844	0.166602	0.698763	0.0360724	0.00752918	0.0115563	0.0115822
é	0.000425528	0.00217298	0.00880953	0.0839115	0.0882078	0.646003	0.0558988	0.0206796	0.012444	0.0814475
l	0.00196696	0.00424176	0.00346069	0.0293824	0.0859746	0.0964114	0.408706	0.265009	0.0242748	0.0805721
é	0.00210015	0.00412506	0.00813289	0.0412262	0.120212	0.0784821	0.163693	0.169718	0.0831769	0.329134
b	0.00302518	0.00672553	0.00697925	0.0346541	0.0718315	0.0618568	0.156131	0.313305	0.273713	0.0717793
í	0.00777645	0.0296132	0.0126404	0.103013	0.0971881	0.0707259	0.156191	0.143102	0.35269	0.0270604
í	0.000530022	0.00146138	0.00205442	0.0143707	0.0251346	0.0577892	0.0344271	0.032936	0.763124	0.0681724
</S>	0.000100691	0.000587664	0.00082079	0.00820662	0.0156279	0.0169601	0.160387	0.25374	0.307108	0.236461
