 	celui	qui	cause	avec	moi	dans	ce	quartier	c'	est	toi	seul	</S>
o	0.284286	0.291351	0.0914824	0.0954076	0.0353268	0.0425856	0.0427334	0.0470161	0.0194266	0.0169503	0.0185494	0.00437575	0.0105083
m	0.0227272	0.0414857	0.0703891	0.0358503	0.0731376	0.0793016	0.0479934	0.0420562	0.0155659	0.0316901	0.0731861	0.284797	0.181819
ω	0.0234194	0.0362356	0.0112795	0.0652323	0.0680533	0.272512	0.211568	0.0138194	0.00944098	0.0145961	0.0500886	0.18009	0.0436652
ω	0.00984409	0.0100485	0.176615	0.145252	0.0745673	0.0787147	0.0795093	0.0531763	0.020572	0.0586972	0.0294686	0.157417	0.106118
s	0.021269	0.047691	0.11819	0.153047	0.193424	0.147027	0.191576	0.0801815	0.0102355	0.00706636	0.0044749	0.00792343	0.017895
i	0.0174288	0.0287474	0.0871815	0.10244	0.0541176	0.116073	0.225376	0.192345	0.04119	0.0250902	0.00719855	0.00968162	0.0931309
n	0.00577685	0.021725	0.020055	0.0826593	0.276273	0.192561	0.156699	0.150708	0.0390296	0.0127153	0.00917972	0.00211968	0.0304978
g	0.00988473	0.021784	0.00304326	0.0310596	0.635571	0.102068	0.103533	0.043227	0.00682466	0.00188553	0.0224796	0.00245685	0.016182
á	0.00201782	0.00552346	0.00146462	0.0217298	0.676417	0.05822	0.110385	0.0623925	0.00943984	0.00211353	0.0246917	0.00813206	0.0174719
s	0.00873101	0.00687764	0.01838	0.0709989	0.075092	0.0675996	0.232217	0.284463	0.118873	0.0416405	0.0225865	0.0267588	0.0257824
é	0.00799863	0.0103289	0.0110392	0.0499105	0.0710113	0.0704079	0.256933	0.26846	0.186629	0.0172131	0.0112328	0.0137019	0.0251335
k	0.0128867	0.0103191	0.00382925	0.0229741	0.0616012	0.0511503	0.133749	0.269609	0.293022	0.0402136	0.0469517	0.0405886	0.0131061
y	0.000934184	0.00247068	0.00487376	0.0177782	0.0188334	0.0109432	0.0664192	0.480066	0.193973	0.0283009	0.00673012	0.122352	0.0463245
é	0.000645827	0.00119864	0.00627595	0.0235113	0.022111	0.0177671	0.0844475	0.375186	0.155406	0.0545544	0.0185128	0.16097	0.0794134
n	0.000771641	0.00362642	0.0327321	0.0518268	0.0242729	0.0323829	0.111817	0.228762	0.212025	0.120158	0.0297913	0.0520889	0.0997444
á	0.00966552	0.0112157	0.0152575	0.0385908	0.0613932	0.0598316	0.0962707	0.183697	0.226478	0.0472723	0.0139562	0.0520155	0.184356
á	0.00488116	0.00747809	0.0130152	0.023336	0.0407801	0.0959639	0.0706601	0.0660243	0.221027	0.206648	0.115304	0.052981	0.081901
y	0.00043134	0.00134278	0.00968926	0.00879095	0.00676839	0.0310821	0.0217631	0.0083581	0.0565159	0.34545	0.251751	0.0426811	0.215376
é	0.00226111	0.00283301	0.00273047	0.0107812	0.0136274	0.0450236	0.0526857	0.00958696	0.0525868	0.175936	0.289333	0.0283195	0.314295
m	0.00369989	0.00379029	0.00505023	0.0310066	0.0217685	0.0454121	0.0744268	0.0249185	0.0950145	0.187928	0.152092	0.0173596	0.337533
b	0.00355688	0.00499254	0.00306523	0.0159771	0.0097315	0.0324105	0.0805295	0.0156593	0.0908883	0.113119	0.0500985	0.234028	0.345945
í	0.00237671	0.00399514	0.00348957	0.0217473	0.0121737	0.0481589	0.0486108	0.0121741	0.048508	0.107786	0.109041	0.246906	0.335033
n	0.00273099	0.00140362	0.00739311	0.00941311	0.00651902	0.00829592	0.0274778	0.0364794	0.132676	0.233924	0.140819	0.139539	0.253329
ώ	0.00351311	0.00301306	0.00126991	0.00732144	0.0201347	0.00978111	0.0228785	0.0156587	0.0160095	0.0371898	0.296333	0.104005	0.462892
o	0.000121908	0.000373663	0.00174788	0.00302629	0.00347245	0.00538391	0.0125335	0.00972473	0.0509771	0.140434	0.157076	0.0390951	0.576033
t	0.000808742	0.00277287	0.029772	0.0261932	0.00482603	0.0240182	0.0421151	0.0109992	0.0211743	0.239456	0.173874	0.160707	0.263283
o	0.000212356	0.000763889	0.0214962	0.0115642	0.00128727	0.00261402	0.0196065	0.0195292	0.0248525	0.204503	0.0723256	0.143234	0.478011
</S>	0.000284939	0.000585428	0.00527687	0.00826807	0.00103013	0.00219212	0.0096129	0.0124713	0.0290932	0.0940568	0.021395	0.0785134	0.73722
