 	cette	nuit-là	les	étoiles	brillaient	dans	le	ciel	</S>
k	0.67803	0.209998	0.0810985	0.00226746	0.0119737	0.0119233	0.00426489	0.000378665	6.59512e-05
ó	0.338565	0.635773	0.0121789	0.00359164	0.00670883	0.00160459	0.000816565	0.000600656	0.000160997
l	0.0259558	0.868244	0.0223097	0.0104594	0.0511621	0.00664524	0.00227733	0.00641111	0.00653547
i	0.202789	0.685371	0.0284146	0.0042246	0.0199777	0.0144269	0.00440806	0.00334316	0.0370448
y	0.607546	0.291347	0.0680253	0.00355186	0.00527752	0.00431445	0.0017482	0.000958728	0.0172308
í	0.385973	0.271892	0.164228	0.0083004	0.0167202	0.0401221	0.0193026	0.00364195	0.0898197
i	0.416576	0.0662178	0.323883	0.0712138	0.00954009	0.0495962	0.0223617	0.00332225	0.0372888
m	0.0574512	0.335143	0.277053	0.182107	0.0858305	0.0247743	0.00689252	0.0130998	0.0176492
y	0.00346651	0.00327649	0.0506946	0.928079	0.00660422	0.00182198	0.0012241	0.000432498	0.00440082
έ	0.0207284	0.00316301	0.0394132	0.924882	0.00257533	0.00183341	0.000839499	0.000632656	0.00593224
r	0.0622919	0.0549387	0.204852	0.435326	0.0449809	0.0441541	0.0461208	0.00789487	0.0994407
i	0.292986	0.0855832	0.149187	0.383682	0.01234	0.0349045	0.0159298	0.000435801	0.0249524
á	0.113714	0.0269638	0.578183	0.155118	0.0562477	0.0417322	0.0147801	0.00144105	0.0118197
d	0.0169457	0.0236759	0.130894	0.297474	0.224647	0.168908	0.070977	0.0116453	0.054832
z	0.012951	0.00366297	0.0586431	0.230306	0.0553003	0.295168	0.0535149	0.00458447	0.285869
a	0.0954407	0.00275896	0.27875	0.189163	0.110539	0.244117	0.044616	0.00425725	0.0303578
m	0.0134308	0.00200625	0.0886182	0.0452957	0.252026	0.374892	0.118766	0.014936	0.0900282
í	0.016526	0.00116136	0.0760299	0.178992	0.228654	0.175714	0.112039	0.00785352	0.203031
i	0.00488286	0.00278625	0.0427398	0.0390292	0.365802	0.338849	0.0865904	0.043491	0.0758296
b	0.00177584	0.00691048	0.00638602	0.0317396	0.441114	0.247103	0.0799712	0.080676	0.104324
á	0.000504186	0.00230889	0.0076591	0.00624349	0.61724	0.0430383	0.00987151	0.297383	0.0157517
l	0.0081501	0.00481546	0.0147559	0.00562385	0.460428	0.315544	0.0311944	0.0399432	0.119545
á	0.000824181	0.00512144	0.00479348	0.00267167	0.224665	0.442769	0.0554135	0.0263009	0.237441
ó	0.00358077	0.00196207	0.0123732	0.00540917	0.0376756	0.45848	0.359507	0.0383154	0.0826966
i	0.00311426	0.00659728	0.0058864	0.0131788	0.0284594	0.283695	0.313829	0.311201	0.0340389
k	0.00121457	0.00452419	0.00489635	0.0137097	0.0370062	0.0976179	0.0667686	0.580757	0.193506
o	0.000244537	0.00204706	0.00100484	0.000375845	0.0236365	0.048759	0.0336901	0.846029	0.0442134
ó	0.0002698	0.00122193	0.000722603	0.00110674	0.0251077	0.0353625	0.0289126	0.789411	0.117885
</S>	0.00458267	0.00292237	0.0106371	0.00448804	0.00560657	0.155593	0.241337	0.139966	0.434867
