 	son	infirmité	est	apparente	</S>
ω	0.737712	0.24865	0.0124884	0.000715886	0.00043332
s	0.089422	0.780292	0.0201208	0.0998707	0.0102942
έ	0.00991451	0.969247	0.00370988	0.00356517	0.0135635
l	0.063203	0.310758	0.0621463	0.0133147	0.550578
ε	0.469727	0.325712	0.0956598	0.0192	0.0897012
b	0.253171	0.258885	0.356374	0.00574856	0.125822
á	0.754077	0.160248	0.0473066	0.00351356	0.0348554
w	0.662194	0.18356	0.0683133	0.0402865	0.0456462
a	0.314288	0.192321	0.0808782	0.202944	0.20957
b	0.179668	0.197648	0.486628	0.0833398	0.0527159
ώ	0.623699	0.090925	0.117626	0.0644536	0.103296
ω	0.170394	0.0778596	0.571793	0.069507	0.110446
t	0.00496808	0.0203721	0.205959	0.398801	0.369899
á	0.00344926	0.0407274	0.0650604	0.747078	0.143685
á	0.00589923	0.0263214	0.074498	0.486753	0.406528
m	0.0232494	0.00811948	0.634391	0.120614	0.213625
a	0.103496	0.00408509	0.166551	0.165762	0.560106
</S>	0.0210499	0.00443181	0.127253	0.385684	0.461581
