 	le	hérisson	mange	le	sel	</S>
m	0.755707	0.23567	0.000713488	0.0059745	0.00186205	7.33162e-05
b	0.0211819	0.936805	0.00629385	0.0102773	0.00282448	0.022617
é	0.129711	0.852232	0.00159984	0.00366151	0.0114021	0.00139376
b	0.111307	0.817521	0.012806	0.00943397	0.0302782	0.0186532
h	0.107221	0.544434	0.0245482	0.0142778	0.0720829	0.237436
á	0.420751	0.436245	0.019376	0.0174358	0.0440597	0.0621321
l	0.27094	0.164588	0.290794	0.141977	0.00565118	0.126051
á	0.228428	0.0259602	0.134939	0.111049	0.0127892	0.486835
a	0.557012	0.0529112	0.0832486	0.254611	0.017828	0.0343892
d	0.00131914	0.00506649	0.905993	0.0569389	0.024366	0.00631675
z	0.000130457	0.000160415	0.955607	0.0285475	0.00569207	0.00986253
á	0.0047725	0.000901592	0.949673	0.0171527	0.0200502	0.00745011
á	0.0121988	0.00361435	0.282615	0.417103	0.0631636	0.221305
o	0.029989	0.00628468	0.100316	0.635544	0.169647	0.0582188
k	0.000247873	0.000324221	0.063025	0.00873821	0.917095	0.0105696
w	0.000109154	0.000478764	0.0333798	0.00875511	0.946403	0.0108743
á	0.000967321	0.00376588	0.0195966	0.0117486	0.808831	0.155091
</S>	0.0190748	0.0153442	0.0320109	0.119604	0.161041	0.652926
