 	quand	le	hanneton	atteint	l'	âge	de	maturité	son	corps	est	plein	de	graisse	</S>
i	0.56381	0.168759	0.0235092	0.0500251	0.0627429	0.101235	0.0225721	6.43711e-05	0.00398572	0.00105941	0.00112402	0.000568209	0.00051875	7.36595e-06	1.94515e-05
b	0.186373	0.294013	0.413047	0.0455059	0.0150345	0.0210058	0.00464276	0.00315266	0.00238125	0.00759866	0.00207746	0.00380459	0.000496163	0.000154216	0.00071205
o	0.0436549	0.12864	0.486929	0.0217877	0.0266451	0.244689	0.0220099	0.000701484	0.00118736	0.00269254	0.00325492	0.00538891	0.00129031	0.00131237	0.00981583
ó	0.0284799	0.180964	0.585163	0.0251176	0.0272271	0.0540744	0.0115047	0.0158741	0.00466367	0.023501	0.00307785	0.00923126	0.00293453	0.00220341	0.0259839
l	0.231801	0.299973	0.195308	0.102281	0.0448181	0.0142965	0.0357564	0.0207999	0.0145159	0.00270705	0.00982783	0.00371069	0.00591699	0.000286092	0.0180017
o	0.0814894	0.116422	0.152043	0.123509	0.0305235	0.0170596	0.0369797	0.0548864	0.0586165	0.0199633	0.0453458	0.0263468	0.0415634	0.00336628	0.191885
k	0.227245	0.134716	0.145388	0.245969	0.0607959	0.0228896	0.0118577	0.041966	0.02059	0.0227915	0.00748407	0.00443747	0.00925052	0.0111044	0.0335149
u	0.0096378	0.061709	0.56503	0.111514	0.0230003	0.049144	0.00833492	0.0776128	0.00540185	0.0548911	0.0050652	0.017059	0.000959589	0.00138667	0.0092539
m	0.00256725	0.0318424	0.44093	0.177645	0.0878789	0.0999006	0.00922853	0.0545056	0.00481398	0.0599886	0.00708925	0.00426122	0.00118043	0.00404514	0.0141225
u	0.03269	0.0164174	0.028148	0.178488	0.286609	0.336782	0.0500343	0.00141893	0.0160187	0.0113301	0.0125214	0.0011434	0.0107695	0.00246765	0.0151614
w	0.020439	0.0372167	0.0111147	0.0490306	0.170603	0.170416	0.340016	0.102462	0.0650388	0.0158304	0.0071779	0.00175872	0.00586642	0.00113754	0.00189218
á	0.0227339	0.0294638	0.0371577	0.143829	0.110701	0.0857852	0.137998	0.0547287	0.141874	0.0500858	0.0628738	0.0358811	0.0415596	0.00445265	0.0408759
á	0.011182	0.00595938	0.00635819	0.03518	0.161981	0.162905	0.26836	0.116476	0.0959935	0.0376476	0.0298724	0.0131524	0.0174682	0.00635135	0.0311127
í	0.00414382	0.0061265	0.00185047	0.00715816	0.0342367	0.0307019	0.146701	0.556099	0.137104	0.043864	0.010914	0.0108656	0.00357704	0.00170815	0.00494964
s	0.00568916	0.0154178	0.00801637	0.0025644	0.00864552	0.0155893	0.0535858	0.625437	0.0813036	0.115	0.0193336	0.0364684	0.00263053	0.00405674	0.00626204
o	0.0011657	0.0020258	0.0015504	0.00207234	0.0054733	0.00301092	0.0128943	0.808013	0.0810939	0.0551557	0.00942013	0.00667738	0.000589094	0.00316758	0.00769083
í	0.000278341	0.00300045	0.00297875	0.00347488	0.0115946	0.00682167	0.0272144	0.683564	0.0984259	0.123348	0.0105677	0.0128069	0.00129797	0.00537701	0.00924933
í	0.00139341	0.00313345	0.0011982	0.00348755	0.0184959	0.0088811	0.0728636	0.106512	0.550982	0.106117	0.0606067	0.0353527	0.0204843	0.00397702	0.00651512
d	0.00322473	0.00910614	0.00442632	0.00214801	0.00457862	0.00462564	0.0176169	0.0955547	0.243237	0.288083	0.0886997	0.189441	0.0159583	0.0186518	0.0146476
í	0.000969023	0.00384848	0.00127877	0.000901302	0.00338989	0.00320288	0.0187249	0.35813	0.207764	0.0997058	0.0553747	0.027481	0.0101712	0.019137	0.189922
l	0.000923259	0.00193497	0.00145109	0.00207342	0.0121308	0.00602898	0.031017	0.124018	0.220153	0.190358	0.108788	0.178671	0.0367357	0.0401108	0.0456066
a	0.000586345	0.00155358	0.0041975	0.00137984	0.00164061	0.00217246	0.0091614	0.0761321	0.168843	0.195887	0.0904239	0.236985	0.0404034	0.0341672	0.136466
p	0.00127204	0.00374098	0.00300401	0.00644083	0.0073114	0.00150789	0.00570047	0.02055	0.161411	0.293192	0.0903279	0.22035	0.0376365	0.0877748	0.0597807
ώ	0.000597463	0.00184707	0.005512	0.00277126	0.00272262	0.00400628	0.00469303	0.00892661	0.0350852	0.35294	0.119522	0.360191	0.00372628	0.0509813	0.0464778
n	1.34639e-05	4.81195e-05	0.00102689	0.000274549	0.000384615	0.000551444	0.00108274	0.0104784	0.0230931	0.163446	0.0359393	0.68976	0.00840711	0.038546	0.0269476
g	0.000176266	0.00102356	0.00707897	0.00225443	0.00228146	0.00164126	0.00355734	0.0249362	0.0974751	0.363501	0.0808874	0.328645	0.0147036	0.0116551	0.0601836
i	0.000769027	0.000977407	0.00168707	0.00989837	0.0121208	0.00305636	0.0068814	0.00938422	0.179759	0.239207	0.172264	0.0685338	0.0294571	0.0268565	0.239147
</S>	0.00084258	0.00332433	0.00157588	0.00360697	0.00811846	0.00380439	0.0175962	0.00388398	0.168164	0.0351527	0.291705	0.0975908	0.204083	0.0210151	0.139535
