 	le	feu	est	attisé	</S>
m	0.877543	0.113536	0.0076452	0.000841436	0.000434117
í	0.030326	0.93326	0.0307748	0.000479227	0.00515997
á	0.182117	0.809876	0.00640996	0.000928997	0.000667758
í	0.140708	0.493583	0.283046	0.0174995	0.0651644
d	0.0936075	0.0840667	0.521726	0.230602	0.0699979
í	0.022036	0.0740677	0.43096	0.0598374	0.413099
i	0.018747	0.0347355	0.205004	0.350992	0.390521
k	0.0154912	0.163854	0.268807	0.456683	0.095165
ú	0.00978277	0.0111135	0.0493945	0.825674	0.104035
á	0.0520285	0.0213657	0.0291137	0.695808	0.201684
k	0.0176211	0.0173107	0.12176	0.512778	0.33053
u	0.00783032	0.00156448	0.0247217	0.756596	0.209287
a	0.0482516	0.00881392	0.0207351	0.503269	0.418931
</S>	0.00360907	0.00144242	0.0509634	0.299494	0.644491
