 	il	fut	traité	avec	bonté	</S>
á	0.470258	0.44453	0.0577001	0.0192933	0.0075269	0.000690974
y	0.114091	0.669518	0.0952969	0.0516792	0.0616524	0.00776308
a	0.0714989	0.294547	0.115806	0.150371	0.00485529	0.362922
m	0.0898814	0.0853515	0.036485	0.0849397	0.0108945	0.692448
b	0.192661	0.144174	0.174978	0.144307	0.0114182	0.332462
á	0.338918	0.0659842	0.0525049	0.0231564	0.0171851	0.502251
w	0.531679	0.123605	0.150637	0.131538	0.0165024	0.0460383
a	0.459641	0.269921	0.139934	0.0892789	0.0236258	0.0175996
m	0.266905	0.250435	0.313073	0.131115	0.00577254	0.0326987
ó	0.125314	0.0300528	0.0864093	0.264746	0.0547477	0.43873
ω	0.119428	0.103262	0.194762	0.254375	0.275773	0.0524004
b	0.00613086	0.0048333	0.0296939	0.19469	0.568888	0.195763
v	0.00736921	0.00298975	0.0184639	0.0706064	0.878394	0.0221771
έ	0.00152115	0.00108224	0.010124	0.0751214	0.888774	0.0233768
</S>	0.00659193	0.00395757	0.0289283	0.0619187	0.0670966	0.831507
