 	sa	mère	l'	a	blâmé	à	cause	de	son	impolitesse	</S>
n	0.898796	0.0401854	0.0230419	0.0108384	0.00469841	0.00554061	0.00839439	0.00471394	0.00198216	0.00156584	0.000242719
g	0.0531933	0.932423	0.0123731	0.00107673	5.43813e-05	0.000307136	9.32559e-05	0.000168734	0.000289826	1.68863e-05	3.96533e-06
ó	0.090426	0.895649	0.0103174	0.00183493	0.000250723	0.000331722	0.000240869	0.000254192	0.000417614	0.000195389	8.24251e-05
o	0.00826609	0.985529	0.0037943	0.00146178	0.000216317	0.00013634	5.72832e-05	3.13858e-05	7.08379e-05	0.000423341	1.31029e-05
á	0.0591076	0.0124744	0.733102	0.13677	0.0134592	0.0189495	0.0029101	0.00704202	0.00674998	0.00219158	0.00724322
b	0.0276058	0.0281492	0.0729891	0.522138	0.219956	0.0355471	0.0200008	0.0149345	0.0264698	0.00704118	0.0251684
ε	0.00373864	0.00178633	0.0139488	0.296717	0.366138	0.115265	0.0991703	0.048044	0.0289846	0.00819698	0.0180109
n	0.0863334	0.00894387	0.0719534	0.203116	0.291732	0.201878	0.0635187	0.0326395	0.0167897	0.00721867	0.0158776
g	0.172543	0.00276634	0.192509	0.279375	0.0721452	0.144874	0.0427869	0.0559149	0.0187982	0.00326197	0.0150265
i	0.314075	0.00446714	0.199923	0.105446	0.0572341	0.165736	0.0322848	0.0520755	0.0298467	0.0110704	0.0278416
l	0.00671403	0.00117149	0.222742	0.0894846	0.152415	0.293175	0.112952	0.0729887	0.0171594	0.0158522	0.0153446
a	0.0632996	0.000417263	0.0381674	0.0726827	0.224433	0.26767	0.125963	0.0605721	0.0501699	0.00479296	0.0918323
w	0.0121902	0.000632861	0.307642	0.124902	0.190955	0.180278	0.0901132	0.0466805	0.0134703	0.0093878	0.0237481
a	0.076743	0.000426739	0.0993561	0.109926	0.252024	0.133171	0.175854	0.108805	0.0295457	0.00436052	0.00978781
t	0.0101278	9.4744e-05	0.0801348	0.0941897	0.196913	0.285878	0.152308	0.126084	0.0274266	0.00392055	0.0229219
s	0.0138398	0.000224375	0.0164462	0.0146156	0.31276	0.0622397	0.247464	0.234218	0.0489523	0.00509937	0.0441404
í	0.000759527	2.27883e-05	0.0070083	0.00850406	0.124456	0.0761413	0.367522	0.314033	0.0350465	0.0150221	0.0514849
n	0.0133549	0.0014309	0.0202586	0.028415	0.0874559	0.12225	0.260248	0.211706	0.0302015	0.134261	0.0904192
a	0.0270555	0.00297959	0.0341055	0.0139526	0.0140195	0.0441106	0.153154	0.190423	0.0690758	0.0596692	0.391455
w	0.00411574	0.000227273	0.0247633	0.0154866	0.00810359	0.0612278	0.0831684	0.436706	0.310997	0.0135236	0.0416809
a	0.00947508	0.000869393	0.0322781	0.0456443	0.0675787	0.0531212	0.124021	0.345798	0.184927	0.0278039	0.108483
a	0.000865503	0.000137827	0.0123556	0.00540278	0.00546835	0.0305589	0.0510976	0.364914	0.365752	0.0244306	0.139017
d	9.3594e-05	4.0027e-05	0.00453304	0.0329856	0.0163579	0.0272464	0.0227464	0.0980886	0.581175	0.0536728	0.163061
í	2.22215e-05	1.16812e-05	0.00308773	0.00802718	0.00564475	0.0231817	0.0322593	0.0976918	0.237471	0.0380557	0.554547
l	0.000402939	1.54763e-05	0.0058655	0.0043375	0.00142039	0.0278808	0.0307443	0.147456	0.405619	0.0481216	0.328137
a	0.000926601	2.66574e-05	0.00317997	0.00646826	0.00586892	0.00945058	0.00888498	0.0256705	0.210538	0.0651446	0.663841
m	0.000693554	4.85496e-05	0.00428566	0.00218987	0.00176792	0.00717862	0.00605426	0.0194098	0.0824215	0.661144	0.214806
b	0.000103441	8.43876e-05	0.00586395	0.00492857	0.00248151	0.00528742	0.0091953	0.019158	0.054129	0.851594	0.0471746
έ	8.66343e-05	8.77743e-06	0.000341253	0.000262319	0.000250366	0.00175822	0.00879956	0.0154911	0.01895	0.928541	0.0255113
s	0.00043181	1.28995e-05	0.000623665	0.000410771	0.000801535	0.00793662	0.033995	0.0856866	0.0843656	0.364635	0.4211
í	5.48467e-05	2.10971e-06	0.000281098	0.000609696	0.00134514	0.00528882	0.0279539	0.0369275	0.0656661	0.16502	0.696851
</S>	0.000351755	1.86018e-05	0.00139007	0.00117251	0.000878487	0.00264295	0.0034519	0.0257139	0.0824416	0.0295737	0.852365
