 	si	tu	enlèves	les	bourgeons	de	la	canne-à-	sucre	celle-ci	ne	germera	plus	</S>
w	0.631402	0.0675441	0.0456595	0.0289842	0.025097	0.0177905	0.0411823	0.0240725	0.0576534	0.0320462	0.00882486	0.0168024	0.0024643	0.000476304
á	0.595533	0.0850194	0.0416019	0.0393665	0.0048087	0.0178278	0.0337881	0.152485	0.00663861	0.0137601	0.00334844	0.00385863	0.00188875	7.53838e-05
á	0.125335	0.0699912	0.264143	0.0784751	0.0415013	0.0141603	0.0435278	0.028554	0.0691724	0.112901	0.0708674	0.0169713	0.0109851	0.0534158
n	0.204099	0.328444	0.126622	0.0690955	0.0128723	0.0287912	0.0232136	0.0200745	0.0142048	0.0211919	0.0192367	0.0226014	0.0254109	0.0841424
ω	0.216479	0.644711	0.0145813	0.0248233	0.00126383	0.0226542	0.0125662	0.0329855	0.00170551	0.00861823	0.00388521	0.00119514	0.00153952	0.0129924
o	0.0471098	0.319841	0.0706136	0.188393	0.00461171	0.0628008	0.0360534	0.0533395	0.00540539	0.0316195	0.0239024	0.00374887	0.00810637	0.144455
b	0.00376231	0.0320701	0.384616	0.341346	0.100319	0.0115787	0.0192351	0.0085144	0.00947232	0.0180298	0.0355595	0.0205175	0.00543642	0.0095436
h	0.000388625	0.00364688	0.333751	0.162114	0.228972	0.0252875	0.0485452	0.00786245	0.0336834	0.041206	0.0405406	0.0556791	0.00529056	0.0130327
á	0.000925054	0.00383902	0.216493	0.200482	0.156918	0.0535735	0.0719851	0.0165245	0.0141697	0.0318958	0.0531475	0.12224	0.0179863	0.0398202
á	0.00293995	0.0448083	0.121807	0.317807	0.12142	0.0724667	0.0632655	0.038129	0.0101126	0.0306703	0.0170223	0.0167834	0.00838639	0.134382
g	0.00635074	0.20207	0.115627	0.29845	0.0867886	0.0768063	0.056266	0.0306022	0.0355861	0.0256524	0.0191187	0.0191721	0.011056	0.0164537
h	0.00129689	0.033588	0.0470477	0.113945	0.0574803	0.159914	0.173704	0.137961	0.0694098	0.0669893	0.038787	0.0208175	0.0269431	0.0521162
í	0.000618033	0.0175157	0.0546648	0.215815	0.0970223	0.197925	0.132033	0.0441717	0.0444172	0.0526659	0.0330028	0.0202546	0.0406805	0.0492135
o	0.000540795	0.0198517	0.0191554	0.264387	0.159874	0.213461	0.123308	0.0508976	0.0329783	0.0467846	0.0177282	0.0162096	0.00689424	0.0279291
k	8.58397e-05	0.00239249	0.0100648	0.0692127	0.116811	0.113612	0.204778	0.0684683	0.17988	0.104639	0.0709169	0.0379117	0.00771351	0.0135141
o	2.88567e-05	4.0591e-05	0.00370046	0.016696	0.211146	0.0386922	0.115212	0.0105595	0.279322	0.0498233	0.0655284	0.150713	0.0319904	0.0265469
ó	3.54997e-05	0.000490345	0.0030335	0.0406901	0.140577	0.0456171	0.112871	0.00996096	0.166788	0.0784427	0.148	0.166832	0.045406	0.0412554
m	6.63036e-05	0.0017073	0.00180863	0.0271414	0.013809	0.075999	0.166015	0.270862	0.0412288	0.261364	0.0708493	0.0419064	0.00405064	0.0231922
í	0.000422163	0.00106209	0.000665849	0.0136838	0.00516731	0.0318585	0.109801	0.478084	0.0127677	0.218651	0.0344763	0.0291861	0.00914664	0.0550282
s	0.000443827	0.00117714	0.00206356	0.0105709	0.0118334	0.0591448	0.136163	0.0965552	0.122788	0.320439	0.106982	0.0973014	0.0240601	0.0104765
i	0.000562497	0.00480994	0.00344385	0.0108678	0.00181234	0.0310523	0.0746815	0.556018	0.0313205	0.147491	0.0914665	0.0117549	0.00818643	0.0265324
m	6.84186e-05	0.00065579	0.000546024	0.00696816	0.00126717	0.0598145	0.114494	0.407522	0.0236811	0.267182	0.0674254	0.00701974	0.00716846	0.0361873
u	6.00548e-05	0.000316767	0.00048547	0.00593701	0.00137007	0.0187586	0.0878622	0.571493	0.00891003	0.190004	0.0466931	0.0330735	0.00338864	0.0316479
a	2.5601e-05	3.6851e-05	0.000474147	0.00465758	0.00652297	0.0303361	0.191945	0.11977	0.044428	0.337806	0.149481	0.0878336	0.00386847	0.0228143
ó	0.000459481	0.00253548	0.000690427	0.0058602	0.00472402	0.0415255	0.0983601	0.0313183	0.0696309	0.291903	0.181689	0.148925	0.0312197	0.0911591
d	0.000156143	0.00152533	0.00502976	0.0171664	0.00327766	0.0298265	0.0521731	0.0541272	0.031686	0.187558	0.260263	0.258049	0.0530156	0.0461466
í	0.00025329	0.000563555	0.00160685	0.00546256	0.000318442	0.00811461	0.0243092	0.163372	0.00337516	0.0748922	0.294713	0.114828	0.0129205	0.29527
o	0.000240261	0.00133126	0.000955375	0.00950838	0.00172095	0.0305157	0.0517189	0.0654317	0.0126305	0.133468	0.291202	0.207011	0.107695	0.0865709
b	4.43141e-06	0.000126175	0.00105825	0.00319911	0.001221	0.0051945	0.00978406	0.00697888	0.00312919	0.0280672	0.150117	0.551277	0.177269	0.062574
v	7.38132e-05	0.000344545	0.0092714	0.01191	0.00969829	0.0141734	0.0341013	0.015254	0.0192075	0.0756365	0.160049	0.539209	0.0580402	0.0530306
ú	9.96691e-05	0.000673626	0.0115719	0.0153474	0.0133793	0.00941614	0.0233066	0.00620405	0.0234211	0.0638105	0.0879882	0.589381	0.131583	0.0238179
r	0.00032509	0.000371765	0.000412103	0.00302479	0.00667342	0.0115117	0.0238402	0.0123291	0.0474387	0.0526542	0.171193	0.482025	0.126158	0.062043
á	0.000376168	0.00121418	0.000560325	0.00684518	0.00896998	0.0188796	0.0782767	0.090803	0.036743	0.124526	0.238579	0.205421	0.128607	0.0601978
o	0.00156554	0.00401684	0.00127647	0.0131853	0.00566866	0.021498	0.0383601	0.0797614	0.0137889	0.10745	0.0733211	0.135896	0.291542	0.21267
