 	il	mérite	d'	être	battu	</S>
k	0.875704	0.0409484	0.06436	0.0170483	0.00189417	4.53941e-05
á	0.244301	0.651422	0.0597622	0.017663	0.0203828	0.00646878
a	0.101853	0.624512	0.0955978	0.048307	0.0383639	0.0913667
b	0.249203	0.0594554	0.478938	0.175432	0.00852116	0.0284512
á	0.0209697	0.0132255	0.341767	0.38709	0.117437	0.119511
a	0.0554499	0.0287751	0.246498	0.492952	0.0462285	0.130096
b	0.0117758	0.100671	0.200236	0.271978	0.338517	0.0768228
έ	0.0127367	0.132163	0.0711751	0.13498	0.574797	0.074148
r	0.00302297	0.03732	0.136663	0.11319	0.393625	0.316179
έ	0.10144	0.0183763	0.373521	0.250801	0.118504	0.137359
w	0.018693	0.00162785	0.256758	0.334402	0.305802	0.0827173
a	0.199738	0.00416381	0.230663	0.479135	0.05983	0.0264704
</S>	0.0136148	0.00156265	0.0998545	0.187544	0.219966	0.477459
