 	le	bateau	est	en	train	de	vrombir	au	fleuve	</S>
a	0.776922	0.198923	0.0173846	0.00165494	0.00128686	0.00090324	0.000311745	0.00243898	0.0001086	6.63355e-05
s	0.0263961	0.965838	0.00483206	0.00063873	0.0010974	4.44208e-05	0.000748465	0.000176884	8.90226e-05	0.000138633
ú	0.0092119	0.989763	0.000561128	8.41146e-05	7.48387e-06	9.48606e-06	1.1307e-05	9.17718e-06	0.000183354	0.000158763
a	0.121327	0.873134	0.00367789	0.000370514	8.20927e-06	1.82808e-05	7.04208e-05	6.22876e-05	0.000281623	0.00104949
b	0.059062	0.0103024	0.460551	0.336982	0.0228999	0.0204411	0.00170648	0.00220765	0.0007064	0.0851416
ó	0.0624203	0.00174501	0.105033	0.153741	0.294786	0.228983	0.0488554	0.0567599	0.0101787	0.0374981
m	0.0794105	0.0038493	0.249887	0.292114	0.202465	0.0610584	0.0485833	0.0378147	0.00273401	0.0220837
á	0.595234	0.0107742	0.0625388	0.0657166	0.00214131	0.180814	0.0141564	0.0400017	0.0168891	0.0117339
a	0.444912	0.00667738	0.0676591	0.0711652	0.00390439	0.199611	0.0859013	0.0331501	0.0440007	0.0430189
f	0.0210458	0.00853235	0.0271	0.0550645	0.023946	0.232739	0.445266	0.068446	0.0735897	0.04427
ú	0.00299257	0.00243267	0.0182162	0.050398	0.0378518	0.328015	0.251993	0.0462803	0.0993573	0.162463
n	0.0336089	0.00157534	0.0128257	0.0508793	0.00946154	0.116732	0.450031	0.0120741	0.0316949	0.281118
g	0.0764837	0.00116508	0.0173415	0.0492127	0.00109262	0.247063	0.294397	0.0750276	0.132406	0.105811
á	0.240305	0.00108663	0.0154616	0.0266781	0.00123146	0.133084	0.318297	0.114122	0.0800742	0.0696593
ó	0.00344436	9.91467e-05	0.0024489	0.00608765	0.000996357	0.0196785	0.0493774	0.486324	0.358126	0.0734176
n	0.00723626	0.00365298	0.00143744	0.00130526	0.0016886	0.00495894	0.0226679	0.0878287	0.821319	0.0479046
d	0.0207856	0.0108507	0.00479132	0.00453483	0.000166221	0.00625402	0.0322724	0.148945	0.587596	0.183803
z	0.00238628	0.00169821	0.000548181	0.00121795	0.000167874	0.00182323	0.0159704	0.0456445	0.645163	0.28538
á	0.000433403	0.00128264	0.000580607	0.00200982	2.47851e-05	0.00352593	0.0403237	0.0281366	0.634347	0.289335
l	0.000808379	0.000199066	0.00181571	0.00453105	0.000745684	0.00878833	0.0723177	0.0198074	0.0828098	0.808177
é	0.00192194	0.00123136	0.00415741	0.0120405	0.00176397	0.0252901	0.147709	0.0890252	0.316696	0.400165
</S>	0.00177934	0.000287002	0.00670456	0.00641078	0.00145945	0.0143835	0.0290208	0.103447	0.067238	0.769269
