 	c'	est	le	mari	de	ngala	qui	vous	a	ouvert	la	maison	</S>
o	0.392678	0.167609	0.137365	0.0191854	0.073014	0.0133134	0.0952423	0.0385147	0.0377137	0.00120191	0.0218255	0.00120908	0.00112802
k	0.0279655	0.0565001	0.0447925	0.261206	0.0070625	0.0259743	0.00559354	0.0116924	0.0685376	0.400459	0.0757313	0.00528127	0.00920429
ú	0.0104637	0.0441695	0.126445	0.228601	0.00869156	0.0285462	0.0047287	0.00705086	0.0161634	0.458562	0.036047	0.00959583	0.0209362
m	0.00108183	0.0154105	0.0508494	0.0378232	0.00311137	0.00740511	0.00200761	0.00100159	0.00562695	0.686486	0.162844	0.00529301	0.0210601
u	0.108293	0.0728439	0.278743	0.0547951	0.276953	0.0712421	0.0730535	0.0105245	0.00662635	0.00320961	0.00955747	0.0100427	0.0241156
b	0.0398197	0.059197	0.206218	0.128499	0.164604	0.179733	0.0554591	0.0840109	0.0315157	0.00334826	0.012317	0.00858968	0.0266892
í	0.0150536	0.0306583	0.0401325	0.00674337	0.0139431	0.00876919	0.0250814	0.731958	0.0533278	0.00562854	0.0158294	0.0205598	0.0323147
n	0.00232595	0.00617083	0.00688483	0.00223207	0.00373434	0.00705244	0.0266762	0.839663	0.0109868	0.00132117	0.0047949	0.0427346	0.0454232
í	0.00562354	0.00377689	0.00416962	0.00143752	0.00444356	0.00645906	0.0367698	0.743302	0.0318492	0.000556612	0.0136843	0.0875921	0.0603354
n	0.00349057	0.0143579	0.0601172	0.0738771	0.0774638	0.0882016	0.137596	0.297384	0.202613	0.00679706	0.0197533	0.00419433	0.0141549
d	0.00388806	0.00212398	0.00824502	0.0099273	0.0714662	0.384396	0.19363	0.128946	0.0645275	0.000500605	0.0220808	0.0289069	0.081362
é	7.59422e-05	8.49046e-05	0.000814474	0.00580327	0.01476	0.871997	0.0321985	0.0249488	0.00792946	0.000520314	0.00508402	0.0293487	0.00643484
e	0.000947517	0.00102498	0.0178226	0.033224	0.101868	0.246597	0.325228	0.093375	0.108175	0.0021462	0.0405753	0.0213894	0.00762654
á	0.00768325	0.00802418	0.027628	0.0108753	0.138599	0.028575	0.292928	0.096448	0.350635	0.0109688	0.0179403	0.00145978	0.00823615
d	0.00259379	0.00924236	0.0110121	0.0393662	0.0114438	0.0060124	0.00837904	0.0476436	0.336678	0.444908	0.0523047	0.00313439	0.027282
z	0.00100702	0.00358926	0.00752662	0.00653933	0.00837343	0.00195582	0.00655828	0.0241637	0.235287	0.388326	0.12537	0.00255982	0.188744
e	0.00864562	0.00491361	0.0260315	0.0172736	0.197057	0.0233832	0.0540737	0.0263723	0.177468	0.267241	0.11965	0.031185	0.0467058
o	0.00175341	0.00435982	0.0471285	0.0066185	0.103799	0.0257063	0.10449	0.0689173	0.22846	0.11064	0.235447	0.0149208	0.0477584
l	0.000394757	0.00201809	0.00226138	0.00503639	0.00288233	0.00322886	0.00178421	0.0139643	0.100027	0.752443	0.0820246	0.00452792	0.0294069
ó	0.000240118	0.00307352	0.00579536	0.0206224	0.00203874	0.00211185	0.00115192	0.0204612	0.108531	0.654962	0.114211	0.00364109	0.0631601
m	0.000133505	0.000582794	0.00411472	0.00500598	0.0164721	0.00517781	0.00422121	0.00808758	0.0450112	0.661326	0.141108	0.00346511	0.105295
i	0.00146022	0.00330349	0.014094	0.00462066	0.206262	0.0213886	0.0239568	0.00439062	0.0473962	0.161106	0.332213	0.0285367	0.151271
y	0.00123389	0.00281676	0.00787933	0.00241149	0.0150129	0.0030985	0.0678288	0.0591848	0.227529	0.0342827	0.238204	0.0550012	0.285517
a	0.00104402	0.00213801	0.00974468	0.00805834	0.019146	0.0113043	0.0650318	0.0496946	0.17017	0.0393384	0.267271	0.204766	0.152293
n	0.000534368	0.000529085	0.00771888	0.00789065	0.0239586	0.0055176	0.104445	0.053315	0.14365	0.0077604	0.118471	0.450842	0.0753675
g	2.88536e-05	5.49797e-05	0.000350941	0.00138647	0.00122744	0.0208652	0.0357556	0.108427	0.0823658	0.00141638	0.0844232	0.617448	0.0462502
a	1.89935e-05	2.5431e-05	0.000126697	0.000947012	0.00101193	0.0279749	0.0343899	0.0727818	0.0520645	0.00143227	0.077017	0.625046	0.107163
l	4.15969e-05	0.000108005	0.000746332	0.000932913	0.00333216	0.00220783	0.0291339	0.0194118	0.0855263	0.00968304	0.175895	0.180794	0.492187
a	0.00091772	0.00228496	0.00709033	0.00404085	0.0114205	0.0129179	0.024537	0.00851258	0.0880142	0.0157482	0.217792	0.278079	0.328645
</S>	0.000320274	0.000549956	0.0034172	0.00284893	0.0144114	0.00132967	0.0296677	0.0125284	0.0759062	0.0112123	0.126714	0.084024	0.63707
