 	il	n'	aime	pas	être	battu	au	jeu	</S>
w	0.796226	0.0621283	0.0222012	0.0654214	0.0358053	0.0109151	0.00567188	0.00109244	0.000538561
a	0.685222	0.0357681	0.00939733	0.0491353	0.125724	0.0696724	0.0234947	0.00138254	0.000203729
a	0.151017	0.411811	0.236908	0.0490462	0.0514265	0.0273443	0.0382765	0.00652373	0.027646
d	0.0811507	0.395596	0.20839	0.0388935	0.0569774	0.0824317	0.0541601	0.0206607	0.0617396
i	0.0181091	0.351063	0.39101	0.0765215	0.0120949	0.0213573	0.0108381	0.0033435	0.115663
p	0.0124135	0.0987142	0.433257	0.203778	0.0502934	0.0350209	0.0476738	0.00720068	0.111649
ó	0.005801	0.0482397	0.180463	0.41166	0.167504	0.0778859	0.0127746	0.0423542	0.0533173
s	0.0136202	0.187333	0.614207	0.0701019	0.0324431	0.018606	0.0139353	0.00658374	0.0431696
á	0.00479321	0.0585009	0.394172	0.376797	0.0394028	0.0564691	0.0291246	0.00648095	0.0342594
b	0.023975	0.0167072	0.0918497	0.262756	0.446966	0.102917	0.0347703	0.0121274	0.00793185
á	0.0124971	0.0185921	0.044733	0.0911431	0.421577	0.225152	0.0242453	0.120511	0.0415494
a	0.0260103	0.00656091	0.0264053	0.0874586	0.516616	0.139796	0.0143036	0.102605	0.0802446
b	0.00476063	0.0342984	0.109975	0.118609	0.12638	0.268622	0.213245	0.0350419	0.0890671
h	0.00996283	0.0214243	0.0123438	0.0329885	0.185211	0.63448	0.0469941	0.0418661	0.0147292
é	0.00232721	0.0107037	0.0259329	0.0492937	0.105552	0.690733	0.0512093	0.0319525	0.0322959
l	0.00100814	0.00454836	0.0283995	0.0934829	0.0486124	0.297239	0.219563	0.0360788	0.271068
á	0.00237083	0.0062185	0.0312287	0.205954	0.0865233	0.267555	0.100026	0.0958464	0.204276
w	0.0147483	0.00819833	0.0293421	0.0674006	0.113597	0.133924	0.389117	0.194403	0.0492698
a	0.0278108	0.00383318	0.00738038	0.0426284	0.246036	0.247591	0.0876737	0.311195	0.025852
k	0.00402314	0.00256537	0.013535	0.0333967	0.0867462	0.100242	0.341352	0.304365	0.113774
a	0.00151552	0.00327551	0.0139441	0.0407389	0.0945575	0.118081	0.104731	0.586928	0.0362284
á	7.53773e-05	0.000395671	0.0026644	0.00623568	0.0120855	0.037976	0.0516522	0.543647	0.345269
</S>	0.00517893	0.00656974	0.0160943	0.00834059	0.0207256	0.0247221	0.0703332	0.219437	0.628599
