 	apporte-moi	un	peu	de	vin	</S>
y	0.887155	0.0478149	0.0457131	0.0151936	0.00299454	0.00112873
a	0.957243	0.0130432	0.00598184	0.00977803	0.0017759	0.0121782
á	0.822635	0.121169	0.0307653	0.00940377	0.00421217	0.0118154
n	0.162497	0.465273	0.208044	0.07807	0.031772	0.0543436
g	0.398745	0.189263	0.126115	0.109053	0.0207941	0.156031
á	0.522798	0.241844	0.117852	0.0714212	0.0129846	0.0330998
l	0.00282246	0.21252	0.43346	0.2711	0.0440076	0.03609
e	0.0103317	0.541163	0.240709	0.0886225	0.029301	0.0898724
t	0.00099605	0.251814	0.283801	0.196056	0.125195	0.142138
s	0.000148954	0.287055	0.487532	0.134381	0.0390995	0.0517834
ε	7.72341e-05	0.291676	0.423675	0.120243	0.115054	0.0492748
n	0.000129878	0.0801784	0.371488	0.27305	0.148915	0.126238
g	0.00136711	0.12333	0.200618	0.164364	0.129165	0.381155
í	0.00549219	0.106535	0.291842	0.178576	0.165389	0.252166
y	0.00118593	0.0457486	0.230466	0.262635	0.177448	0.282517
í	0.0010532	0.0628043	0.192486	0.319503	0.26729	0.156864
l	0.00232987	0.00571568	0.0475311	0.162104	0.504065	0.278254
ω	0.00200987	0.0102484	0.0184341	0.0480401	0.484535	0.436733
i	0.000885139	0.00441123	0.0111463	0.0390642	0.820353	0.12414
</S>	0.000207565	0.0273315	0.0495888	0.0904195	0.317428	0.515025
