 	ma	mère	est	partie	planter	la	première	semence	dans	son	champ	aujourd'	hui	</S>
n	0.787999	0.0625629	0.0641397	0.00636547	0.0116876	0.01261	0.0130418	0.00739989	0.00963995	0.015251	0.000620913	0.00384932	0.00445455	0.000378192
g	0.932651	0.0642131	0.00134182	0.00017563	2.71283e-05	3.65629e-05	2.93493e-05	2.68099e-05	7.7782e-05	0.000115034	0.00128438	1.07792e-05	6.85968e-06	3.84824e-06
ó	0.202252	0.79377	0.00113584	0.000336334	2.58806e-05	2.66912e-05	3.57469e-05	2.12589e-05	6.30413e-05	5.66058e-05	0.00227328	1.52269e-06	6.41802e-07	6.45092e-07
o	0.18692	0.781595	0.00473934	0.0113304	0.000590702	0.000421313	0.000298451	0.000503676	0.000838708	0.000695828	0.0118287	2.65237e-05	3.17935e-05	0.000180067
y	0.259714	0.0195344	0.453742	0.209657	0.0127424	0.00686192	0.00548494	0.00367366	0.00487117	0.00565887	0.00119482	0.00619384	0.00199429	0.00867663
a	0.906477	0.00322438	0.0626354	0.0122691	0.00202538	0.00189081	0.00165191	0.00117747	0.00204592	0.00293057	0.000396263	0.0015836	4.31087e-05	0.00164884
n	0.935858	0.000503731	0.040254	0.0147047	0.00196257	0.000577741	0.000733081	0.000210136	0.000507418	0.00135888	0.000277184	0.000450775	5.46554e-05	0.00254704
g	0.92064	0.00365355	0.0251849	0.0155132	0.000327686	0.000445986	0.000616962	0.000418205	0.00147221	0.00182358	0.0295374	9.53039e-05	1.19341e-05	0.000259019
á	0.148208	0.0592851	0.407758	0.283169	0.00401824	0.00412395	0.00326871	0.00256399	0.00586259	0.00816053	0.0705748	0.000435714	5.79926e-05	0.00251405
á	0.0162759	0.00105991	0.812599	0.101228	0.0223415	0.0218542	0.00327657	0.00320859	0.00251499	0.00356009	0.000334485	0.00604488	0.00187507	0.00382671
d	0.00131155	0.00114253	0.0452785	0.44212	0.421502	0.0561003	0.0104056	0.01047	0.00322466	0.000782451	0.00107257	0.000451436	0.000321343	0.00581713
z	0.00101831	1.46247e-05	0.014956	0.734133	0.196113	0.0180867	0.00686377	0.00757656	0.00653529	0.00110255	0.000709708	0.000138961	1.73517e-05	0.0127334
w	0.00901299	4.08748e-05	0.0591564	0.770789	0.141952	0.00771811	0.0061288	0.00142151	0.00175465	0.000607808	0.000393251	8.60227e-05	8.00616e-06	0.000931013
e	0.0109808	5.09323e-06	0.0419143	0.419187	0.281965	0.0939698	0.0765125	0.0180014	0.0165507	0.0171847	0.00143645	0.00332369	4.55895e-05	0.0189227
o	0.00445296	2.85562e-05	0.193261	0.200256	0.22523	0.242558	0.0408026	0.0282975	0.0184765	0.00901567	0.00431606	0.00713971	0.00481642	0.0213495
s	0.0002833	0.000270556	0.00621437	0.0774864	0.351876	0.288712	0.106336	0.111664	0.0244297	0.00499952	0.0126456	0.00263413	0.000780237	0.0116689
u	0.000149835	0.000104678	0.019657	0.537793	0.224608	0.0948437	0.0452519	0.0367589	0.00951426	0.00155345	0.0249979	0.000236433	0.000275225	0.00425615
m	0.00126045	3.25378e-05	0.0251601	0.248289	0.274133	0.191832	0.12695	0.0508151	0.0314745	0.00934026	0.00599117	0.000654428	6.32289e-05	0.0340041
á	0.00391576	2.92863e-06	0.019619	0.064629	0.181659	0.197702	0.162512	0.0988375	0.0912783	0.0926617	0.0053744	0.0217963	0.000780214	0.0592321
k	0.00120799	3.12838e-06	0.0116988	0.016753	0.0289988	0.176771	0.286195	0.239345	0.131977	0.0574945	0.0224869	0.00997261	0.00193289	0.0151619
ú	0.00066299	2.79641e-06	0.00125997	0.00288675	0.0427524	0.23871	0.177512	0.32816	0.0581606	0.0282035	0.0229119	0.0270154	0.0273406	0.0444218
b	6.23618e-05	3.122e-07	0.0008255	0.00885865	0.0471614	0.209831	0.223757	0.384021	0.059884	0.0180422	0.0191814	0.00841501	0.000628687	0.0193315
h	0.00808023	6.73672e-07	0.00146781	0.00678617	0.0579317	0.100849	0.11623	0.14064	0.0469501	0.0845183	0.02731	0.109115	0.0194724	0.28065
á	0.0010056	1.2546e-07	0.00116894	0.00150911	0.00485259	0.125614	0.136766	0.247574	0.132095	0.187144	0.015192	0.0478559	0.00238542	0.0968366
y	8.53572e-05	1.21187e-06	0.00187458	0.000814375	0.00239407	0.0140764	0.06549	0.138742	0.378852	0.225741	0.0260205	0.0358558	0.0134748	0.0965776
á	0.000596048	1.21595e-05	0.00379711	0.0155359	0.00757146	0.020511	0.0389057	0.164153	0.278345	0.203114	0.158676	0.0314891	0.0114672	0.065827
w	0.000265812	7.75637e-06	0.00345247	0.00132122	0.00143316	0.0067215	0.0214971	0.0718912	0.266981	0.290198	0.27737	0.0207868	0.0123553	0.0257185
a	0.00112274	4.66271e-06	0.000934726	0.00177432	0.00412208	0.0220602	0.0433106	0.115691	0.133699	0.216005	0.0369784	0.286852	0.106871	0.0305737
p	8.30126e-05	7.81189e-07	0.000428732	0.000558188	0.000633345	0.00860051	0.013942	0.176115	0.255938	0.179047	0.0456709	0.114864	0.0689284	0.13519
á	0.000212695	3.19559e-06	0.00096136	0.00102467	0.00440657	0.00794697	0.00763061	0.0378939	0.028623	0.0392959	0.0330974	0.0592452	0.703	0.0766582
b	4.14832e-05	4.05589e-07	0.000257019	0.000419197	0.00189246	0.00180109	0.00310693	0.0115734	0.0266415	0.0164645	0.0031008	0.0248165	0.859489	0.0503959
h	9.1111e-05	9.28283e-08	1.05092e-05	1.48808e-05	0.000245209	0.00154853	0.00270741	0.0437786	0.0765184	0.099737	0.0107985	0.125757	0.507978	0.130815
a	0.000307117	2.41599e-06	0.000149563	0.000316031	0.00134486	0.00351854	0.00787384	0.0280693	0.0315451	0.0401827	0.0135215	0.0480975	0.714907	0.110164
</S>	0.000132765	2.29663e-06	0.000413859	0.000334438	0.00100263	0.00637124	0.0031569	0.0410437	0.0802856	0.140764	0.127524	0.324977	0.0414748	0.232518
