 	son	ami	lui	a	donné	un	vêtement	</S>
o	0.916291	0.0708915	0.00833995	0.000786796	0.000283528	0.00169341	0.0013645	0.000348812
b	0.0162062	0.968609	0.0016765	0.00167861	0.0068422	0.00086527	0.00272489	0.00139727
i	0.0238799	0.947661	0.00162326	0.00157961	0.014939	0.00125879	0.00712166	0.00193623
a	0.0405089	0.788905	0.0152979	0.0199097	0.0424931	0.00380976	0.0389509	0.0501248
y	0.544328	0.0249124	0.345732	0.0661476	0.00523815	0.00572833	0.000598945	0.00731401
a	0.669754	0.0186653	0.211514	0.0587123	0.0127681	0.0170227	0.00144855	0.0101148
w	0.560772	0.00610858	0.327128	0.0651256	0.0136957	0.0180901	0.00269655	0.00638383
a	0.313653	0.00500101	0.273947	0.130181	0.0823206	0.0287667	0.0218981	0.144233
a	0.0302327	0.00133511	0.544984	0.315803	0.0543545	0.0234763	0.00337266	0.026442
m	0.000490487	0.00173633	0.0494299	0.477326	0.377122	0.0258882	0.0203184	0.0476888
i	0.0112942	0.00232156	0.0506515	0.337992	0.295553	0.233755	0.00375209	0.0646807
p	0.00275246	0.00623281	0.00926655	0.0757782	0.760056	0.0760893	0.0298982	0.0399269
έ	0.000603651	0.00125211	0.00325465	0.0398731	0.84808	0.00797136	0.0750694	0.0238955
w	0.00620942	0.00279494	0.119593	0.128682	0.44278	0.117426	0.0545071	0.128008
a	0.0629294	0.000378099	0.434116	0.20259	0.128585	0.118368	0.0179077	0.0351249
ω	0.00361006	0.000221556	0.174463	0.122561	0.0496911	0.411821	0.0922202	0.145412
k	0.00123605	0.00197438	0.00160072	0.00958678	0.119102	0.199549	0.638979	0.0279715
á	4.49872e-05	0.00170383	0.000143614	0.000718854	0.0297424	0.0258379	0.913573	0.0282357
n	0.000415342	0.000639218	0.00254532	0.0101906	0.158677	0.0249691	0.745471	0.0570919
d	0.000486785	0.000153958	0.0120248	0.0163571	0.0955106	0.0733392	0.690572	0.111555
á	0.014033	0.00131403	0.0519834	0.0448041	0.178063	0.100595	0.3912	0.218008
</S>	0.0317568	0.000345422	0.0258427	0.0175094	0.0311203	0.207329	0.117516	0.56858
