 	j'	ai	déjà	attrapé	un	barbu	à	diadème	dans	le	gluau	</S>
n	0.982638	0.0150087	0.000303501	0.000190438	0.000748862	0.000180273	0.000700605	8.90728e-05	0.000103015	2.51865e-05	3.14867e-06	9.18556e-06
g	0.953069	0.0367125	0.00513827	0.000234556	0.00442954	0.000113028	0.00019273	3.47937e-05	3.81318e-05	1.58562e-05	1.84784e-05	3.5585e-06
á	0.72984	0.248712	0.0109608	0.00188879	0.00671409	0.000840527	0.000328195	0.000166348	0.000121869	0.000167901	0.000174762	8.52919e-05
l	0.0504336	0.244614	0.123416	0.0261664	0.0810828	0.038393	0.034043	0.00918423	0.0248705	0.0249179	0.0373876	0.30549
a	0.245864	0.196877	0.191068	0.0209454	0.0427479	0.00681824	0.0360665	0.0149345	0.0374814	0.0493707	0.0256869	0.132139
m	0.00273793	0.0428015	0.303099	0.141877	0.113282	0.0714078	0.0292962	0.0580632	0.0518172	0.0402013	0.0201448	0.125272
o	0.0213227	0.43902	0.400347	0.0426503	0.0468246	0.022318	0.00893521	0.000345875	0.00425573	0.00834945	0.00049971	0.00513188
ó	0.00129496	0.134327	0.557838	0.209668	0.0386118	0.0257137	0.00558501	0.00233867	0.00428612	0.00583411	0.00764591	0.00685675
p	6.2364e-05	0.00205698	0.0530005	0.739838	0.0499081	0.127033	0.00482975	0.00434706	0.00393192	0.00262458	0.00388567	0.00848234
i	9.80554e-07	9.22899e-05	0.00172894	0.804415	0.0435595	0.129364	0.00125865	0.0144063	0.000776763	0.000210891	0.00235774	0.00182959
á	1.18767e-06	0.000901337	0.00854489	0.825979	0.0861083	0.0661187	0.00351127	0.00496832	0.000794575	0.000465971	0.000690811	0.00191536
m	0.000141473	0.0439629	0.0129684	0.0300594	0.597368	0.0962725	0.174594	0.0152074	0.0136745	0.0078725	0.00164485	0.00623392
b	0.000245373	0.000687231	0.000298357	0.00217156	0.0396851	0.815012	0.0720431	0.00277608	0.0325447	0.0157908	0.000522482	0.018223
ó	2.04709e-05	0.000180858	0.000195336	0.00152208	0.0979743	0.733312	0.142883	0.00786737	0.00848447	0.00437581	0.000446247	0.00273832
m	1.94409e-05	0.0007411	0.00169434	0.00192108	0.0203661	0.885699	0.0507406	0.00888925	0.00505617	0.00333282	0.000615559	0.0209241
b	3.5584e-05	0.000149816	0.000114415	0.00126538	0.0287462	0.787914	0.0990748	0.0201337	0.0373859	0.00494348	0.000727151	0.0195098
ó	8.95622e-05	0.000190806	0.000535373	0.00116308	0.0200594	0.861722	0.0601804	0.00820463	0.0241516	0.00841725	0.000776446	0.0145094
k	4.66564e-06	0.000316263	0.00189384	0.00447256	0.0313887	0.148514	0.250177	0.370113	0.101699	0.0265341	0.0126039	0.0522828
ó	4.98367e-06	3.67321e-05	0.000137908	0.00215186	0.0282507	0.0256964	0.119208	0.696791	0.0487418	0.0086543	0.0332521	0.0370738
l	9.04452e-06	0.000113247	0.000107797	0.00120282	0.00836541	0.0132647	0.0798656	0.764029	0.0409983	0.0118813	0.0445609	0.0356023
i	0.000126642	0.000511114	0.000767774	0.00561265	0.0179271	0.0227044	0.122966	0.587808	0.0967298	0.0449656	0.0397126	0.0601684
m	0.000233187	0.00222568	0.00277335	0.000982955	0.0119553	0.00600784	0.144745	0.149668	0.319688	0.240553	0.043052	0.0781147
é	0.000304911	0.00169216	0.00202345	0.000316637	0.0246015	0.0445673	0.11456	0.00705058	0.233128	0.380884	0.0137934	0.177078
t	7.40151e-06	0.000492444	0.000380095	0.000547096	0.0131826	0.00642852	0.0544144	0.0556059	0.240318	0.321531	0.265543	0.0415488
á	3.75932e-06	0.000139403	0.000250187	0.00477235	0.0103217	0.0269497	0.0129073	0.272942	0.0842075	0.0479911	0.502827	0.0366881
i	5.65135e-05	0.000637531	0.00176615	0.00297431	0.00349106	0.00373704	0.00960233	0.167197	0.0710877	0.0378928	0.619103	0.0824547
</S>	5.89823e-06	5.90637e-05	0.000104858	0.000612674	0.00165871	0.00102014	0.00755432	0.0197346	0.270089	0.280391	0.262426	0.156343
