 	il	recherche	la	moindre	bribe	de	tabac	</S>
w	0.701865	0.0301616	0.0478639	0.195848	0.00930344	0.0137104	0.000835158	0.000412043
a	0.790017	0.0288954	0.0702085	0.0734492	0.00664177	0.0268633	0.00366832	0.000256183
l	0.165849	0.268592	0.188978	0.318567	0.0385941	0.0143225	0.000280012	0.00481745
á	0.103637	0.20469	0.224224	0.0843892	0.0826244	0.0512637	0.000595416	0.248577
a	0.164843	0.303733	0.28418	0.12197	0.0418629	0.0294881	0.00145342	0.05247
y	0.0112709	0.524285	0.197549	0.225182	0.016572	0.00582334	0.00526331	0.014054
é	0.000756895	0.212534	0.130131	0.644861	0.00522877	0.00121315	6.22691e-05	0.00521324
n	0.010894	0.137977	0.467865	0.298866	0.0119826	0.0127529	0.000268676	0.0593939
g	0.0370821	0.188478	0.426376	0.283753	0.0377907	0.011342	0.000855456	0.0143232
á	0.0533146	0.151857	0.155399	0.615631	0.00796655	0.00732583	0.000108476	0.00839673
y	0.0106063	0.0161755	0.257653	0.424635	0.223103	0.0518268	0.00757288	0.00842722
a	0.000648219	0.00204486	0.0507425	0.197016	0.73964	0.00567497	9.8904e-05	0.00413507
á	0.00120342	0.00653311	0.0426237	0.132336	0.756341	0.0270744	0.000415642	0.0334736
i	0.00322182	0.00923811	0.0430057	0.0395137	0.39186	0.375116	0.0423605	0.0956847
k	0.000959498	0.00132698	0.00824678	0.0437709	0.0303474	0.165601	0.687714	0.0620332
έ	0.000373452	0.000168599	0.00260428	0.00221417	0.00283221	0.0172774	0.954723	0.0198074
έ	0.000444294	0.000363951	0.0076548	0.00786966	0.0223792	0.0187176	0.651429	0.291142
</S>	0.000870511	0.00234758	0.0124397	0.00455132	0.0545428	0.406213	0.123977	0.395058
