 	le	forgeron	est	en	train	de	fabriquer	la	pointe	du	fer	de	la	houe	</S>
o	0.94772	0.0376275	0.0082807	0.00107532	0.00238235	0.000562053	0.000232039	0.000741491	0.000312997	0.000402718	0.00014655	0.000281729	0.000206637	1.37898e-05	1.41414e-05
k	0.0772229	0.908318	0.012716	0.000245874	0.000296855	7.82846e-05	0.000290919	7.32424e-05	2.34523e-05	7.59324e-05	0.000146611	7.32864e-05	9.23883e-05	0.000176727	0.000169419
u	0.00337686	0.996056	2.53565e-05	3.03759e-06	1.72427e-05	2.60985e-06	4.42074e-05	2.25629e-05	5.4466e-05	4.00194e-05	4.61877e-05	2.228e-05	3.1896e-05	0.000166016	9.13665e-05
b	0.00101213	0.996605	0.000574552	2.69648e-05	1.34361e-05	1.38893e-05	6.55787e-05	6.53616e-05	4.79591e-05	0.00010492	0.000285734	0.000173637	0.000250563	0.000384843	0.000375324
h	0.156674	0.604133	0.0448912	0.00258256	0.000975484	0.00574941	0.00392962	0.0249934	0.0267998	0.0268941	0.0131325	0.0241621	0.0191246	0.0229881	0.0229701
a	0.647265	0.228999	0.0552731	0.00442208	0.00247958	0.00716309	0.00337352	0.0103838	0.0103294	0.00301229	0.00137998	0.00345598	0.00157115	0.000888521	0.020003
b	0.0754888	0.0264452	0.640106	0.123239	0.00459713	0.045022	0.0109738	0.0120901	0.010605	0.00952275	0.00548155	0.00733535	0.0036401	0.00190221	0.0235502
ó	0.204758	0.000357872	0.182499	0.186835	0.0171631	0.189789	0.1026	0.0377193	0.0118301	0.0141927	0.00340849	0.0150622	0.0113964	0.00403293	0.0183548
l	0.0471531	0.000321747	0.337864	0.439443	0.0286766	0.0799104	0.0431073	0.00696864	0.00299496	0.00474437	0.00149041	0.00235708	0.0023628	0.000742119	0.00186339
á	0.0220009	0.00067606	0.0728103	0.053747	0.00255572	0.125631	0.167221	0.0359718	0.0068994	0.0256873	0.0454263	0.0526792	0.023617	0.0430132	0.322063
a	0.123113	0.00166417	0.0563048	0.1813	0.0396591	0.267454	0.168674	0.0469393	0.029439	0.0236711	0.0125723	0.0140361	0.0123262	0.00546696	0.0173795
t	0.013579	0.0559488	0.00501863	0.0221994	0.00513185	0.114232	0.593662	0.0657329	0.0657652	0.0240856	0.00999249	0.00462978	0.00403196	0.00395249	0.0120379
u	0.000771294	0.0481801	0.00135561	0.0104175	0.00592319	0.0301737	0.679248	0.0491975	0.0970852	0.0313918	0.0155135	0.00725212	0.00369755	0.00253772	0.0172555
á	0.0188176	0.0630443	0.00956853	0.026434	0.00171406	0.0303198	0.39668	0.0587172	0.117124	0.0429938	0.0629739	0.0392509	0.0173913	0.00655738	0.108413
o	0.00114179	0.000944347	0.00379834	0.00613698	0.000514187	0.0345899	0.0350365	0.220568	0.205104	0.197514	0.126331	0.0899514	0.0396569	0.0193012	0.0194126
y	0.001168	0.00235842	0.00040669	0.000723219	0.000236761	0.00628872	0.0300942	0.0616217	0.0602142	0.20635	0.370125	0.142179	0.0551929	0.0488729	0.0141681
í	0.00040784	0.000236595	0.000844512	0.00024694	1.33706e-05	0.00316358	0.0142459	0.0501557	0.146078	0.190916	0.324916	0.063398	0.0411157	0.12414	0.0401217
y	0.000150807	0.00013153	0.000717127	0.00118011	7.2431e-05	0.00694063	0.0284728	0.0358326	0.118436	0.114606	0.205128	0.0771159	0.0467992	0.178624	0.185793
i	0.000146847	0.000406968	0.000404356	0.000764714	3.9275e-05	0.00788136	0.040184	0.0789772	0.168874	0.196242	0.200967	0.124031	0.0526931	0.0636264	0.0647618
á	0.000174524	8.33648e-05	0.000872314	0.00114245	3.53056e-05	0.00922	0.00687726	0.0351204	0.0234584	0.128073	0.151492	0.224618	0.195935	0.122984	0.099914
</S>	0.000656557	0.000501129	0.000508953	0.000670475	0.000148066	0.00389489	0.00557418	0.00851423	0.00708348	0.0275497	0.0887156	0.112182	0.189527	0.436991	0.117482
