 	l'	enfant	est	calme	dans	le	lit	parce	que	le	bruit	du	véhicule	lui	a	fait	peur	</S>
m	0.68703	0.210458	0.0221097	0.00359134	0.0095017	0.019277	0.00831456	0.00445621	0.00791354	0.00682515	0.00748442	0.00986387	0.00162329	0.000638373	0.000180439	0.000394932	0.000281712	5.57345e-05
w	0.00584389	0.987296	0.00268394	0.000304416	0.000300119	0.000262479	6.31612e-05	0.000357025	0.0007743	0.000613396	7.4636e-05	0.000171551	3.64826e-05	0.000208211	0.000168742	0.000241095	2.55892e-05	0.000574688
á	0.00115305	0.998317	0.000101861	5.27136e-05	3.90977e-05	4.67954e-05	4.65422e-05	5.51785e-05	5.41917e-05	5.09493e-05	3.54945e-05	1.30595e-05	1.59736e-05	5.36116e-06	1.59024e-06	2.12719e-06	7.04908e-06	2.21701e-06
n	0.335451	0.648257	0.00141879	0.000331117	0.000389564	0.00107933	0.000783533	0.00092862	0.00229239	0.00161903	0.000548075	0.000745108	0.000217844	0.00161131	0.000412032	0.000136526	0.000420468	0.00335871
a	0.183016	0.362487	0.041702	0.0172734	0.00769496	0.00907674	0.00247122	0.013323	0.0299271	0.0186645	0.013189	0.00829405	0.00939838	0.0235176	0.0194622	0.00241656	0.00134256	0.236744
a	0.666447	0.0394127	0.128113	0.028783	0.0150699	0.0145904	0.00631327	0.00916399	0.0107494	0.012733	0.00833646	0.0194326	0.00283224	0.0134027	0.00803439	0.00743699	0.00297498	0.00617371
d	0.0181173	0.0080847	0.440845	0.260037	0.0356622	0.00691617	0.00720052	0.0203857	0.0266166	0.0211207	0.029458	0.0245495	0.0130899	0.0276818	0.0300858	0.0184635	0.00267183	0.00901398
í	0.0145504	0.00702153	0.249322	0.38569	0.0905803	0.012117	0.00277273	0.0304681	0.0408665	0.0292695	0.00627438	0.0207252	0.00302997	0.0185401	0.0172685	0.00806226	0.000442408	0.0629988
f	0.00884566	0.000988342	0.122936	0.467057	0.167274	0.0290011	0.0106795	0.0143453	0.0189622	0.0182345	0.0130694	0.0271824	0.00439013	0.0149994	0.0135936	0.0104426	0.00249938	0.0554999
έ	0.00986131	0.00207447	0.0766201	0.445702	0.11844	0.0293143	0.021735	0.0228439	0.0296829	0.021271	0.0414499	0.0315489	0.0276828	0.0248837	0.0354558	0.0239982	0.00556232	0.0318728
