 	cette	fille	baise	bien	</S>
m	0.823035	0.0657136	0.0426599	0.0673591	0.00123224
w	0.00978704	0.989882	8.77348e-05	4.38964e-05	0.000199725
á	0.00239205	0.997558	2.93834e-05	8.04095e-06	1.20789e-05
n	0.162335	0.826696	0.00512005	0.000877358	0.00497123
a	0.0875707	0.698061	0.0183413	0.00388126	0.192146
o	0.890836	0.0411173	0.0424719	0.014735	0.0108402
y	0.748099	0.123315	0.0585165	0.026382	0.0436881
ú	0.934993	0.062155	0.00155683	0.000177546	0.00111726
r	0.994277	0.00362579	0.000631551	0.000205228	0.00126086
u	0.980246	0.0113663	0.00504835	0.00101097	0.00232856
w	0.177583	0.00502252	0.585427	0.058409	0.173559
ó	0.243776	0.0029216	0.352297	0.0658822	0.335124
l	0.1385	0.00187743	0.483542	0.068318	0.307763
á	0.0707694	0.00152476	0.144123	0.0760046	0.707578
a	0.156759	0.00298047	0.394774	0.225511	0.219975
b	0.135544	0.0109779	0.286573	0.174225	0.39268
í	0.00862514	0.0117941	0.370077	0.158848	0.450656
n	0.018124	0.00101446	0.0683806	0.0295476	0.882933
á	0.0593932	0.000739084	0.205518	0.180822	0.553528
o	0.0117089	0.000694561	0.139663	0.390291	0.457642
b	0.00297936	0.000870093	0.0471297	0.666039	0.282982
v	0.00120403	0.00257489	0.111418	0.852629	0.0321742
έ	0.000621174	0.000971526	0.148003	0.829807	0.0205972
w	0.0022824	0.000310151	0.0461408	0.15932	0.791946
a	0.0388486	0.00206284	0.374175	0.40165	0.183264
m	0.0130025	0.000244034	0.0620727	0.297178	0.627503
έ	0.0709122	0.00398583	0.153497	0.217396	0.554209
n	0.0180739	0.00191858	0.107126	0.516019	0.356862
d	0.184967	0.0370241	0.0297595	0.0479193	0.70033
e	0.114748	0.0793896	0.0170691	0.0527599	0.736033
s	0.00272912	0.000483476	0.0151017	0.0479939	0.933692
ó	0.017552	0.0026494	0.0198687	0.0523275	0.907602
b	0.0481261	0.00148386	0.0588202	0.236943	0.654627
é	0.0024336	6.02142e-05	0.382407	0.466706	0.148394
é	0.0223036	0.000289961	0.128608	0.479447	0.369352
</S>	0.00969711	0.000364761	0.0419865	0.0809937	0.866958
