 	il	brigue	l'	honneur	d'	être	invité	par	le	chef	</S>
w	0.955707	0.0135196	0.0176033	0.0018759	0.00511797	0.0016495	0.000762109	0.000652452	0.00271389	0.000334661	6.34291e-05
a	0.927379	0.00348544	0.0321399	0.00350846	0.0112632	0.00311912	0.00164185	0.0031331	0.0140139	0.000290405	2.55766e-05
l	0.374836	0.421078	0.152056	0.0101905	0.0204492	0.00350794	0.00121622	0.00422396	0.00977882	0.00112186	0.00154153
á	0.120488	0.218997	0.142168	0.0509122	0.0619498	0.0660538	0.0725815	0.0732252	0.0211406	0.00100564	0.171478
a	0.274174	0.147842	0.148812	0.0328624	0.0548883	0.0455978	0.0369762	0.0391627	0.0489996	0.0116141	0.159071
y	0.00819529	0.929775	0.018332	0.0344223	0.00153593	0.000647779	0.0011456	0.00189291	0.00041134	0.000864627	0.00277745
é	0.00221913	0.959822	0.0103422	0.024179	0.00107904	8.5021e-05	0.000508019	0.000321097	0.000104387	0.000296151	0.00104446
n	0.0478959	0.72667	0.126224	0.0334397	0.0252517	0.000921816	0.00471259	0.00330372	0.0087968	0.00888013	0.0139036
g	0.022185	0.81365	0.102918	0.0389936	0.0104343	0.001213	0.00308677	0.00244522	0.00153162	0.000445691	0.00309655
á	0.0517949	0.639597	0.228421	0.02165	0.0247831	0.00507472	0.00506387	0.00416638	0.00196491	0.000351625	0.017132
á	0.0272979	0.0368165	0.720341	0.0629322	0.0823029	0.0374209	0.0175404	0.00660765	0.00632007	0.000910361	0.00150976
b	0.00648664	0.00661935	0.444347	0.216344	0.198519	0.0493175	0.0287535	0.023422	0.0229936	0.000575491	0.00262157
é	0.00182266	0.000692942	0.0821239	0.382464	0.185209	0.236327	0.0764803	0.0284368	0.00415102	0.000297644	0.00199482
a	0.0012246	0.00410368	0.0533711	0.183682	0.108776	0.3307	0.205617	0.0560771	0.012386	0.00189834	0.0421631
w	0.00101358	0.00702097	0.0617375	0.462074	0.212779	0.106109	0.0430979	0.0654226	0.0241718	0.00618522	0.0103887
a	0.00301532	0.0299558	0.04972	0.191843	0.190228	0.239344	0.0420598	0.143296	0.0418768	0.00936174	0.0592995
m	0.000802717	0.00335182	0.0454009	0.0710505	0.229903	0.34223	0.0727774	0.113658	0.0434289	0.00956141	0.0678352
b	0.00601401	0.000472149	0.0337453	0.0418215	0.147749	0.17008	0.286146	0.0837077	0.109121	0.00180352	0.119339
v	0.000534953	9.68709e-05	0.00254911	0.00368329	0.0205553	0.0375249	0.896912	0.017164	0.0148749	0.000965739	0.00513946
á	0.000410777	0.000210024	0.000716125	0.00162108	0.00985059	0.0245587	0.938053	0.00602615	0.00358895	0.00288555	0.0120795
a	0.00184201	0.000455692	0.00948638	0.00751637	0.047579	0.246056	0.524579	0.0815575	0.0509947	0.00630711	0.0236264
o	0.00209806	0.00219234	0.0122963	0.00648984	0.0263712	0.110138	0.0915643	0.360102	0.283054	0.0144292	0.0912641
k	0.00166727	0.00743629	0.0169477	0.0692698	0.0252736	0.010048	0.009943	0.145121	0.300233	0.385462	0.0285986
o	4.62959e-05	0.000863218	0.000494289	0.0125798	0.0035496	0.000698383	0.0042432	0.0151193	0.04698	0.894708	0.0207179
n	1.83393e-05	0.000169933	0.000116973	0.00175776	0.0017709	0.000740361	0.00600186	0.00630221	0.0184605	0.953231	0.0114307
d	9.44562e-05	0.00107867	0.000360945	0.00184899	0.00448875	0.00165765	0.00554742	0.0141229	0.0161958	0.789411	0.165193
z	0.000720777	0.00425642	0.000769018	0.00117072	0.00726191	0.0018542	0.00652128	0.00384548	0.00330141	0.925323	0.0449762
i	0.000114509	0.00124599	0.000405137	0.000506097	0.00974313	0.0154726	0.0145267	0.005458	0.00299654	0.924918	0.024613
</S>	0.00168911	0.00382775	0.00724134	0.00339531	0.0173505	0.0107756	0.0106965	0.0526464	0.0793022	0.130076	0.683
