 	son	neveu	l'	a	enrichit	</S>
m	0.509042	0.464085	0.020487	0.00570067	0.000417196	0.000267759
w	0.0342499	0.907829	0.0262639	0.00681487	0.0136869	0.0111558
á	0.00112611	0.996497	0.000575778	5.88974e-05	0.00171427	2.78127e-05
n	0.377169	0.609949	0.0043045	0.000730585	0.00504487	0.00280243
a	0.0432677	0.476144	0.0835593	0.0109397	0.0873949	0.298694
b	0.718255	0.167055	0.0495985	0.0409203	0.0126447	0.0115269
o	0.281731	0.0887799	0.466043	0.110012	0.00931082	0.0441229
l	0.14703	0.102233	0.539584	0.0815889	0.00608037	0.123484
a	0.815912	0.0660468	0.0371458	0.0202648	0.0125272	0.0481031
ó	0.527828	0.0419576	0.240028	0.107698	0.0255819	0.0569058
m	0.104828	0.00789753	0.426981	0.156179	0.0245582	0.279556
i	0.0233508	0.0144831	0.167413	0.240332	0.293513	0.260908
b	0.0758707	0.00388597	0.149944	0.0666703	0.0603991	0.643229
v	0.106944	0.0502968	0.245862	0.0397791	0.0254882	0.53163
ú	0.0444327	0.044192	0.377433	0.0445691	0.00926795	0.480105
m	0.0251725	0.119932	0.340196	0.0866944	0.020124	0.407881
í	0.0696304	0.0525022	0.145162	0.187512	0.485887	0.0593065
s	0.0215165	0.0136747	0.13381	0.106255	0.364488	0.360256
á	0.0150932	0.00255371	0.15556	0.181835	0.382813	0.262146
w	0.029008	0.003931	0.0480612	0.319558	0.516793	0.0826489
a	0.00554859	0.00573644	0.293611	0.336411	0.230486	0.128207
</S>	0.00469182	0.0011062	0.108804	0.134334	0.0978389	0.653225
