 	le	récolteur	de	vin	qui	venait	dans	ce	chemin	a	bifurqué	à	droite	</S>
o	0.933874	0.0331182	0.00345816	0.00311733	0.00772176	0.000662895	0.00568055	0.00575199	0.00307451	0.00208025	0.000184676	0.000809946	0.000409194	5.69636e-05
b	0.368548	0.450525	0.00457031	0.00439599	0.00685312	0.0242913	0.0080683	0.00444017	0.00447698	0.00495555	0.0611326	0.0182955	0.0336576	0.00578958
a	0.0545284	0.849479	0.00425646	0.00686852	0.000936945	0.00466347	0.00388993	0.00394979	0.0135404	0.000927882	0.00582497	0.00299128	0.0469742	0.00116848
l	0.00999464	0.926896	0.00497991	0.00304108	0.000547566	0.0106138	0.00389524	0.00296297	0.00447148	0.00161852	0.00862214	0.00283105	0.00329432	0.016231
e	0.879326	0.0104373	0.0106264	0.00262901	0.0162966	0.00418143	0.0120979	0.00957742	0.00406126	0.0221239	0.00366362	0.00968553	0.00204296	0.0132511
y	0.269666	0.0487897	0.2273	0.0827941	0.0509649	0.0297846	0.044056	0.0372644	0.0133824	0.0661133	0.0261004	0.0329767	0.0032859	0.0675221
e	0.351643	0.0103995	0.193155	0.0377533	0.0866084	0.0346807	0.0461725	0.0567738	0.00593129	0.029481	0.0224545	0.0531785	0.00450016	0.0672688
é	0.278618	0.0184482	0.293953	0.0893108	0.142282	0.0159632	0.0215709	0.0286603	0.0056026	0.0156297	0.00339383	0.0344431	0.00243639	0.0496879
d	0.00668838	0.00745571	0.173492	0.223278	0.04866	0.39637	0.0303084	0.0106762	0.0114473	0.00952052	0.0539852	0.00572784	0.00175753	0.0206331
z	0.00221843	0.000758611	0.142935	0.0623285	0.084299	0.202734	0.158536	0.0410895	0.00323744	0.0110824	0.146296	0.0151624	0.000511508	0.128811
e	0.0291895	0.000133379	0.0198967	0.00470402	0.163659	0.713501	0.0383866	0.0137106	0.000462564	0.0024311	0.0101166	0.000546582	1.53085e-05	0.00324736
l	0.0038632	0.0019987	0.321741	0.159653	0.106285	0.0442563	0.073973	0.0392766	0.0266773	0.0288971	0.033996	0.0660663	0.0199122	0.0734047
á	0.000762028	0.00174638	0.199208	0.0497121	0.0385061	0.0543149	0.0716539	0.0460673	0.00442934	0.0190619	0.0133174	0.0544395	0.0100274	0.436754
a	0.0113443	0.00482719	0.185504	0.0695658	0.0931537	0.233616	0.163981	0.0736001	0.0235932	0.0139374	0.0072462	0.0208447	0.0229509	0.0758364
y	0.00105387	0.00560343	0.0121907	0.0472862	0.0168003	0.663168	0.0759375	0.0146278	0.0840981	0.00270885	0.0621943	0.00282871	0.00304749	0.00845442
a	0.00238779	6.29286e-05	0.015062	0.00905337	0.0605539	0.554091	0.0743369	0.0140723	0.0239518	0.00128224	0.220179	0.00883918	0.0019486	0.0141793
á	0.00328656	5.74771e-05	0.0344386	0.00964249	0.0868842	0.271364	0.238173	0.0590134	0.0143534	0.00672014	0.141404	0.0231958	0.00617114	0.105297
