 	son	père	l'	a	blâmé	parce	qu'	il	rentre	à	la	maison	dans	la	nuit	</S>
t	0.79929	0.169839	0.0131617	0.00424798	0.00130824	0.00299456	0.00307852	0.000707525	8.60188e-05	0.000580255	0.00168124	0.000170814	0.00166103	0.00112955	5.39843e-05	9.5566e-06
á	0.0333485	0.951571	0.00320683	0.00230119	0.00253392	0.00283876	0.000569993	0.000575263	0.000159021	0.0003254	0.000676024	0.000206459	0.00036498	0.000770493	0.000446879	0.000104761
á	0.00299337	0.843806	0.0112938	0.0148681	0.0454613	0.0219408	0.0133097	0.0146478	0.00311837	0.00654123	0.00533047	0.00330994	0.00299764	0.00151793	0.000831966	0.00803182
á	0.574575	0.148882	0.137397	0.0366814	0.0197507	0.00527517	0.0151419	0.00858633	0.00320655	0.00875969	0.00576943	0.00134446	0.0106842	0.00559781	0.00166414	0.0166848
b	0.0361913	0.0427087	0.531718	0.158746	0.0367039	0.0182241	0.0121097	0.0187907	0.0383619	0.0280069	0.00587199	0.00507433	0.019053	0.017248	0.00684107	0.024351
h	0.0133069	0.00112872	0.25101	0.370103	0.0293946	0.168358	0.0451641	0.0460576	0.0208618	0.019729	0.00586548	0.00056303	0.00505009	0.0072143	0.00115428	0.0150386
ώ	0.0334849	0.0032227	0.276258	0.247861	0.0351978	0.22881	0.0459136	0.0471798	0.0189535	0.0249302	0.00561874	0.00121238	0.00661728	0.00704101	0.00143588	0.016264
i	0.108139	0.00783972	0.166613	0.168866	0.121143	0.13477	0.0709127	0.0405548	0.0298545	0.0271068	0.0139513	0.00545968	0.0190038	0.0115606	0.00930717	0.0649173
l	0.0111032	0.00144743	0.126454	0.281824	0.230163	0.14545	0.0621169	0.031838	0.0128131	0.0154823	0.0114943	0.018478	0.0121207	0.00877043	0.00638235	0.0240632
a	0.00747652	0.000603766	0.113075	0.151247	0.135291	0.19103	0.0701748	0.0591953	0.0423801	0.0398036	0.0319595	0.0123796	0.0380633	0.0357072	0.0185292	0.0530833
w	0.0104582	0.00053287	0.0765354	0.130429	0.300302	0.210928	0.115853	0.0402315	0.0116251	0.0133092	0.0139057	0.00960922	0.0141176	0.00746492	0.00599718	0.0387015
a	0.0212259	0.00669767	0.0457074	0.127978	0.216908	0.303333	0.107391	0.0912473	0.010008	0.0180533	0.0118416	0.00239871	0.00707457	0.00725949	0.00536032	0.0175152
t	0.00333462	0.00112409	0.0586211	0.0899287	0.249152	0.224084	0.170734	0.0816365	0.024349	0.0150854	0.0102456	0.0056154	0.0135181	0.00800011	0.00694802	0.0376237
s	0.00848417	0.011343	0.0125974	0.0303347	0.411307	0.32802	0.0688492	0.0921843	0.00941944	0.00681963	0.00299228	0.000637159	0.00144926	0.000983226	0.00245889	0.0121207
í	0.000306414	0.000161535	0.00903356	0.0211892	0.0643206	0.484573	0.129649	0.12251	0.0623461	0.0267995	0.0158442	0.00169998	0.012121	0.00932034	0.0159292	0.0241957
n	0.00318599	0.000583574	0.0208568	0.0311	0.0869114	0.381891	0.170782	0.0961611	0.041904	0.0129796	0.00707393	0.00551086	0.00842711	0.00457174	0.0156637	0.112398
a	0.0101557	0.000381524	0.0157781	0.0494755	0.0408375	0.187704	0.167694	0.0892176	0.0140658	0.0158279	0.0352002	0.156857	0.0526264	0.019565	0.0154172	0.129197
w	0.00275978	0.000276115	0.0230616	0.0493412	0.0398667	0.071472	0.370505	0.254915	0.0783373	0.0415025	0.0252559	0.00472655	0.0149166	0.00881404	0.00258195	0.0116679
a	0.00679001	0.00258908	0.0184424	0.052594	0.139724	0.10637	0.257385	0.197645	0.0126049	0.0404498	0.0699485	0.00305411	0.0266823	0.020693	0.00875295	0.0362743
