 	le	grillon	a	fait	un	bond	de	sable	dans	notre	parcelle	</S>
n	0.3876	0.454455	0.093287	0.0147589	0.0110612	0.0199215	0.0131225	0.00123101	0.00346597	0.000835545	0.000150758	0.000110711
z	0.472937	0.395222	0.0326743	0.0225748	0.0204423	0.0201586	0.0101718	0.0050798	0.00384313	0.0152358	0.00143586	0.000225271
έ	0.0693289	0.67539	0.0231045	0.0638031	0.0358881	0.0436214	0.0170493	0.0577958	0.00571362	0.00459112	0.0018165	0.00189768
n	0.132588	0.550468	0.0436025	0.0124108	0.00856239	0.0227624	0.0269219	0.052702	0.0253452	0.0650523	0.00371878	0.0558658
d	0.220369	0.348401	0.0756195	0.0288149	0.0764764	0.058323	0.026616	0.0390073	0.0417661	0.00476082	0.0142438	0.0656014
z	0.171546	0.597429	0.0259293	0.00884712	0.0300885	0.0365028	0.0168176	0.0280392	0.0184212	0.00680743	0.0188687	0.0407031
έ	0.0436966	0.190686	0.0509706	0.0222165	0.0669393	0.119504	0.0792936	0.0553887	0.0734836	0.00600914	0.0317697	0.260042
á	0.103548	0.0280958	0.65831	0.105858	0.0644745	0.0168426	0.00750424	0.00198878	0.00478661	0.00124112	0.000387136	0.0069622
m	0.0228194	0.0106788	0.370731	0.248348	0.19035	0.0528276	0.020239	0.0112705	0.0249167	0.00636022	0.00753115	0.0339279
i	0.0266063	0.000110088	0.0675245	0.243128	0.462134	0.0715811	0.060351	0.00910373	0.0184697	0.00801661	0.00116371	0.0318113
k	0.00188742	0.000332926	0.0225229	0.492402	0.41404	0.0364539	0.0086112	0.00518989	0.00291884	0.000299683	0.00280551	0.0125356
y	0.00120346	0.000765157	0.0215876	0.295517	0.517085	0.0802496	0.0215574	0.0125432	0.00964923	0.000483517	0.00885641	0.030503
á	0.00156141	0.0038564	0.0161397	0.206871	0.437874	0.241316	0.0309708	0.0303256	0.00590426	0.000235723	0.0107131	0.0142323
i	0.00489518	0.000841941	0.0302784	0.120347	0.248456	0.302146	0.131161	0.0574381	0.0364793	0.00582005	0.0138963	0.0482408
f	0.00108527	0.000377626	0.00371738	0.0361496	0.237405	0.393511	0.150628	0.136449	0.0174988	0.00314326	0.00512382	0.0149106
u	0.000946534	0.000322823	0.00488612	0.0376563	0.163864	0.275208	0.235627	0.196478	0.0477649	0.00447348	0.0104429	0.0223291
s	0.000340879	0.000213928	0.00208178	0.015388	0.171471	0.511932	0.180784	0.0576144	0.0134116	0.000615308	0.0231282	0.0230191
a	0.00252122	0.00141689	0.00379889	0.0202312	0.108006	0.60436	0.176005	0.0476756	0.0180286	0.00110991	0.0109209	0.00592696
s	0.00121869	0.000418647	0.0204926	0.0282907	0.0797095	0.161476	0.393294	0.162734	0.121495	0.00856052	0.00478436	0.0175257
á	0.00251088	0.000678066	0.00189124	0.00926102	0.0397117	0.195898	0.199355	0.26606	0.175047	0.0206691	0.0396619	0.0492561
l	0.0067283	0.00239015	0.00452909	0.00293967	0.00824052	0.0455167	0.208077	0.341525	0.202943	0.0978438	0.0709084	0.00835826
e	0.00339751	0.00041947	0.0021712	0.00544792	0.0155264	0.027778	0.0643454	0.376736	0.28996	0.101297	0.0416905	0.0712313
p	0.000591888	0.000153124	0.00129038	0.00378587	0.0256982	0.0466654	0.130399	0.228266	0.365806	0.014783	0.12458	0.0579809
á	0.00198553	0.00374317	0.00407895	0.00651321	0.0273458	0.0476079	0.077936	0.138104	0.18375	0.00534308	0.41472	0.0888726
n	0.00111868	0.000575833	0.00144492	0.00215184	0.0104518	0.0232308	0.065943	0.0718191	0.16828	0.0283638	0.436474	0.190146
g	0.000223333	0.00149355	0.000401703	0.00176829	0.00775399	0.0256444	0.0523991	0.275608	0.262869	0.0470427	0.214979	0.109818
e	0.00053272	0.00382318	0.000663921	0.00209859	0.00440693	0.0542851	0.151868	0.612566	0.0797377	0.0175744	0.0627279	0.00971559
l	0.00269167	0.00259758	0.00533129	0.00315855	0.00663743	0.0144127	0.0574951	0.0526794	0.397024	0.164741	0.0844151	0.208816
á	0.00392792	0.00117294	0.00377265	0.00525542	0.0134635	0.0173573	0.0237502	0.0606766	0.302683	0.0898886	0.156852	0.321199
b	0.00331131	0.00070145	0.00327001	0.00167095	0.00326706	0.00956699	0.0246752	0.0197974	0.135211	0.627056	0.119773	0.0517002
í	0.000626621	0.000276464	0.00232714	0.00396544	0.00401296	0.00301122	0.0146787	0.010349	0.251491	0.624053	0.0568473	0.0283612
s	0.00276142	0.000401323	0.00213259	0.00226008	0.00291453	0.00820637	0.0674329	0.0362568	0.14568	0.646247	0.058716	0.0269915
í	0.000456044	5.45263e-05	0.000222974	0.000778767	0.00281079	0.00309667	0.00868579	0.0259429	0.283676	0.34093	0.132287	0.201059
</S>	0.000337611	0.000115911	0.00186521	0.00164344	0.00227973	0.00282456	0.00972651	0.0165052	0.203122	0.153486	0.0640315	0.544062
